"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"1","aidB",1,0,0,0,0,0,0,0,0,0,1
"2","ssuD",1,0,0,0,0,0,0,0,0,0,1
"3","tauA",1,0,0,0,0,0,0,0,0,0,1
"4","tauB",1,0,0,0,0,0,0,0,0,0,1
"5","tauC",1,0,0,0,0,0,0,0,0,0,1
"6","csgA",1,0,0,0,0,0.153846153846154,0,0,0,0,0.846153846153846
"7","csgD",1,0,0.0232558139534884,0.0232558139534884,0.0465116279069767,0.0697674418604651,0,0.0930232558139535,0,0,0.744186046511628
"8","csgE",1,0,0.0142857142857143,0.0857142857142857,0.0285714285714286,0.171428571428571,0,0.0571428571428571,0,0,0.642857142857142
"9","csgF",1,0,0.0142857142857143,0.0857142857142857,0.0285714285714286,0.171428571428571,0,0.0571428571428571,0,0,0.642857142857142
"10","csgG",1,0,0.0142857142857143,0.0857142857142857,0.0285714285714286,0.171428571428571,0,0.0571428571428571,0,0,0.642857142857142
"11","iraP",1,0,0,0,0,0,0,0,0,0,1
"12","nlpA",1,0,0,0,0,1,0,0,0,0,0
"13","tcyJ",1,0,0.0606060606060606,0,0,0.333333333333333,0.121212121212121,0,0,0,0.484848484848485
"14","yccT",1,0,0,0,0,0,0,0,0,0,1
"15","gadC",1,0,0,0.1,0,0,0,0,0,0,0.9
"16","gadE",1,0,0,0.0625,0,0,0,0,0,0,0.9375
"17","gadF",1,0,0,0.0952380952380952,0,0,0,0,0,0,0.904761904761905
"18","gadX",1,0,0,0,0,0,0,0,0,0,1
"19","gltB",1,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0.857142857142857
"20","gltD",1,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0.857142857142857
"21","mdtE",1,0,0,0.131578947368421,0,0,0,0,0,0,0.868421052631578
"22","mdtF",1,0,0,0.142857142857143,0,0,0,0,0,0,0.857142857142857
"23","yhiD",1,0,0,0.111111111111111,0,0,0,0,0,0,0.888888888888889
"24","dctR",1,0,0,0.136363636363636,0.0454545454545455,0,0,0,0.0454545454545455,0.0454545454545455,0.727272727272727
"25","glsA",1,0,0,0,0,0,0,0,0,0,1
"26","rpoS",1,0,0,0,0,0,0,0,0,0,1
"27","mcbA",0,1,0,0,0,0,0,0,0,0,0
"28","rmf",0,1,0,0,0,0,0,0,0,0,0
"29","yciE",1,0,0,0,0,0,0,0,0,0,1
"30","yciF",0,1,0,0,0,0,0,0,0,0,0
"31","yciG",0,1,0,0,0,0,0,0,0,0,0
"32","metE",1,0,0,0,0,0,0,0,0,0,1
"33","metR",0,1,0,0,0,0,0,0,0,0,0
"34","prpB",1,0,0,0,0,0,0,0,0,0.5,0.5
"35","prpC",1,0,0,0,0,0,0,0,0,0.5,0.5
"36","prpD",1,0,0,0,0,0,0,0,0,0.5,0.5
"37","prpR",1,0,0,0,0,0,0,0,0,0,1
"38","purD",1,0,0,0,0,0,0,0,0,0,1
"39","purH",1,0,0,0,0,0,0,0,0,0,1
"40","adiA",1,0,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667
"41","appC",1,0,0,0,0,0,0,0,0,0,1
"42","appX",1,0,0,0,0,0,0,0,0,0,1
"43","hyaA",1,0,0,0,0,0,0,0,0,0,1
"44","hyaB",1,0,0,0,0,0,0,0,0,0,1
"45","hyaC",1,0,0,0,0,0,0,0,0,0,1
"46","hyaD",1,0,0,0,0,0,0,0,0,0,1
"47","hyaE",1,0,0,0,0,0,0,0,0,0,1
"48","hyaF",1,0,0,0,0,0,0,0,0,0,1
"49","araA",1,0,0,0,0,0,0,0,0,0,1
"50","araB",1,0,0,0,0,0,0,0,0,0,1
"51","araC",1,0,0,0,0,0,0,0,0,0,1
"52","araF",1,0,0,0,0,0,0,0,0,0,1
"53","caiA",1,0,0,0,0,0,0,0,0,0,1
"54","fliA",1,0,0.1,0,0,0.3,0.15,0,0,0,0.45
"55","fliE",1,0,0,0,0,0,0,0,0,0,1
"56","fliF",1,0,0,0,0,0,0,0,0,0,1
"57","fliG",1,0,0,0,0,0,0,0,0,0,1
"58","fliH",1,0,0,0,0,0,0,0,0,0,1
"59","fliI",1,0,0,0,0,0,0,0,0,0,1
"60","fliJ",1,0,0,0,0,0,0,0,0,0,1
"61","fliK",1,0,0,0,0,0,0,0,0,0,1
"62","fliZ",1,0,0.0666666666666667,0,0,0.366666666666667,0.1,0,0,0,0.466666666666667
"63","ttdR",0,1,0,0,0,0,0,0,0,0,0
"64","mlrA",1,0,0,0,0,0,0,0,0,0,1
"65","galS",1,0,0,0,0,0,0,0,0,0,1
"66","mglA",1,0,0,0,0,0,0,0,0,0,1
"67","mglB",1,0,0,0,0,0,0,0,0,0,1
"68","mglC",1,0,0,0,0,0,0,0,0,0,1
"69","glcA",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"70","glcB",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"71","glcC",1,0,0,0,0,0,0,0,0,0.2,0.8
"72","glcD",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"73","glcE",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"74","glcF",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"75","glcG",1,0,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714
"76","hcaR",0,1,0,0,0,0,0,0,0,0,0
"77","iscR",1,0,0,0,0,0,0,0,0,0,1
"78","nrdE",1,0,0,0,0,0,0,0,0,0,1
"79","nrdF",1,0,0,0,0,0,0,0,0,0,1
"80","nrdH",1,0,0,0,0,0,0,0,0,0,1
"81","nrdI",1,0,0,0,0,0,0,0,0,0,1
"82","sufA",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"83","sufB",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"84","sufC",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"85","sufD",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"86","sufE",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"87","sufS",1,0,0,0,0,0.125,0,0.25,0,0,0.625
"88","mhpA",1,0,0,0,0,0,0,0,0,0,1
"89","fdhF",1,0,0,0,0,0,0,0,0,0,1
"90","fdnG",1,0,0,0,0,0,0,0,0,0,1
"91","fdnH",1,0,0,0,0,0,0,0,0,0,1
"92","fdnI",1,0,0,0,0,0,0,0,0,0,1
"93","hcp",1,0,0,0,0,0,0,0.5,0,0,0.5
"94","hcr",1,0,0,0,0,0,0,0,0,0,1
"95","nirB",1,0,0.1,0,0,0,0,0,0,0,0.9
"96","nirD",1,0,0.111111111111111,0,0,0,0,0,0,0,0.888888888888889
"97","nrfA",1,0,0,0,0,0,0,0,0,0,1
"98","nrfB",1,0,0,0,0,0,0,0,0,0,1
"99","nrfC",1,0,0,0,0,0,0,0,0,0,1
"100","nrfD",1,0,0,0,0,0,0,0,0,0,1
"101","ytfE",1,0,0,0,0,0,0,0,0,0,1
"102","amtB",1,0,0,0,0,0,0,0,0,0,1
"103","argT",1,0,0,0,0,0,0,0,0,0,1
"104","ddpA",1,0,0,0,0,0,0,0,0,0,1
"105","ddpB",1,0,0,0,0,0,0,0,0,0,1
"106","ddpD",1,0,0,0,0,0,0,0,0,0,1
"107","ddpX",1,0,0,0,0,0,0,0,0,0,1
"108","glnA",1,0,0,0,0,0,0,0,0,0,1
"109","glnG",1,0,0,0,0,0,0,0,0,0,1
"110","glnK",1,0,0,0,0,0,0,0,0,0,1
"111","glnL",1,0,0,0,0,0,0,0,0,0,1
"112","hisJ",1,0,0,0,0,0,0,0,0,0,1
"113","hisM",1,0,0,0,0,0,0,0,0,0,1
"114","hisP",1,0,0,0,0,0,0,0,0,0,1
"115","patA",1,0,0,0,0,0,0,0,0,0,1
"116","potF",1,0,0,0,0,0,0,0,0,0,1
"117","potG",1,0,0,0,0,0,0,0,0,0,1
"118","potH",1,0,0,0,0,0,0,0,0,0,1
"119","potI",1,0,0,0,0,0,0,0,0,0,1
"120","yhdW",0,1,0,0,0,0,0,0,0,0,0
"121","pdeL",1,0,0,0,0,0,0,0,0,0,1
"122","prpE",1,0,0,0,0,0,0,0,0,0.5,0.5
