"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","aidB",1,0,0.2,0.4,0,0,0,0,0.2,0.2,0,0,0
"2","ssuD",1,0,0.25,0.5,0,0,0,0,0,0.25,0,0,0
"3","tauA",1,0,0.2,0.4,0,0,0,0,0.2,0,0.2,0,0
"4","tauB",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"5","tauC",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"6","csgA",1,0,0.173913043478261,0.347826086956522,0.0434782608695652,0.0869565217391304,0,0,0.173913043478261,0.0869565217391304,0.0869565217391304,0,0
"7","csgD",1,0,0.157142857142857,0.392857142857142,0.221428571428571,0.0357142857142857,0.0642857142857143,0.0142857142857143,0.0214285714285714,0.00714285714285714,0.0714285714285714,0.0142857142857143,0
"8","csgE",1,0,0.180327868852459,0.366120218579235,0.169398907103825,0.0546448087431694,0.0601092896174863,0.0109289617486339,0.0546448087431694,0.0163934426229508,0.0765027322404372,0.0109289617486339,0
"9","csgF",1,0,0.180327868852459,0.366120218579235,0.169398907103825,0.0546448087431694,0.0601092896174863,0.0109289617486339,0.0546448087431694,0.0163934426229508,0.0765027322404372,0.0109289617486339,0
"10","csgG",1,0,0.180327868852459,0.366120218579235,0.169398907103825,0.0546448087431694,0.0601092896174863,0.0109289617486339,0.0546448087431694,0.0163934426229508,0.0765027322404372,0.0109289617486339,0
"11","iraP",1,0,0.363636363636364,0.272727272727273,0,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0,0,0,0
"12","tcyJ",1,0,0.158878504672897,0.214953271028037,0.0841121495327103,0.205607476635514,0.177570093457944,0.0186915887850467,0,0.0467289719626168,0.0747663551401869,0.0186915887850467,0
"13","yccT",1,0,0,0.2,0,0,0.4,0,0,0.4,0,0,0
"14","gadC",1,0,0.208955223880597,0.328358208955224,0.0895522388059701,0.134328358208955,0.0298507462686567,0,0.0597014925373134,0.0298507462686567,0.0746268656716418,0.0447761194029851,0
"15","gadE",1,0,0.392857142857143,0.261904761904762,0.0357142857142857,0.154761904761905,0.0119047619047619,0,0.0595238095238095,0.0119047619047619,0.0595238095238095,0.0119047619047619,0
"16","gadF",1,0,0.423076923076923,0.221153846153846,0.0288461538461538,0.153846153846154,0.00961538461538462,0,0.0865384615384615,0.00961538461538462,0.0576923076923077,0.00961538461538462,0
"17","gadX",1,0,0.140350877192982,0.385964912280702,0.210526315789474,0.0350877192982456,0.0701754385964912,0.0175438596491228,0.0701754385964912,0.0526315789473684,0,0.0175438596491228,0
"18","mdtE",1,0,0.347826086956522,0.217391304347826,0.0326086956521739,0.206521739130435,0.0108695652173913,0,0.0978260869565217,0.0108695652173913,0.0652173913043478,0.0108695652173913,0
"19","mdtF",1,0,0.347826086956522,0.217391304347826,0.0326086956521739,0.173913043478261,0.0326086956521739,0,0.0978260869565217,0.0217391304347826,0.0652173913043478,0.0108695652173913,0
"20","yhiD",1,0,0.176470588235294,0.352941176470588,0.137254901960784,0.0392156862745098,0.0588235294117647,0.0392156862745098,0.0392156862745098,0.0588235294117647,0.0784313725490196,0.0196078431372549,0
"21","dctR",1,0,0.215686274509804,0.313725490196078,0.0392156862745098,0.137254901960784,0.117647058823529,0,0.0392156862745098,0.0392156862745098,0.0980392156862745,0,0
"22","glsA",1,0,0.166666666666667,0.5,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0
"23","rpoS",1,0,0.105263157894737,0.473684210526316,0.298245614035088,0,0.0175438596491228,0,0.0526315789473684,0.0175438596491228,0.0350877192982456,0,0
"24","mcbA",0,1,0,0,0,0,0,0,0,0,0,0,0
"25","yciE",1,0,0,0.5,0,0,0,0,0.25,0.25,0,0,0
"26","yciF",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0
"27","yciG",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0
"28","metE",1,0,0,0.4,0.2,0,0.2,0,0,0,0.2,0,0
"29","metR",1,0,0,0.5,0,0,0,0.5,0,0,0,0,0
"30","prpB",1,0,0.75,0,0,0,0.25,0,0,0,0,0,0
"31","prpC",1,0,0.75,0,0,0,0.25,0,0,0,0,0,0
"32","prpD",1,0,0.75,0,0,0,0.25,0,0,0,0,0,0
"33","prpR",1,0,0,1,0,0,0,0,0,0,0,0,0
"34","adiA",1,0,0.285714285714286,0.285714285714286,0,0.428571428571429,0,0,0,0,0,0,0
"35","appC",1,0,0.466666666666667,0.333333333333333,0,0.0666666666666667,0,0,0.133333333333333,0,0,0,0
"36","appX",1,0,0.7,0,0,0.1,0,0,0.2,0,0,0,0
"37","hyaA",1,0,0.233333333333333,0.466666666666667,0.1,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.0666666666666667,0,0,0
"38","hyaB",1,0,0.233333333333333,0.466666666666667,0.1,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.0666666666666667,0,0,0
"39","hyaC",1,0,0.233333333333333,0.466666666666667,0.1,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.0666666666666667,0,0,0
"40","hyaD",1,0,0.233333333333333,0.466666666666667,0.1,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.0666666666666667,0,0,0
"41","hyaE",1,0,0.233333333333333,0.466666666666667,0.1,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.0666666666666667,0,0,0
"42","hyaF",1,0,0.233333333333333,0.466666666666667,0.1,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.0666666666666667,0,0,0
"43","araA",0,1,0,0,0,0,0,0,0,0,0,0,0
"44","araB",0,1,0,0,0,0,0,0,0,0,0,0,0
"45","araC",1,0,0,0,0,0,1,0,0,0,0,0,0
"46","araF",1,0,0.272727272727273,0.272727272727273,0,0,0.181818181818182,0,0.181818181818182,0.0909090909090909,0,0,0
"47","caiA",1,0,0.333333333333333,0.444444444444445,0.0555555555555556,0,0.0555555555555556,0,0,0.0555555555555556,0.0555555555555556,0,0
"48","ttdR",0,1,0,0,0,0,0,0,0,0,0,0,0
"49","mlrA",1,0,0,0.5,0,0,0,0,0.5,0,0,0,0
