"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","aidB",1,0,0,0,0,0,0,0,0,0.2,0.8,0,0
"2","ssuD",1,0,0,0,0,0,0,0,0,0,1,0,0
"3","tauA",1,0,0,0,0,0,0,0,0,0,1,0,0
"4","tauB",1,0,0,0,0,0,0,0,0,0,1,0,0
"5","tauC",1,0,0,0,0,0,0,0,0,0,1,0,0
"6","csgA",1,0,0,0,0,0.0434782608695652,0,0,0,0.0869565217391304,0.869565217391304,0,0
"7","csgD",1,0,0,0,0,0.0142857142857143,0.0428571428571429,0.00714285714285714,0,0.00714285714285714,0.928571428571426,0,0
"8","csgE",1,0,0.00546448087431694,0,0,0.0273224043715847,0.0327868852459016,0.00546448087431694,0.0218579234972678,0.0163934426229508,0.890710382513662,0,0
"9","csgF",1,0,0.00546448087431694,0,0,0.0273224043715847,0.0327868852459016,0.00546448087431694,0.0218579234972678,0.0163934426229508,0.890710382513662,0,0
"10","csgG",1,0,0.00546448087431694,0,0,0.0273224043715847,0.0327868852459016,0.00546448087431694,0.0218579234972678,0.0163934426229508,0.890710382513662,0,0
"11","iraP",1,0,0,0,0,0,0.0909090909090909,0,0,0,0.909090909090909,0,0
"12","tcyJ",1,0,0.0186915887850467,0,0,0.130841121495327,0.102803738317757,0,0,0.0186915887850467,0.710280373831776,0.0186915887850467,0
"13","yccT",1,0,0,0,0,0,0.4,0,0,0.4,0.2,0,0
"14","gadC",1,0,0.0149253731343284,0,0,0,0,0,0,0.0149253731343284,0.940298507462688,0.0298507462686567,0
"15","gadE",1,0,0.0238095238095238,0,0,0.0119047619047619,0,0,0.0238095238095238,0.0119047619047619,0.928571428571427,0,0
"16","gadF",1,0,0.0384615384615385,0,0,0.00961538461538462,0,0,0.0192307692307692,0.00961538461538462,0.923076923076922,0,0
"17","gadX",1,0,0.0175438596491228,0,0.0350877192982456,0,0,0,0.0175438596491228,0.0175438596491228,0.912280701754387,0,0
"18","mdtE",1,0,0.0434782608695652,0,0,0.0108695652173913,0,0,0.0217391304347826,0.0108695652173913,0.913043478260871,0,0
"19","mdtF",1,0,0.0434782608695652,0,0,0.0108695652173913,0,0,0.0217391304347826,0.0108695652173913,0.913043478260871,0,0
"20","yhiD",1,0,0.0196078431372549,0,0,0,0,0.0392156862745098,0,0.0392156862745098,0.901960784313726,0,0
"21","dctR",1,0,0.0196078431372549,0.0392156862745098,0,0,0.0196078431372549,0,0,0.0392156862745098,0.882352941176471,0,0
"22","glsA",1,0,0,0,0,0,0,0,0,0,1,0,0
"23","rpoS",1,0,0,0,0,0,0,0,0,0,1,0,0
"24","mcbA",0,1,0,0,0,0,0,0,0,0,0,0,0
"25","yciE",1,0,0,0,0,0,0,0,0,0.25,0.75,0,0
"26","yciF",1,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0
"27","yciG",1,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0
"28","metE",1,0,0,0,0,0,0,0,0,0,1,0,0
"29","metR",1,0,0,0,0,0,0,0,0,0,1,0,0
"30","prpB",1,0,0,0,0,0,0,0,0,0,1,0,0
"31","prpC",1,0,0,0,0,0,0,0,0,0,1,0,0
"32","prpD",1,0,0,0,0,0,0,0,0,0,1,0,0
"33","prpR",1,0,0,0,0,0,0,0,0,0,1,0,0
"34","adiA",1,0,0,0,0,0,0,0,0,0,1,0,0
"35","appC",1,0,0,0,0,0,0,0,0,0,1,0,0
"36","appX",1,0,0,0,0,0,0,0,0,0,1,0,0
"37","hyaA",1,0,0,0,0,0,0,0,0,0,1,0,0
"38","hyaB",1,0,0,0,0,0,0,0,0,0,1,0,0
"39","hyaC",1,0,0,0,0,0,0,0,0,0,1,0,0
"40","hyaD",1,0,0,0,0,0,0,0,0,0,1,0,0
"41","hyaE",1,0,0,0,0,0,0,0,0,0,1,0,0
"42","hyaF",1,0,0,0,0,0,0,0,0,0,1,0,0
"43","araA",0,1,0,0,0,0,0,0,0,0,0,0,0
"44","araB",0,1,0,0,0,0,0,0,0,0,0,0,0
"45","araC",1,0,0,0,0,0,0,0,0,0,1,0,0
"46","araF",1,0,0,0,0,0,0,0,0,0,1,0,0
"47","caiA",1,0,0,0,0,0,0,0,0,0,1,0,0
"48","ttdR",0,1,0,0,0,0,0,0,0,0,0,0,0
"49","mlrA",1,0,0,0,0,0,0,0,0,0,1,0,0
"50","galS",1,0,0,0,0,0,0,0,0,0,1,0,0
"51","mglA",1,0,0,0,0.0307692307692308,0,0.0307692307692308,0.123076923076923,0,0.0307692307692308,0.723076923076922,0.0615384615384615,0
"52","mglB",1,0,0,0,0.0377358490566038,0,0.0377358490566038,0.150943396226415,0,0.0377358490566038,0.735849056603774,0,0
"53","mglC",1,0,0,0,0.0333333333333333,0,0.0333333333333333,0.133333333333333,0,0.0333333333333333,0.700000000000001,0.0666666666666667,0
"54","glcA",1,0,0,0,0,0,0.0714285714285714,0,0,0,0.928571428571428,0,0
"55","glcB",1,0,0,0,0,0,0.0714285714285714,0,0,0,0.928571428571428,0,0
"56","glcD",1,0,0,0,0,0,0.0714285714285714,0,0,0,0.928571428571428,0,0
"57","glcE",1,0,0,0,0,0,0.0714285714285714,0,0,0,0.928571428571428,0,0
"58","glcF",1,0,0,0,0,0,0.0714285714285714,0,0,0,0.928571428571428,0,0
"59","glcG",1,0,0,0,0,0,0.0714285714285714,0,0,0,0.928571428571428,0,0
"60","hcaR",0,1,0,0,0,0,0,0,0,0,0,0,0
"61","iscR",0,1,0,0,0,0,0,0,0,0,0,0,0
"62","nrdE",1,0,0,0,0,0,0,0,0,0,1,0,0
"63","nrdH",1,0,0,0,0,0,0,0,0,0,1,0,0
"64","nrdI",1,0,0,0,0,0,0,0,0,0,1,0,0
"65","sufA",1,0,0,0,0,0,0,0,0,0,1,0,0
"66","sufB",1,0,0,0,0,0,0,0,0,0,1,0,0
"67","sufC",1,0,0,0,0,0,0,0,0,0,1,0,0
"68","sufD",1,0,0,0,0,0,0,0,0,0,1,0,0
"69","sufE",1,0,0,0,0,0,0,0,0,0,1,0,0
"70","sufS",1,0,0,0,0,0,0,0,0,0,1,0,0
"71","mhpA",1,0,0,0,0,0,0,0,0,0,1,0,0
"72","fdhF",1,0,0.333333333333333,0,0,0,0,0,0,0,0.666666666666667,0,0
"73","fdnG",1,0,0,0,0,0,0,0,0,0,1,0,0
"74","fdnH",1,0,0,0,0,0,0,0,0,0,1,0,0
"75","fdnI",1,0,0,0,0,0,0,0,0,0,1,0,0
"76","hcp",1,0,0,0,0,0,0,0,0.125,0,0.875,0,0
"77","hcr",1,0,0,0,0,0,0,0,0.2,0,0.8,0,0
"78","nirB",1,0,0,0.0869565217391304,0,0,0,0,0,0,0.913043478260869,0,0
"79","nirD",1,0,0,0.117647058823529,0,0,0,0,0,0,0.882352941176471,0,0
"80","nrfA",1,0,0.0487804878048781,0.0487804878048781,0,0.195121951219512,0,0,0.0975609756097561,0,0.609756097560976,0,0
"81","nrfB",1,0,0.0487804878048781,0.0487804878048781,0,0.195121951219512,0,0,0.0975609756097561,0,0.609756097560976,0,0
"82","nrfC",1,0,0.0487804878048781,0.0487804878048781,0,0.195121951219512,0,0,0.0975609756097561,0,0.609756097560976,0,0
"83","nrfD",1,0,0.0487804878048781,0.0487804878048781,0,0.195121951219512,0,0,0.0975609756097561,0,0.609756097560976,0,0
"84","ytfE",1,0,0,0,0,0,0,0,0,0,1,0,0
"85","amtB",1,0,0,0,0,0,0,0,0,0,1,0,0
"86","argT",1,0,0,0,0,0,0,0,0,0,1,0,0
"87","ddpA",1,0,0,0,0,0,0,0,0,0,1,0,0
"88","ddpB",1,0,0,0,0,0,0,0,0,0,1,0,0
"89","ddpD",1,0,0,0,0,0,0,0,0,0,1,0,0
"90","ddpX",1,0,0,0,0,0,0,0,0,0,1,0,0
"91","glnA",1,0,0,0,0,0,0,0,0,0,1,0,0
"92","glnG",1,0,0,0,0,0,0,0,0,0,1,0,0
"93","glnK",1,0,0,0,0,0,0,0,0,0,1,0,0
"94","glnL",1,0,0,0,0,0,0,0,0,0,1,0,0
"95","hisM",1,0,0,0,0,0,0,0,0,0,1,0,0
"96","hisP",1,0,0,0,0,0,0,0,0,0,1,0,0
"97","patA",1,0,0,0,0,0,0,0,0,0,1,0,0
"98","potF",1,0,0,0,0,0,0,0,0,0,1,0,0
"99","potG",1,0,0,0,0,0,0,0,0,0,1,0,0
"100","potH",1,0,0,0,0,0,0,0,0,0,1,0,0
"101","potI",1,0,0,0,0,0,0,0,0,0,1,0,0
"102","yhdW",0,1,0,0,0,0,0,0,0,0,0,0,0
"103","pdeL",1,0,0,0,0,0,0,0,0,0,1,0,0
"104","prpE",1,0,0,0,0,0,0,0,0,0,1,0,0
"105","appA",1,0,0,0,0,0,0,0,0,0,1,0,0
"106","appB",1,0,0,0,0,0,0,0,0,0,1,0,0
"107","betA",1,0,0,0,0,0,0,0,0,0,1,0,0
