"","V1","FBL_number","No_FBL","FBL"
"1","aidB",0,0,1
"2","ssuD",0,0,1
"3","tauA",0,0,1
"4","tauB",0,0,1
"5","tauC",0,0,1
"6","csgA",0,0,1
"7","csgD",21,0,1
"8","csgE",0,0,1
"9","csgF",0,0,1
"10","csgG",0,0,1
"11","iraP",0,0,1
"12","tcyJ",0,0,1
"13","yccT",0,0,1
"14","gadC",0,0,1
"15","gadE",280,0,1
"16","gadF",0,0,1
"17","gadX",424,0,1
"18","mdtE",0,0,1
"19","mdtF",0,0,1
"20","yhiD",0,0,1
"21","dctR",0,0,1
"22","glsA",0,0,1
"23","rpoS",873,0,1
"24","mcbA",0,0,1
"25","yciE",0,0,1
"26","yciF",0,0,1
"27","yciG",0,0,1
"28","metE",0,0,1
"29","metR",0,0,1
"30","prpB",0,0,1
"31","prpC",0,0,1
"32","prpD",0,0,1
"33","prpR",0,0,1
"34","adiA",0,0,1
"35","appC",0,0,1
"36","appX",0,0,1
"37","hyaA",0,0,1
"38","hyaB",0,0,1
"39","hyaC",0,0,1
"40","hyaD",0,0,1
"41","hyaE",0,0,1
"42","hyaF",0,0,1
"43","araA",0,0,1
"44","araB",0,0,1
"45","araC",0,0,1
"46","araF",0,0,1
"47","caiA",0,0,1
"48","ttdR",0,0,1
"49","mlrA",3,0,1
"50","galS",1,0,1
"51","mglA",0,0,1
"52","mglB",0,0,1
"53","mglC",0,0,1
"54","glcA",0,0,1
"55","glcB",0,0,1
"56","glcD",0,0,1
"57","glcE",0,0,1
"58","glcF",0,0,1
"59","glcG",0,0,1
"60","hcaR",0,0,1
"61","iscR",0,0,1
"62","nrdE",0,0,1
"63","nrdH",0,0,1
"64","nrdI",0,0,1
"65","sufA",0,0,1
"66","sufB",0,0,1
"67","sufC",0,0,1
"68","sufD",0,0,1
"69","sufE",0,0,1
"70","sufS",0,0,1
"71","mhpA",0,0,1
"72","fdhF",0,0,1
"73","fdnG",0,0,1
"74","fdnH",0,0,1
"75","fdnI",0,0,1
"76","hcp",0,0,1
"77","hcr",0,0,1
"78","nirB",0,0,1
"79","nirD",0,0,1
"80","nrfA",0,0,1
"81","nrfB",0,0,1
"82","nrfC",0,0,1
"83","nrfD",0,0,1
"84","ytfE",0,0,1
"85","amtB",0,0,1
"86","argT",0,0,1
"87","ddpA",0,0,1
"88","ddpB",0,0,1
"89","ddpD",0,0,1
"90","ddpX",0,0,1
"91","glnA",0,0,1
"92","glnG",52,0,1
"93","glnK",0,0,1
"94","glnL",0,0,1
"95","hisM",0,0,1
"96","hisP",0,0,1
"97","patA",0,0,1
"98","potF",0,0,1
"99","potG",0,0,1
"100","potH",0,0,1
"101","potI",0,0,1
"102","yhdW",0,0,1
"103","pdeL",0,0,1
"104","prpE",0,0,1
"105","appA",0,0,1
"106","appB",0,0,1
"107","betA",0,0,1
"108","betB",0,0,1
"109","betI",0,0,1
"110","caiD",0,0,1
"111","lldR",0,0,1
"112","slp",0,0,1
"113","hdeB",0,0,1
"114","hdeD",0,0,1
"115","hdeA",0,0,1
"116","yccJ",0,0,1
"117","yhiM",0,0,1
"118","wrbA",0,0,1
"119","gadB",0,0,1
"120","gadA",0,0,1
"121","ybaT",0,0,1
"122","glcC",0,0,1
"123","gltB",0,0,1
"124","gltD",0,0,1
"125","lldD",0,0,1
"126","rcsA",12,0,1
"127","purD",0,0,1
"128","putA",0,0,1
"129","fliA",21,0,1
"130","fliE",0,0,1
"131","fliF",0,0,1
"132","fliG",0,0,1
"133","fliH",0,0,1
"134","fliI",0,0,1
"135","fliJ",0,0,1
"136","fliK",0,0,1
"137","hisJ",0,0,1
"138","fliZ",83,0,1
"139","purH",0,0,1
"140","nlpA",0,0,1
"141","nrdF",0,0,1
"142","cyoC",0,0,1
"143","cyoD",0,0,1
"144","cyoE",0,0,1
"145","lldP",0,0,1
"146","rmf",0,0,1
