"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1","aidB",1,0,0.5,0,0,0,0.5,0,0,0,0
"2","ssuD",1,0,0,0.25,0,0.25,0,0,0,0.5,0
"3","tauA",1,0,0,0,0,0,0,0,0,1,0
"4","tauB",1,0,0,1,0,0,0,0,0,0,0
"5","tauC",1,0,0,0,0,0,0,0,1,0,0
"6","csgA",1,0,0.230769230769231,0.153846153846154,0.0769230769230769,0.0769230769230769,0,0,0.384615384615385,0.0769230769230769,0
"7","csgD",1,0,0,0.511627906976744,0.0465116279069767,0.0697674418604651,0,0.27906976744186,0.0697674418604651,0.0232558139534884,0
"8","csgE",1,0,0.128571428571429,0.2,0.0428571428571429,0.0571428571428571,0.1,0.114285714285714,0.0285714285714286,0.328571428571429,0
"9","csgF",1,0,0.0428571428571429,0.314285714285714,0.0857142857142857,0.0428571428571429,0.0285714285714286,0.157142857142857,0.114285714285714,0.214285714285714,0
"10","csgG",1,0,0.0428571428571429,0.328571428571429,0.0714285714285714,0.0285714285714286,0.0285714285714286,0.185714285714286,0.114285714285714,0.2,0
"11","iraP",1,0,0.1,0.3,0.1,0,0,0,0.3,0.2,0
"12","tcyJ",1,0,0.0303030303030303,0.303030303030303,0.0303030303030303,0.0303030303030303,0,0.303030303030303,0.272727272727273,0.0303030303030303,0
"13","yccT",1,0,0,1,0,0,0,0,0,0,0
"14","gadC",1,0,0,0.433333333333333,0,0.1,0.0333333333333333,0.133333333333333,0.166666666666667,0.133333333333333,0
"15","gadE",1,0,0.0625,0.375,0.09375,0.125,0,0.125,0.1875,0.03125,0
"16","gadF",1,0,0,0.595238095238096,0,0.0714285714285714,0,0.214285714285714,0.119047619047619,0,0
"17","gadX",1,0,0,0.521739130434782,0,0.0869565217391304,0,0.217391304347826,0.173913043478261,0,0
"18","mdtE",1,0,0.0526315789473684,0.236842105263158,0.0263157894736842,0.131578947368421,0.0526315789473684,0.131578947368421,0.0263157894736842,0.342105263157895,0
"19","mdtF",1,0,0,0.428571428571429,0.0857142857142857,0.0285714285714286,0.0571428571428571,0.142857142857143,0.114285714285714,0.142857142857143,0
"20","yhiD",1,0,0,0.388888888888889,0.166666666666667,0,0.0555555555555556,0.111111111111111,0.222222222222222,0.0555555555555556,0
"21","dctR",1,0,0.136363636363636,0.136363636363636,0.0454545454545455,0,0.0454545454545455,0.181818181818182,0.272727272727273,0.181818181818182,0
"22","glsA",1,0,1,0,0,0,0,0,0,0,0
"23","rpoS",1,0,0.222222222222222,0.0555555555555556,0,0.0555555555555556,0.277777777777778,0,0.0555555555555556,0.333333333333333,0
"24","mcbA",0,1,0,0,0,0,0,0,0,0,0
"25","yciE",1,0,0,0,0.5,0,0,0.5,0,0,0
"26","yciF",0,1,0,0,0,0,0,0,0,0,0
"27","yciG",0,1,0,0,0,0,0,0,0,0,0
