"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","aidB",1,0,0.6,0,0,0.2,0,0,0.2,0,0,0,0
"2","ssuD",1,0,0.25,0,0,0.25,0,0,0,0,0.5,0,0
"3","tauA",1,0,0.428571428571429,0,0,0.142857142857143,0.285714285714286,0,0.142857142857143,0,0,0,0
"4","tauB",1,0,0.25,0,0,0.75,0,0,0,0,0,0,0
"5","tauC",1,0,0.25,0,0,0.25,0.5,0,0,0,0,0,0
"6","csgA",1,0,0.130434782608696,0.260869565217391,0,0,0,0.0869565217391304,0.0869565217391304,0.217391304347826,0.0869565217391304,0.130434782608696,0
"7","csgD",1,0,0.0857142857142857,0.185714285714286,0.0642857142857143,0.0214285714285714,0.107142857142857,0.0642857142857143,0.107142857142857,0.164285714285714,0.0857142857142857,0.114285714285714,0
"8","csgE",1,0,0.0546448087431694,0.19672131147541,0.0765027322404372,0.0655737704918033,0.103825136612022,0.0327868852459016,0.142076502732241,0.0874316939890711,0.136612021857924,0.103825136612022,0
"9","csgF",1,0,0.191256830601093,0.131147540983607,0.00546448087431694,0.092896174863388,0.098360655737705,0.0109289617486339,0.262295081967213,0.142076502732241,0.0491803278688525,0.0163934426229508,0
"10","csgG",1,0,0.306010928961749,0.0218579234972678,0,0.202185792349727,0,0,0.459016393442623,0,0.0109289617486339,0,0
"11","iraP",1,0,0.0909090909090909,0.363636363636364,0,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0.181818181818182,0,0
"12","tcyJ",1,0,0.207142857142857,0.107142857142857,0.00714285714285714,0.135714285714286,0.0785714285714286,0.00714285714285714,0.292857142857143,0.0785714285714286,0.0714285714285714,0.0142857142857143,0
"13","yccT",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","gadC",1,0,0.149253731343284,0.149253731343284,0.0298507462686567,0.0746268656716418,0.0746268656716418,0.0149253731343284,0.17910447761194,0.17910447761194,0.0895522388059701,0.0597014925373134,0
"15","gadF",1,0,0.0769230769230769,0.288461538461538,0.0961538461538461,0.0480769230769231,0.0769230769230769,0.00961538461538462,0.163461538461538,0.0480769230769231,0.144230769230769,0.0480769230769231,0
"16","mdtE",1,0,0.206521739130435,0.173913043478261,0.0217391304347826,0.0652173913043478,0.0978260869565217,0,0.206521739130435,0.108695652173913,0.0978260869565217,0.0217391304347826,0
"17","mdtF",1,0,0.152173913043478,0.217391304347826,0.0434782608695652,0.0652173913043478,0.0760869565217391,0.0108695652173913,0.228260869565217,0.0543478260869565,0.0978260869565217,0.0543478260869565,0
"18","yhiD",1,0,0.0196078431372549,0.215686274509804,0.156862745098039,0.0392156862745098,0.0784313725490196,0.0196078431372549,0.137254901960784,0.0196078431372549,0.274509803921569,0.0392156862745098,0
"19","dctR",1,0,0.137254901960784,0.215686274509804,0.0980392156862745,0.0392156862745098,0.0784313725490196,0,0.196078431372549,0.0784313725490196,0.0980392156862745,0.0588235294117647,0
"20","rpoS",1,0,0.105263157894737,0.210526315789474,0.105263157894737,0.0701754385964912,0.0175438596491228,0,0.228070175438596,0.0350877192982456,0.228070175438596,0,0
"21","mcbA",0,1,0,0,0,0,0,0,0,0,0,0,0
"22","yciE",1,0,0.5,0,0,0.25,0,0,0.25,0,0,0,0
"23","yciF",1,0,0,0,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0
"24","yciG",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"25","metE",1,0,0,0.2,0,0,0.2,0,0.4,0.2,0,0,0
"26","metR",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"27","prpB",1,0,0.25,0,0,0.25,0.5,0,0,0,0,0,0
"28","prpC",1,0,0,0.25,0,0,0.5,0.25,0,0,0,0,0
"29","prpD",1,0,0,0.25,0,0,0,0.75,0,0,0,0,0
"30","prpR",1,0,0,0,0,0,0,0,1,0,0,0,0
"31","adiA",1,0,0,0.285714285714286,0,0.142857142857143,0.285714285714286,0,0,0.142857142857143,0,0.142857142857143,0
"32","appC",1,0,0.266666666666667,0.466666666666667,0.0666666666666667,0,0.133333333333333,0,0,0,0,0.0666666666666667,0
"33","appX",1,0,0,0.5,0.3,0,0.1,0,0,0.1,0,0,0
"34","hyaA",1,0,0.266666666666667,0.366666666666667,0.0333333333333333,0,0,0.1,0.133333333333333,0.0333333333333333,0.0666666666666667,0,0
"35","hyaB",1,0,0.4,0.266666666666667,0,0.1,0,0,0.0333333333333333,0.166666666666667,0,0.0333333333333333,0
"36","hyaC",1,0,0.233333333333333,0.4,0.0333333333333333,0.0333333333333333,0.0666666666666667,0,0,0.166666666666667,0,0.0666666666666667,0
"37","hyaD",1,0,0.0333333333333333,0.366666666666667,0.266666666666667,0,0.0666666666666667,0.0333333333333333,0.0666666666666667,0,0.133333333333333,0.0333333333333333,0
"38","hyaE",1,0,0.666666666666667,0,0,0.1,0,0,0.233333333333333,0,0,0,0
"39","hyaF",1,0,0.2,0.366666666666667,0.1,0.1,0,0,0.133333333333333,0,0.1,0,0
"40","araA",0,1,0,0,0,0,0,0,0,0,0,0,0
"41","araB",1,0,0,0,0,0,1,0,0,0,0,0,0
"42","araC",1,0,0,0,0,0,1,0,0,0,0,0,0
"43","araF",1,0,0.454545454545455,0,0,0.0909090909090909,0,0,0.181818181818182,0.272727272727273,0,0,0
"44","caiA",1,0,0.222222222222222,0.333333333333333,0.0555555555555556,0.0555555555555556,0,0,0.222222222222222,0,0.111111111111111,0,0
"45","ttdR",0,1,0,0,0,0,0,0,0,0,0,0,0
"46","mlrA",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"47","galS",1,0,0,0,0,1,0,0,0,0,0,0,0
