"","V1","Loop_number","No_loop","Loop"
"1","aidB",4,0,1
"2","ssuD",4,0,1
"3","tauA",1,0,1
"4","tauB",1,0,1
"5","tauC",1,0,1
"6","csgA",13,0,1
"7","csgD",43,0,1
"8","csgE",70,0,1
"9","csgF",70,0,1
"10","csgG",70,0,1
"11","iraP",10,0,1
"12","tcyJ",33,0,1
"13","yccT",1,0,1
"14","gadC",30,0,1
"15","gadE",32,0,1
"16","gadF",42,0,1
"17","gadX",23,0,1
"18","mdtE",38,0,1
"19","mdtF",35,0,1
"20","yhiD",18,0,1
"21","dctR",22,0,1
"22","glsA",3,0,1
"23","rpoS",18,0,1
"24","mcbA",0,0,1
"25","yciE",2,0,1
"26","yciF",0,0,1
"27","yciG",0,0,1
"28","metE",3,0,1
"29","metR",0,0,1
"30","prpB",2,0,1
"31","prpC",2,0,1
"32","prpD",2,0,1
"33","prpR",2,0,1
"34","adiA",6,0,1
"35","appC",9,0,1
"36","appX",7,0,1
"37","hyaA",10,0,1
"38","hyaB",10,0,1
"39","hyaC",10,0,1
"40","hyaD",10,0,1
"41","hyaE",10,0,1
"42","hyaF",10,0,1
"43","araA",1,0,1
"44","araB",1,0,1
"45","araC",2,0,1
"46","araF",8,0,1
"47","caiA",11,0,1
"48","ttdR",0,0,1
"49","mlrA",2,0,1
"50","galS",2,0,1
"51","mglA",14,0,1
"52","mglB",12,0,1
"53","mglC",14,0,1
"54","glcA",7,0,1
"55","glcB",7,0,1
"56","glcD",7,0,1
"57","glcE",7,0,1
"58","glcF",7,0,1
"59","glcG",7,0,1
"60","hcaR",0,0,1
"61","iscR",1,0,1
"62","nrdE",3,0,1
"63","nrdH",3,0,1
"64","nrdI",3,0,1
"65","sufA",8,0,1
"66","sufB",8,0,1
"67","sufC",8,0,1
"68","sufD",8,0,1
"69","sufE",8,0,1
"70","sufS",8,0,1
"71","mhpA",3,0,1
"72","fdhF",3,0,1
"73","fdnG",2,0,1
"74","fdnH",1,0,1
"75","fdnI",1,0,1
"76","hcp",2,0,1
"77","hcr",1,0,1
"78","nirB",10,0,1
"79","nirD",9,0,1
"80","nrfA",4,0,1
"81","nrfB",4,0,1
"82","nrfC",4,0,1
"83","nrfD",4,0,1
"84","ytfE",1,0,1
"85","amtB",1,0,1
"86","argT",2,0,1
"87","ddpA",1,0,1
"88","ddpB",1,0,1
"89","ddpD",1,0,1
"90","ddpX",1,0,1
"91","glnA",5,0,1
"92","glnG",2,0,1
"93","glnK",2,0,1
"94","glnL",4,0,1
"95","hisM",5,0,1
"96","hisP",5,0,1
"97","patA",1,0,1
"98","potF",2,0,1
"99","potG",1,0,1
"100","potH",1,0,1
"101","potI",1,0,1
"102","yhdW",0,0,1
"103","pdeL",1,0,1
"104","prpE",2,0,1
"105","appA",7,0,1
"106","appB",7,0,1
"107","betA",4,0,1
"108","betB",4,0,1
"109","betI",1,0,1
"110","caiD",9,0,1
"111","lldR",1,0,1
"112","slp",21,0,1
"113","hdeB",18,0,1
"114","hdeD",20,0,1
"115","hdeA",18,0,1
"116","yccJ",1,0,1
"117","yhiM",5,0,1
"118","wrbA",1,0,1
"119","gadB",33,0,1
"120","gadA",29,0,1
"121","ybaT",2,0,1
"122","glcC",5,0,1
"123","gltB",28,0,1
"124","gltD",28,0,1
"125","lldD",1,0,1
"126","rcsA",6,0,1
"127","purD",2,0,1
"128","putA",2,0,1
"129","fliA",20,0,1
"130","fliE",7,0,1
"131","fliF",8,0,1
"132","fliG",8,0,1
"133","fliH",8,0,1
"134","fliI",8,0,1
"135","fliJ",8,0,1
"136","fliK",8,0,1
"137","hisJ",5,0,1
"138","fliZ",30,0,1
"139","purH",2,0,1
"140","nlpA",1,0,1
"141","nrdF",3,0,1
"142","cyoC",18,0,1
"143","cyoD",18,0,1
"144","cyoE",18,0,1
"145","lldP",3,0,1
"146","rmf",0,0,1
