"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"1","tauB",1,0,0,1,0,0,0,0,0,0
"2","csgA",1,0,0,0.461538461538462,0.0769230769230769,0.230769230769231,0,0,0.230769230769231,0
"3","csgD",1,0,0.0930232558139535,0.255813953488372,0.0465116279069767,0.116279069767442,0.0465116279069767,0.13953488372093,0.27906976744186,0.0232558139534884
"4","csgF",1,0,0.0571428571428571,0.314285714285714,0.0428571428571429,0.285714285714286,0.0285714285714286,0.0857142857142857,0.171428571428571,0.0142857142857143
"5","csgG",1,0,0.0571428571428571,0.314285714285714,0.0428571428571429,0.285714285714286,0.0285714285714286,0.0857142857142857,0.171428571428571,0.0142857142857143
"6","iraP",1,0,0,0.3,0,0.3,0,0.1,0.2,0.1
"7","yccT",1,0,0,0,0,0,0,0,0,1
"8","gadC",1,0,0.0666666666666667,0.433333333333333,0,0.3,0.0333333333333333,0,0.166666666666667,0
"9","gadF",1,0,0.0238095238095238,0.619047619047619,0,0.214285714285714,0,0.0476190476190476,0.0952380952380952,0
"10","gltB",1,0,0.0357142857142857,0.321428571428571,0,0.178571428571429,0.107142857142857,0.0714285714285714,0.25,0.0357142857142857
"11","gltD",1,0,0.0357142857142857,0.321428571428571,0,0.178571428571429,0.107142857142857,0.0714285714285714,0.25,0.0357142857142857
"12","mdtE",1,0,0.0263157894736842,0.578947368421052,0,0.236842105263158,0,0.0526315789473684,0.105263157894737,0
"13","mdtF",1,0,0.0285714285714286,0.6,0,0.257142857142857,0,0,0.114285714285714,0
"14","yhiD",1,0,0.0555555555555556,0.444444444444445,0,0.166666666666667,0.0555555555555556,0,0.277777777777778,0
"15","dctR",1,0,0,0.454545454545455,0.0454545454545455,0.181818181818182,0.0454545454545455,0,0.227272727272727,0.0454545454545455
"16","glsA",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"17","appC",1,0,0,0.666666666666667,0,0,0,0.111111111111111,0.222222222222222,0
"18","appX",1,0,0,0.857142857142857,0,0,0,0.142857142857143,0,0
"19","hyaB",1,0,0,0.6,0,0,0,0.1,0.3,0
"20","hyaC",1,0,0,0.6,0,0,0,0.1,0.3,0
"21","hyaD",1,0,0,0.6,0,0,0,0.1,0.3,0
"22","hyaE",1,0,0,0.6,0,0,0,0.1,0.3,0
"23","hyaF",1,0,0,0.6,0,0,0,0.1,0.3,0
"24","fliA",1,0,0.1,0.25,0.05,0.3,0.15,0,0.15,0
"25","fliE",1,0,0,0.714285714285714,0,0.142857142857143,0,0,0.142857142857143,0
"26","fliH",1,0,0,0.625,0,0.125,0,0,0.25,0
"27","fliZ",1,0,0.0666666666666667,0.3,0.0333333333333333,0.4,0.1,0,0.1,0
"28","ttdR",0,1,0,0,0,0,0,0,0,0
"29","glcA",1,0,0,0.285714285714286,0,0.142857142857143,0,0.285714285714286,0.285714285714286,0
"30","glcG",1,0,0,0.285714285714286,0,0.142857142857143,0,0.285714285714286,0.285714285714286,0
"31","mhpA",1,0,0,1,0,0,0,0,0,0
"32","fdnG",1,0,0,1,0,0,0,0,0,0
"33","hcr",1,0,0,0,0,0,0,1,0,0
"34","nrfA",1,0,0,0.75,0,0,0,0,0.25,0
"35","ddpA",1,0,0,1,0,0,0,0,0,0
"36","ddpB",1,0,0,1,0,0,0,0,0,0
"37","ddpD",1,0,0,1,0,0,0,0,0,0
"38","glnG",1,0,0,1,0,0,0,0,0,0
"39","hisP",1,0,0,0.8,0,0,0,0,0.2,0
"40","patA",1,0,0,1,0,0,0,0,0,0
"41","potF",1,0,0.5,0.5,0,0,0,0,0,0
"42","potG",1,0,0,1,0,0,0,0,0,0
"43","pdeL",1,0,0,0,0,0,0,0,1,0
"44","appA",1,0,0,0.857142857142857,0,0,0,0.142857142857143,0,0
"45","appB",1,0,0,0.857142857142857,0,0,0,0.142857142857143,0,0
"46","caiD",1,0,0,0.666666666666667,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0
