"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"1","crcB",0,1,0,0,0,0,0,0,0,0,0,0
"2","feoA",1,0,0.125,0.5,0.125,0,0,0,0.25,0,0,0
"3","fimB",1,0,0.235294117647059,0.529411764705882,0.0588235294117647,0.176470588235294,0,0,0,0,0,0
"4","lrp",1,0,0,0.4,0.52,0,0.04,0,0,0,0.04,0
"5","nlpD",0,1,0,0,0,0,0,0,0,0,0,0
"6","relB",0,1,0,0,0,0,0,0,0,0,0,0
"7","relE",0,1,0,0,0,0,0,0,0,0,0,0
"8","ruvA",0,1,0,0,0,0,0,0,0,0,0,0
"9","sdiA",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0
"10","yajI",0,1,0,0,0,0,0,0,0,0,0,0
"11","ybbC",0,1,0,0,0,0,0,0,0,0,0,0
"12","ybcW",0,1,0,0,0,0,0,0,0,0,0,0
"13","ycgJ",0,1,0,0,0,0,0,0,0,0,0,0
"14","ycgL",0,1,0,0,0,0,0,0,0,0,0,0
"15","ycgZ",1,0,0.2,0.4,0,0,0,0,0.4,0,0,0
"16","ychE",0,1,0,0,0,0,0,0,0,0,0,0
"17","ydcD",0,1,0,0,0,0,0,0,0,0,0,0
"18","yefM",0,1,0,0,0,0,0,0,0,0,0,0
"19","yffB",0,1,0,0,0,0,0,0,0,0,0,0
"20","ygaC",0,1,0,0,0,0,0,0,0,0,0,0
"21","yhhX",0,1,0,0,0,0,0,0,0,0,0,0
"22","yicG",0,1,0,0,0,0,0,0,0,0,0,0
"23","yiiF",0,1,0,0,0,0,0,0,0,0,0,0
"24","ykfB",0,1,0,0,0,0,0,0,0,0,0,0
"25","eno",1,0,0.25,0.25,0,0,0,0,0.5,0,0,0
"26","fliN",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0
"27","fliP",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0
"28","gatZ",1,0,0,1,0,0,0,0,0,0,0,0
"29","gpsA",0,1,0,0,0,0,0,0,0,0,0,0
"30","lspA",1,0,1,0,0,0,0,0,0,0,0,0
"31","nuoC",1,0,0.0344827586206897,0.344827586206897,0.241379310344828,0.0344827586206897,0.137931034482759,0.0689655172413793,0,0.0689655172413793,0,0.0689655172413793
"32","nuoE",1,0,0.0344827586206897,0.344827586206897,0.241379310344828,0.0344827586206897,0.137931034482759,0.0689655172413793,0,0.0689655172413793,0,0.0689655172413793
"33","nuoF",1,0,0.0344827586206897,0.344827586206897,0.241379310344828,0.0344827586206897,0.137931034482759,0.0689655172413793,0,0.0689655172413793,0,0.0689655172413793
"34","pgk",1,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0
"35","ptsH",1,0,0.2,0.6,0.2,0,0,0,0,0,0,0
"36","rfbX",0,1,0,0,0,0,0,0,0,0,0,0
"37","rne",0,1,0,0,0,0,0,0,0,0,0,0
"38","thyA",0,1,0,0,0,0,0,0,0,0,0,0
"39","tktA",0,1,0,0,0,0,0,0,0,0,0,0
"40","ybiW",0,1,0,0,0,0,0,0,0,0,0,0
"41","yedF",0,1,0,0,0,0,0,0,0,0,0,0
"42","yraQ",0,1,0,0,0,0,0,0,0,0,0,0
"43","accD",1,0,0,0.5,0,0.5,0,0,0,0,0,0
"44","agaR",0,1,0,0,0,0,0,0,0,0,0,0
"45","allR",0,1,0,0,0,0,0,0,0,0,0,0
"46","chpS",0,1,0,0,0,0,0,0,0,0,0,0
"47","cobU",0,1,0,0,0,0,0,0,0,0,0,0
"48","corA",0,1,0,0,0,0,0,0,0,0,0,0
"49","creA",1,0,0.25,0.5,0.25,0,0,0,0,0,0,0
"50","cspD",1,0,0.25,0.5,0,0,0,0,0.25,0,0,0
"51","cybB",0,1,0,0,0,0,0,0,0,0,0,0
"52","dicA",0,1,0,0,0,0,0,0,0,0,0,0
"53","dsrB",0,1,0,0,0,0,0,0,0,0,0,0
"54","dtd",0,1,0,0,0,0,0,0,0,0,0,0
"55","flxA",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"56","ftsE",0,1,0,0,0,0,0,0,0,0,0,0
"57","ftsY",0,1,0,0,0,0,0,0,0,0,0,0
"58","galM",1,0,0,0.25,0.25,0,0,0,0.0833333333333333,0.0833333333333333,0.166666666666667,0.166666666666667
"59","hipB",1,0,0.142857142857143,0.142857142857143,0,0.428571428571429,0,0,0,0,0.285714285714286,0
"60","hisL",1,0,0,1,0,0,0,0,0,0,0,0
"61","intF",0,1,0,0,0,0,0,0,0,0,0,0
"62","mobA",0,1,0,0,0,0,0,0,0,0,0,0
"63","mobB",0,1,0,0,0,0,0,0,0,0,0,0
"64","ogrK",0,1,0,0,0,0,0,0,0,0,0,0
"65","panD",0,1,0,0,0,0,0,0,0,0,0,0
"66","pdxJ",0,1,0,0,0,0,0,0,0,0,0,0
"67","pheM",1,0,0,0,1,0,0,0,0,0,0,0
"68","pmrD",0,1,0,0,0,0,0,0,0,0,0,0
"69","ssb",1,0,0,0,1,0,0,0,0,0,0,0
"70","sulA",1,0,0,1,0,0,0,0,0,0,0,0
"71","tfaS",0,1,0,0,0,0,0,0,0,0,0,0
"72","umuD",0,1,0,0,0,0,0,0,0,0,0,0
"73","yacC",0,1,0,0,0,0,0,0,0,0,0,0
"74","yciN",0,1,0,0,0,0,0,0,0,0,0,0
"75","yebG",0,1,0,0,0,0,0,0,0,0,0,0
"76","yedJ",0,1,0,0,0,0,0,0,0,0,0,0
"77","yeiS",0,1,0,0,0,0,0,0,0,0,0,0
"78","yfdK",0,1,0,0,0,0,0,0,0,0,0,0
"79","yhaJ",0,1,0,0,0,0,0,0,0,0,0,0
"80","yhbP",0,1,0,0,0,0,0,0,0,0,0,0
"81","yhhM",0,1,0,0,0,0,0,0,0,0,0,0
"82","yhiI",0,1,0,0,0,0,0,0,0,0,0,0
"83","yibL",0,1,0,0,0,0,0,0,0,0,0,0
"84","yidB",0,1,0,0,0,0,0,0,0,0,0,0
"85","yifN",0,1,0,0,0,0,0,0,0,0,0,0
"86","yihD",0,1,0,0,0,0,0,0,0,0,0,0
"87","yjaG",0,1,0,0,0,0,0,0,0,0,0,0
"88","yjbD",0,1,0,0,0,0,0,0,0,0,0,0
"89","yjbQ",1,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0
"90","yjdJ",0,1,0,0,0,0,0,0,0,0,0,0
"91","yjhD",0,1,0,0,0,0,0,0,0,0,0,0
"92","yjjX",0,1,0,0,0,0,0,0,0,0,0,0
"93","ykgJ",0,1,0,0,0,0,0,0,0,0,0,0
"94","ymfK",0,1,0,0,0,0,0,0,0,0,0,0
"95","ymgA",1,0,0.2,0.4,0,0,0,0,0.4,0,0,0
"96","ynjH",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0
"97","yoaF",0,1,0,0,0,0,0,0,0,0,0,0
"98","yoaH",0,1,0,0,0,0,0,0,0,0,0,0
"99","yrdA",0,1,0,0,0,0,0,0,0,0,0,0
"100","zipA",0,1,0,0,0,0,0,0,0,0,0,0
"101","zntR",1,0,1,0,0,0,0,0,0,0,0,0
"102","aceE",1,0,0.1,0.5,0.1,0,0,0,0.1,0.1,0.1,0
"103","alaT",1,0,0.4,0.4,0.1,0.1,0,0,0,0,0,0
"104","alaU",1,0,0.571428571428571,0.285714285714286,0,0.142857142857143,0,0,0,0,0,0
"105","alaX",1,0,0,0,0,1,0,0,0,0,0,0
"106","ansA",0,1,0,0,0,0,0,0,0,0,0,0
"107","argQ",0,1,0,0,0,0,0,0,0,0,0,0
"108","argZ",0,1,0,0,0,0,0,0,0,0,0,0
"109","artI",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0
"110","artP",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0
"111","cheB",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"112","cheZ",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"113","fbaA",1,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0
"114","fliD",1,0,0.277777777777778,0.0555555555555556,0,0.611111111111111,0.0555555555555556,0,0,0,0,0
"115","fliL",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0
"116","fliM",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0
"117","fliO",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0
"118","fliS",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0
"119","fliT",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0
"120","gatA",1,0,0,1,0,0,0,0,0,0,0,0
"121","gatB",1,0,0,1,0,0,0,0,0,0,0,0
"122","glnS",1,0,1,0,0,0,0,0,0,0,0,0
"123","glnW",1,0,0,0,0,1,0,0,0,0,0,0
"124","gltT",1,0,0.266666666666667,0.4,0.2,0.0666666666666667,0,0.0666666666666667,0,0,0,0
"125","gltU",1,0,0.4,0.4,0.1,0.1,0,0,0,0,0,0
"126","gltV",1,0,0.571428571428571,0.285714285714286,0,0.142857142857143,0,0,0,0,0,0
"127","gltW",1,0,0.571428571428571,0.285714285714286,0,0.142857142857143,0,0,0,0,0,0
"128","gnd",1,0,0,0.4,0.2,0,0,0,0,0.2,0.2,0
"129","ileT",1,0,0.4,0.4,0.1,0.1,0,0,0,0,0,0
"130","ileU",1,0,0.571428571428571,0.285714285714286,0,0.142857142857143,0,0,0,0,0,0
"131","leuW",1,0,0,0,0,1,0,0,0,0,0,0
"132","lpxD",1,0,0.857142857142857,0,0,0,0,0,0.142857142857143,0,0,0
"133","lysQ",0,1,0,0,0,0,0,0,0,0,0,0
"134","lysT",1,0,0,0,0,1,0,0,0,0,0,0
"135","lysW",1,0,0,0,0,1,0,0,0,0,0,0
"136","lysY",0,1,0,0,0,0,0,0,0,0,0,0
"137","lysZ",0,1,0,0,0,0,0,0,0,0,0,0
"138","malE",1,0,0.407407407407407,0.407407407407407,0.037037037037037,0.037037037037037,0,0,0.037037037037037,0.0740740740740741,0,0
"139","metT",1,0,0,0.5,0,0.5,0,0,0,0,0,0
"140","metU",1,0,0,0,0,1,0,0,0,0,0,0
"141","nuoA",1,0,0.0217391304347826,0.304347826086956,0.391304347826087,0.0217391304347826,0.0869565217391304,0.0869565217391304,0,0.0434782608695652,0,0.0434782608695652
"142","nuoB",1,0,0.0344827586206897,0.344827586206897,0.241379310344828,0.0344827586206897,0.137931034482759,0.0689655172413793,0,0.0689655172413793,0,0.0689655172413793
"143","nuoG",1,0,0.0344827586206897,0.344827586206897,0.241379310344828,0.0344827586206897,0.137931034482759,0.0689655172413793,0,0.0689655172413793,0,0.0689655172413793
"144","nuoI",1,0,0.0344827586206897,0.344827586206897,0.241379310344828,0.0344827586206897,0.137931034482759,0.0689655172413793,0,0.0689655172413793,0,0.0689655172413793
"145","nuoL",1,0,0.0344827586206897,0.344827586206897,0.241379310344828,0.0344827586206897,0.137931034482759,0.0689655172413793,0,0.0689655172413793,0,0.0689655172413793
"146","oppA",1,0,0,0.375,0.375,0,0.125,0,0,0.125,0,0
"147","oppC",1,0,0,0.333333333333333,0.5,0,0.0833333333333333,0,0,0.0833333333333333,0,0
"148","pepQ",0,1,0,0,0,0,0,0,0,0,0,0
"149","potC",0,1,0,0,0,0,0,0,0,0,0,0
"150","potD",0,1,0,0,0,0,0,0,0,0,0,0
"151","pssA",0,1,0,0,0,0,0,0,0,0,0,0
"152","rfaD",1,0,0.636363636363636,0,0,0,0,0,0.363636363636364,0,0,0
"153","ribE",1,0,0.5,0.5,0,0,0,0,0,0,0,0
"154","serT",1,0,0,0,0,1,0,0,0,0,0,0
"155","tap",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"156","tar",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"157","thrV",1,0,0.571428571428571,0.285714285714286,0,0.142857142857143,0,0,0,0,0,0
"158","tsr",1,0,0,1,0,0,0,0,0,0,0,0
"159","tyrT",1,0,0,0,0,1,0,0,0,0,0,0
"160","tyrV",1,0,0,0,0,1,0,0,0,0,0,0
"161","yfdH",0,1,0,0,0,0,0,0,0,0,0,0
"162","pyrL",0,1,0,0,0,0,0,0,0,0,0,0
"163","yfaZ",0,1,0,0,0,0,0,0,0,0,0,0
"164","ampD",0,1,0,0,0,0,0,0,0,0,0,0
"165","cueR",0,1,0,0,0,0,0,0,0,0,0,0
"166","intR",0,1,0,0,0,0,0,0,0,0,0,0
"167","priC",0,1,0,0,0,0,0,0,0,0,0,0
"168","seqA",1,0,0,0,0.5,0,0,0,0,0,0,0.5
"169","yajG",0,1,0,0,0,0,0,0,0,0,0,0
"170","ytfP",0,1,0,0,0,0,0,0,0,0,0,0
"171","yeaQ",0,1,0,0,0,0,0,0,0,0,0,0
"172","osmY",1,0,0,0.136363636363636,0.363636363636364,0,0.0909090909090909,0.181818181818182,0.0227272727272727,0.0909090909090909,0,0.113636363636364
"173","hdeA",1,0,0.176470588235294,0.352941176470588,0.137254901960784,0.0392156862745098,0.0588235294117647,0.0392156862745098,0.0392156862745098,0.0588235294117647,0.0784313725490196,0.0196078431372549
"174","yahO",0,1,0,0,0,0,0,0,0,0,0,0
"175","nlpA",1,0,0,1,0,0,0,0,0,0,0,0
"176","rpoS",1,0,0.105263157894737,0.473684210526316,0.298245614035088,0,0.0175438596491228,0,0.0526315789473684,0.0175438596491228,0.0350877192982456,0
"177","rmf",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"178","fliF",1,0,0.144927536231884,0.115942028985507,0.0144927536231884,0.318840579710145,0.144927536231884,0.0144927536231884,0,0.115942028985507,0.115942028985507,0.0144927536231884
"179","fliG",1,0,0.144927536231884,0.115942028985507,0.0144927536231884,0.318840579710145,0.144927536231884,0.0144927536231884,0,0.115942028985507,0.115942028985507,0.0144927536231884
"180","fliI",1,0,0.144927536231884,0.115942028985507,0.0144927536231884,0.318840579710145,0.144927536231884,0.0144927536231884,0,0.115942028985507,0.115942028985507,0.0144927536231884
"181","fliJ",1,0,0.144927536231884,0.115942028985507,0.0144927536231884,0.318840579710145,0.144927536231884,0.0144927536231884,0,0.115942028985507,0.115942028985507,0.0144927536231884
"182","fliK",1,0,0.144927536231884,0.115942028985507,0.0144927536231884,0.318840579710145,0.144927536231884,0.0144927536231884,0,0.115942028985507,0.115942028985507,0.0144927536231884
"183","glcC",1,0,0,0.6,0.2,0,0.2,0,0,0,0,0
"184","iscR",0,1,0,0,0,0,0,0,0,0,0,0
"185","nrdH",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"186","nrdI",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"187","argT",1,0,0.5,0.5,0,0,0,0,0,0,0,0
"188","betI",1,0,1,0,0,0,0,0,0,0,0,0
"189","cyoC",1,0,0.146341463414634,0.487804878048781,0.170731707317073,0.024390243902439,0.024390243902439,0,0,0.0975609756097561,0.0487804878048781,0
"190","cyoD",1,0,0.146341463414634,0.487804878048781,0.170731707317073,0.024390243902439,0.024390243902439,0,0,0.0975609756097561,0.0487804878048781,0
"191","clpA",0,1,0,0,0,0,0,0,0,0,0,0
"192","hybD",1,0,0,0,1,0,0,0,0,0,0,0
"193","tonB",0,1,0,0,0,0,0,0,0,0,0,0
"194","fis",1,0,0.2,0.2,0,0.6,0,0,0,0,0,0
"195","gltA",1,0,0.2,0.4,0.1,0.3,0,0,0,0,0,0
"196","dadA",0,1,0,0,0,0,0,0,0,0,0,0
"197","sucD",1,0,0.103448275862069,0.310344827586207,0.137931034482759,0,0.172413793103448,0.0689655172413793,0.0689655172413793,0.0689655172413793,0,0.0689655172413793
