"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"1","betI",1,0,0,0,0,0,0,0,1,0
"2","crcB",0,1,0,0,0,0,0,0,0,0
"3","feoA",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0
"4","fimB",1,0,0,0.272727272727273,0,0.0909090909090909,0,0.454545454545455,0.181818181818182,0
"5","lrp",1,0,0,0.1,0,0.1,0.2,0,0.5,0.1
"6","nlpD",0,1,0,0,0,0,0,0,0,0
"7","relB",1,0,0,0,0,0,0,0,1,0
"8","relE",1,0,0,0,0,0,0,0,1,0
"9","ruvA",0,1,0,0,0,0,0,0,0,0
"10","sdiA",1,0,0,0.5,0,0,0,0,0.5,0
"11","yajI",0,1,0,0,0,0,0,0,0,0
"12","ybbC",0,1,0,0,0,0,0,0,0,0
"13","ybcW",0,1,0,0,0,0,0,0,0,0
"14","ycgJ",0,1,0,0,0,0,0,0,0,0
"15","ycgL",0,1,0,0,0,0,0,0,0,0
"16","ycgZ",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"17","ychE",0,1,0,0,0,0,0,0,0,0
"18","ydcD",0,1,0,0,0,0,0,0,0,0
"19","yefM",1,0,0,0,0,0,0,0,1,0
"20","yffB",1,0,0,1,0,0,0,0,0,0
"21","ygaC",1,0,0,0,0,0,1,0,0,0
"22","yhhX",0,1,0,0,0,0,0,0,0,0
"23","yicG",0,1,0,0,0,0,0,0,0,0
"24","yiiF",0,1,0,0,0,0,0,0,0,0
"25","ykfB",0,1,0,0,0,0,0,0,0,0
"26","eno",1,0,0,1,0,0,0,0,0,0
"27","fliF",1,0,0,0.625,0,0.125,0,0,0.25,0
"28","fliG",1,0,0,0.625,0,0.125,0,0,0.25,0
"29","fliN",1,0,0,1,0,0,0,0,0,0
"30","fliP",1,0,0,1,0,0,0,0,0,0
"31","gatZ",1,0,0,0.5,0,0,0,0,0.5,0
"32","gpsA",1,0,0,1,0,0,0,0,0,0
"33","lspA",1,0,0,1,0,0,0,0,0,0
"34","nuoC",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143
"35","nuoE",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143
"36","nuoF",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143
"37","pgk",1,0,0,0.5,0,0,0,0.25,0,0.25
"38","ptsH",1,0,0,0.4,0,0,0,0,0.6,0
"39","rfbX",0,1,0,0,0,0,0,0,0,0
"40","rne",0,1,0,0,0,0,0,0,0,0
"41","thyA",0,1,0,0,0,0,0,0,0,0
"42","tktA",0,1,0,0,0,0,0,0,0,0
"43","ybiW",0,1,0,0,0,0,0,0,0,0
"44","yedF",0,1,0,0,0,0,0,0,0,0
"45","yraQ",0,1,0,0,0,0,0,0,0,0
"46","accD",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"47","agaR",0,1,0,0,0,0,0,0,0,0
"48","allR",0,1,0,0,0,0,0,0,0,0
"49","chpS",0,1,0,0,0,0,0,0,0,0
"50","cobU",0,1,0,0,0,0,0,0,0,0
"51","corA",0,1,0,0,0,0,0,0,0,0
"52","creA",1,0,0,0.5,0,0,0,0,0.5,0
"53","cspD",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"54","cybB",0,1,0,0,0,0,0,0,0,0
"55","dicA",0,1,0,0,0,0,0,0,0,0
"56","dsrB",0,1,0,0,0,0,0,0,0,0
"57","dtd",0,1,0,0,0,0,0,0,0,0
"58","flxA",0,1,0,0,0,0,0,0,0,0
"59","ftsE",0,1,0,0,0,0,0,0,0,0
"60","ftsY",0,1,0,0,0,0,0,0,0,0
"61","galM",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"62","hipB",1,0,0,0.166666666666667,0,0,0,0.333333333333333,0.5,0
"63","hisL",0,1,0,0,0,0,0,0,0,0
"64","intF",0,1,0,0,0,0,0,0,0,0
"65","mobA",0,1,0,0,0,0,0,0,0,0
"66","mobB",0,1,0,0,0,0,0,0,0,0
"67","ogrK",0,1,0,0,0,0,0,0,0,0
"68","panD",1,0,0,0,0,0,0,0,1,0
"69","pdxJ",0,1,0,0,0,0,0,0,0,0
"70","pheM",0,1,0,0,0,0,0,0,0,0
"71","pmrD",0,1,0,0,0,0,0,0,0,0
"72","ssb",1,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0
"73","sulA",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0
"74","tfaS",0,1,0,0,0,0,0,0,0,0
"75","umuD",1,0,0,0,0,0.5,0,0,0.5,0
"76","yacC",0,1,0,0,0,0,0,0,0,0
"77","yciN",0,1,0,0,0,0,0,0,0,0
"78","yebG",1,0,0,0,0,0.5,0,0,0.5,0
"79","yedJ",0,1,0,0,0,0,0,0,0,0
"80","yeiS",0,1,0,0,0,0,0,0,0,0
"81","yfdK",0,1,0,0,0,0,0,0,0,0
"82","yhaJ",0,1,0,0,0,0,0,0,0,0
"83","yhbP",0,1,0,0,0,0,0,0,0,0
"84","yhhM",0,1,0,0,0,0,0,0,0,0
"85","yhiI",0,1,0,0,0,0,0,0,0,0
"86","yibL",0,1,0,0,0,0,0,0,0,0
"87","yidB",0,1,0,0,0,0,0,0,0,0
"88","yifN",0,1,0,0,0,0,0,0,0,0
"89","yihD",0,1,0,0,0,0,0,0,0,0
"90","yjaG",0,1,0,0,0,0,0,0,0,0
"91","yjbD",0,1,0,0,0,0,0,0,0,0
"92","yjbQ",1,0,0.25,0,0,0,0.25,0,0.25,0.25
"93","yjdJ",0,1,0,0,0,0,0,0,0,0
"94","yjhD",0,1,0,0,0,0,0,0,0,0
"95","yjjX",0,1,0,0,0,0,0,0,0,0
"96","ykgJ",0,1,0,0,0,0,0,0,0,0
"97","ymfK",0,1,0,0,0,0,0,0,0,0
"98","ymgA",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"99","ynjH",1,0,0,0,0,0.5,0,0,0.5,0
"100","yoaF",0,1,0,0,0,0,0,0,0,0
"101","yoaH",0,1,0,0,0,0,0,0,0,0
"102","yrdA",0,1,0,0,0,0,0,0,0,0
"103","zipA",0,1,0,0,0,0,0,0,0,0
"104","zntR",0,1,0,0,0,0,0,0,0,0
"105","aceE",1,0,0,0.181818181818182,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.363636363636364,0.0909090909090909
"106","alaT",1,0,0,0.428571428571429,0,0.285714285714286,0,0,0.285714285714286,0
"107","alaU",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0
"108","alaX",1,0,0,1,0,0,0,0,0,0
"109","ansA",0,1,0,0,0,0,0,0,0,0
"110","argQ",0,1,0,0,0,0,0,0,0,0
"111","argZ",0,1,0,0,0,0,0,0,0,0
"112","artI",1,0,0,0.5,0,0,0,0,0.5,0
"113","artP",1,0,0,0.5,0,0,0,0,0.5,0
"114","cheB",0,1,0,0,0,0,0,0,0,0
"115","cheZ",0,1,0,0,0,0,0,0,0,0
"116","fbaA",1,0,0,0.5,0,0,0,0.25,0,0.25
"117","fliD",1,0,0,1,0,0,0,0,0,0
"118","fliI",1,0,0,0.625,0,0.125,0,0,0.25,0
"119","fliJ",1,0,0,0.625,0,0.125,0,0,0.25,0
"120","fliK",1,0,0,0.625,0,0.125,0,0,0.25,0
"121","fliL",1,0,0,1,0,0,0,0,0,0
"122","fliM",1,0,0,1,0,0,0,0,0,0
"123","fliO",1,0,0,1,0,0,0,0,0,0
"124","fliS",1,0,0,1,0,0,0,0,0,0
"125","fliT",1,0,0,1,0,0,0,0,0,0
"126","gatA",1,0,0,0.5,0,0,0,0,0.5,0
"127","gatB",1,0,0,0.5,0,0,0,0,0.5,0
"128","glnS",1,0,0,1,0,0,0,0,0,0
"129","glnW",1,0,0,1,0,0,0,0,0,0
"130","gltT",1,0,0,0.3,0,0.2,0.1,0,0.4,0
"131","gltU",1,0,0,0.428571428571429,0,0.285714285714286,0,0,0.285714285714286,0
"132","gltV",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0
"133","gltW",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0
"134","gnd",1,0,0,0.25,0,0,0.25,0,0.5,0
"135","ileT",1,0,0,0.428571428571429,0,0.285714285714286,0,0,0.285714285714286,0
