"","Coherent","Incoherent","No_loop","Loop"
"1",0,0,1,0
"2",1,0,0,1
"3",0,1,0,1
"4",0,0,1,0
"5",0,0,1,0
"6",1,0,0,1
"7",0,0,1,0
"8",0,0,1,0
"9",0,1,0,1
"10",0,0,1,0
"11",1,0,0,1
"12",0,0,1,0
"13",0,0,1,0
"14",0,0,1,0
"15",0.0588235294117647,0.941176470588235,0,1
"16",0,0,1,0
"17",0.666666666666667,0.333333333333333,0,1
"18",0.21875,0.78125,0,1
"19",0,0,1,0
"20",0.285714285714286,0.714285714285714,0,1
"21",1,0,0,1
"22",0,0,1,0
"23",0,1,0,1
"24",0,0,1,0
"25",0,0,1,0
"26",0.0810810810810811,0.918918918918918,0,1
"27",0.3,0.7,0,1
"28",0,0,1,0
"29",0,0,1,0
"30",0,0.999999999999999,0,1
"31",0.74468085106383,0.25531914893617,0,1
"32",0,0,1,0
"33",0,0,1,0
"34",0,0,1,0
"35",1,0,0,1
"36",1,0,0,1
"37",0.51219512195122,0.487804878048781,0,1
"38",0.608695652173913,0.391304347826087,0,1
"39",0.548387096774193,0.451612903225806,0,1
"40",0,1,0,1
"41",0,0,1,0
"42",0,0,1,0
"43",0,1,0,1
"44",0.308943089430894,0.691056910569106,0,1
"45",0.189189189189189,0.81081081081081,0,1
"46",0.102040816326531,0.89795918367347,0,1
"47",0,0,1,0
"48",1,0,0,1
"49",0,0,1,0
"50",1,0,0,1
"51",0,0,1,0
"52",0,0,1,0
"53",0,0,1,0
"54",0,0,1,0
"55",0,0,1,0
"56",0,0,1,0
"57",0,0,1,0
"58",0,0,1,0
"59",0.999999999999999,0,0,1
"60",0,0,1,0
"61",0,0,1,0
"62",0,0,1,0
"63",0,0,1,0
"64",0,0,1,0
"65",0,0,1,0
"66",0,0,1,0
"67",0,0,1,0
"68",0,1,0,1
"69",0,0,1,0
"70",0,0,1,0
"71",0,0,1,0
"72",0,0,1,0
"73",0,1,0,1
"74",0,0,1,0
"75",0,0,1,0
"76",0,0,1,0
"77",0,0,1,0
"78",0,0,1,0
"79",0,0,1,0
"80",0,0,1,0
"81",0,0,1,0
"82",0,0,1,0
"83",0,0,1,0
"84",1,0,0,1
"85",1,0,0,1
"86",0,1,0,1
"87",1,0,0,1
"88",0,0,1,0
"89",0,0,1,0
"90",0,0,1,0
"91",0,0,1,0
"92",0,0,1,0
"93",1,0,0,1
"94",0.253968253968254,0.746031746031745,0,1
"95",0.253968253968254,0.746031746031745,0,1
"96",0.206349206349206,0.793650793650793,0,1
"97",0,0,1,0
"98",0.236842105263158,0.763157894736842,0,1
"99",0.225,0.775,0,1
"100",0.171428571428571,0.828571428571429,0,1
"101",0,1,0,1
"102",0,1,0,1
"103",0,1,0,1
"104",0.0714285714285714,0.928571428571429,0,1
"105",0.339285714285714,0.660714285714286,0,1
"106",0.24390243902439,0.75609756097561,0,1
"107",0,1,0,1
"108",0.268292682926829,0.731707317073171,0,1
"109",0.731707317073171,0.268292682926829,0,1
"110",0,1,0,1
"111",0.291666666666667,0.708333333333333,0,1
"112",0,1,0,1
"113",0.648648648648648,0.351351351351351,0,1
"114",0.228571428571429,0.771428571428572,0,1
"115",0,0,1,0
"116",0,0,1,0
"117",0,0,1,0
"118",0.333333333333333,0.666666666666667,0,1
"119",0.307692307692308,0.692307692307692,0,1
"120",0,1,0,1
"121",0,0,1,0
"122",0,1,0,1
"123",0.125,0.875,0,1
"124",0.875,0.125,0,1
"125",0.36,0.64,0,1
"126",0.2,0.8,0,1
"127",0,0,1,0
"128",0,0,1,0
"129",0.627118644067796,0.372881355932204,0,1
"130",0,0,1,0
"131",0,1,0,1
"132",0,1,0,1
"133",0,0,1,0
"134",0,0,1,0
"135",0,0,1,0
"136",0,0,1,0
"137",0,0,1,0
"138",0,0,1,0
"139",0,0,1,0
"140",0,0,1,0
"141",0,0,1,0
"142",0,0,1,0
"143",0,1,0,1
"144",0,0,1,0
"145",0,0,1,0
"146",0,0,1,0
"147",0,0,1,0
"148",0,0,1,0
"149",0,1,0,1
"150",0,0,1,0
"151",0,0,1,0
"152",0,1,0,1
"153",1,0,0,1
"154",0,0,1,0
"155",0,0,1,0
"156",0,0,1,0
"157",0,0,1,0
"158",1,0,0,1
"159",1,0,0,1
"160",0.296296296296296,0.703703703703703,0,1
"161",0,0,1,0
"162",0,0,1,0
"163",0.59375,0.40625,0,1
"164",0,0,1,0
"165",0,0,1,0
"166",0,0,1,0
"167",0,0,1,0
"168",0,0,1,0
"169",0,0,1,0
"170",0,1,0,1
"171",0,1,0,1
"172",0,1,0,1
"173",0,1,0,1
"174",0,0,1,0
"175",0,0,1,0
"176",0,0,1,0
"177",0.103448275862069,0.896551724137931,0,1
"178",0.285714285714286,0.714285714285714,0,1
"179",0.285714285714286,0.714285714285714,0,1
"180",0.276595744680851,0.723404255319149,0,1
"181",0.125,0.875,0,1
"182",0,0,1,0
"183",0,0,1,0
"184",0,0,1,0
"185",0.496551724137932,0.50344827586207,0,1
"186",0.0714285714285714,0.928571428571428,0,1
"187",0,0,1,0
"188",0,0,1,0
"189",0.428571428571429,0.571428571428571,0,1
"190",0,0,1,0
"191",0,1,0,1
"192",0,0,1,0
"193",0,0,1,0
"194",0,0,1,0
"195",1,0,0,1
"196",0,0,1,0
"197",0,0,1,0
"198",0,0,1,0
"199",0,0,1,0
"200",0,0,1,0
"201",0,0,1,0
"202",0,1,0,1
"203",0,1,0,1
"204",0,0,1,0
"205",0,0,1,0
"206",1,0,0,1
"207",0,0,1,0
"208",0,0,1,0
"209",0,0,1,0
"210",0,0,1,0
"211",0.333333333333333,0.666666666666667,0,1
"212",0.333333333333333,0.666666666666667,0,1
"213",0.333333333333333,0.666666666666667,0,1
