"","V1","Loop_number","No_loop","Loop"
"1","hisC",0,0,1
"2","livK",0,0,1
"3","tesA",0,0,1
"4","trpD",3,0,1
"5","iaaA",0,0,1
"6","garD",0,0,1
"7","garL",4,0,1
"8","sgbH",10,0,1
"9","uxuB",9,0,1
"10","rihA",0,0,1
"11","rihC",0,0,1
"12","ccmC",6,0,1
"13","nohD",0,0,1
"14","sbcB",0,0,1
"15","insH10",0,0,1
"16","insH11",0,0,1
"17","insH3",0,0,1
"18","insH4",0,0,1
"19","insH5",0,0,1
"20","insH6",0,0,1
"21","insH7",0,0,1
"22","insH8",0,0,1
"23","insH9",0,0,1
"24","psuG",0,0,1
"25","fabR",0,0,1
"26","cdaR",0,0,1
"27","yhcE",0,0,1
"28","iraD",7,0,1
"29","ymfL",0,0,1
"30","borD",2,0,1
"31","btuB",1,0,1
"32","cirA",8,0,1
"33","asnA",7,0,1
"34","dcyD",0,0,1
"35","fliQ",5,0,1
"36","hsdR",0,0,1
"37","lysC",0,0,1
"38","nmpC",0,0,1
"39","pppA",0,0,1
"40","rzpD",0,0,1
"41","hisJ",5,0,1
"42","ompT",2,0,1
"43","sucD",18,0,1
"44","hcxB",0,0,1
"45","tcyL",0,0,1
"46","ylaC",0,0,1
"47","yijD",0,0,1
"48","srlA",12,0,1
"49","srlB",10,0,1
"50","srlD",10,0,1
"51","srlE",10,0,1
"52","entE",3,0,1
"53","fecA",3,0,1
"54","fepA",3,0,1
"55","galK",4,0,1
"56","hybA",2,0,1
"57","malM",3,0,1
"58","folE",4,0,1
"59","lysP",0,0,1
"60","yddB",0,0,1
"61","araA",1,0,1
"62","mglA",14,0,1
"63","mglB",12,0,1
"64","mglC",14,0,1
"65","nirB",10,0,1
"66","fumB",15,0,1
"67","grcA",8,0,1
"68","entB",3,0,1
"69","fepB",2,0,1
"70","ompW",3,0,1
"71","efeO",0,0,1
"72","fes",4,0,1
"73","entC",3,0,1
"74","fadE",2,0,1
"75","fepC",1,0,1
"76","galT",3,0,1
"77","yddA",0,0,1
"78","hisQ",6,0,1
"79","aroF",2,0,1
"80","gcvP",4,0,1
"81","acs",15,0,1
"82","napF",8,0,1
"83","fepG",1,0,1
"84","yqhD",0,0,1
"85","aroG",2,0,1
"86","idnO",2,0,1
"87","idnD",2,0,1
"88","garR",4,0,1
"89","lamB",3,0,1
"90","fecR",1,0,1
"91","cysM",2,0,1
"92","fecI",1,0,1
"93","cysD",1,0,1
"94","cysN",1,0,1
"95","cysU",2,0,1
"96","cysJ",6,0,1
"97","ccmG",6,0,1
"98","yadS",1,0,1
"99","livG",1,0,1
"100","alaE",0,0,1
"101","dgcT",2,0,1
"102","cysI",4,0,1
"103","allB",0,0,1
"104","carB",6,0,1
"105","cysP",2,0,1
"106","tsuA",0,0,1
"107","argD",1,0,1
"108","uidA",1,0,1
"109","nanA",3,0,1
"110","nagE",1,0,1
"111","ubiA",14,0,1
"112","lrhA",0,0,1
"113","garP",4,0,1
"114","tsuB",0,0,1
"115","cysC",1,0,1
"116","cysH",4,0,1
"117","cysA",2,0,1
"118","cysW",2,0,1
"119","tcyN",0,0,1
"120","psuK",0,0,1
