"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","ypdK",0,1,0,0,0,0,0,0,0,0,0,0,0
"2","yjbT",0,1,0,0,0,0,0,0,0,0,0,0,0
"3","livJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"4","malE",1,0,0.407407407407407,0.407407407407407,0.037037037037037,0.037037037037037,0,0,0.037037037037037,0.0740740740740741,0,0,0
"5","ybdL",0,1,0,0,0,0,0,0,0,0,0,0,0
"6","yibT",0,1,0,0,0,0,0,0,0,0,0,0,0
"7","metL",1,0,1,0,0,0,0,0,0,0,0,0,0
"8","metA",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"9","atoD",1,0,0.4,0.4,0,0.2,0,0,0,0,0,0,0
"10","atoA",1,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0
"11","rhaA",1,0,1,0,0,0,0,0,0,0,0,0,0
"12","ykgJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"13","ybiJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","azoR",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","yncJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"16","yhaK",0,1,0,0,0,0,0,0,0,0,0,0,0
"17","chiX",0,1,0,0,0,0,0,0,0,0,0,0,0
"18","ybeD",1,0,1,0,0,0,0,0,0,0,0,0,0
"19","hspQ",1,0,1,0,0,0,0,0,0,0,0,0,0
"20","norR",0,1,0,0,0,0,0,0,0,0,0,0,0
"21","argH",0,1,0,0,0,0,0,0,0,0,0,0,0
"22","sokX",0,1,0,0,0,0,0,0,0,0,0,0,0
"23","micA",0,1,0,0,0,0,0,0,0,0,0,0,0
"24","mgtS",1,0,1,0,0,0,0,0,0,0,0,0,0
"25","fklB",0,1,0,0,0,0,0,0,0,0,0,0,0
"26","tomB",1,0,0,1,0,0,0,0,0,0,0,0,0
"27","chiP",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"28","chiQ",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"29","dgcZ",1,0,0.214285714285714,0.5,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0,0,0.0714285714285714,0,0
"30","yoaI",0,1,0,0,0,0,0,0,0,0,0,0,0
"31","hisL",1,0,0,1,0,0,0,0,0,0,0,0,0
"32","yfgG",0,1,0,0,0,0,0,0,0,0,0,0,0
