"","V1","Loop_number","No_loop","Loop"
"1","ypdK",0,0,1
"2","yjbT",0,0,1
"3","livJ",0,0,1
"4","malE",27,0,1
"5","ybdL",0,0,1
"6","yibT",0,0,1
"7","metL",1,0,1
"8","metA",2,0,1
"9","atoD",5,0,1
"10","atoA",3,0,1
"11","rhaA",1,0,1
"12","ykgJ",0,0,1
"13","ybiJ",0,0,1
"14","azoR",0,0,1
"15","yncJ",0,0,1
"16","yhaK",0,0,1
"17","chiX",0,0,1
"18","ybeD",1,0,1
"19","hspQ",1,0,1
"20","norR",0,0,1
"21","argH",0,0,1
"22","sokX",0,0,1
"23","micA",0,0,1
"24","mgtS",1,0,1
"25","fklB",0,0,1
"26","tomB",2,0,1
"27","chiP",3,0,1
"28","chiQ",3,0,1
"29","dgcZ",14,0,1
"30","yoaI",0,0,1
"31","hisL",1,0,1
"32","yfgG",0,0,1
"33","gcvB",1,0,1
"34","ryhB",0,0,1
"35","ydcV",1,0,1
"36","rhaS",5,0,1
"37","osmY",44,0,1
"38","asr",7,0,1
"39","ycaC",1,0,1
"40","dps",34,0,1
"41","dadA",0,0,1
"42","dadX",0,0,1
"43","bax",0,0,1
"44","clpB",1,0,1
"45","flgH",22,0,1
"46","flhA",22,0,1
"47","flhE",22,0,1
"48","fucI",4,0,1
"49","carA",23,0,1
"50","codB",1,0,1
"51","dnaJ",0,0,1
"52","dnaK",0,0,1
"53","flgB",22,0,1
"54","flgC",22,0,1
"55","flgD",22,0,1
"56","flgE",22,0,1
"57","flgF",22,0,1
"58","flgG",22,0,1
"59","flgI",22,0,1
"60","flgJ",22,0,1
"61","flgK",0,0,1
"62","flgL",0,0,1
"63","gatB",1,0,1
"64","gatC",1,0,1
"65","gatD",1,0,1
"66","metN",0,0,1
"67","mqo",1,0,1
"68","rpoE",55,0,1
"69","rseA",74,0,1
"70","glgS",4,0,1
"71","glpA",68,0,1
"72","htpX",4,0,1
"73","purD",3,0,1
"74","purL",1,0,1
"75","eptB",4,0,1
"76","flgM",67,0,1
"77","flgN",60,0,1
"78","groL",1,0,1
"79","groS",3,0,1
"80","grpE",1,0,1
"81","hslU",0,0,1
"82","hslV",0,0,1
"83","htpG",6,0,1
"84","ygiM",2,0,1
"85","osmB",3,0,1
"86","purC",0,0,1
"87","purH",5,0,1
"88","purK",0,0,1
"89","purM",2,0,1
"90","pyrB",0,0,1
"91","pyrC",1,0,1
"92","treB",3,0,1
"93","treC",3,0,1
"94","ybfA",0,0,1
"95","efeB",0,0,1
"96","yhcN",0,0,1
"97","yqjA",3,0,1
"98","spy",1,0,1
"99","yebE",0,0,1
"100","yqaE",2,0,1
"101","ybjX",0,0,1
"102","ycjX",0,0,1
"103","yecR",30,0,1
"104","ymdA",24,0,1
"105","entE",1,0,1
"106","fecA",8,0,1
"107","fepA",2,0,1
"108","fucK",4,0,1
"109","idnT",3,0,1
"110","malF",19,0,1
"111","malG",19,0,1
"112","malK",1,0,1
"113","malP",1,0,1
"114","hha",2,0,1
"115","metK",9,0,1
"116","ycjF",0,0,1
"117","yddB",0,0,1
"118","yqfA",0,0,1
"119","ssuD",4,0,1
"120","csgA",23,0,1
"121","iraP",11,0,1
"122","mcbA",0,0,1
"123","yciG",3,0,1
"124","metE",5,0,1
"125","metR",2,0,1
"126","prpB",4,0,1
"127","prpC",4,0,1
"128","prpD",4,0,1
"129","mglC",60,0,1
"130","glcA",14,0,1
"131","glcD",19,0,1
"132","glcE",14,0,1
"133","yhdW",0,0,1
"134","prpE",4,0,1
"135","entF",7,0,1
"136","ybdZ",3,0,1
"137","leuA",0,0,1
"138","sodA",70,0,1
"139","entB",1,0,1
"140","metJ",0,0,1
"141","efeO",0,0,1
"142","fes",3,0,1
"143","entC",1,0,1
"144","purT",1,0,1
"145","aroF",4,0,1
"146","gltP",4,0,1
"147","pyrD",2,0,1
"148","ldtE",0,0,1
"149","bfd",0,0,1
"150","fhuE",0,0,1
"151","gltK",25,0,1
"152","ilvC",0,0,1
"153","pqqL",0,0,1
"154","idnO",3,0,1
"155","idnD",3,0,1
"156","idnK",3,0,1
"157","cspG",0,0,1
"158","yjjZ",2,0,1
"159","bssR",0,0,1
"160","zraP",0,0,1
"161","pspC",5,0,1
"162","pspD",5,0,1
"163","pspA",5,0,1
"164","pspB",5,0,1
"165","pspG",9,0,1
"166","ompX",8,0,1
"167","argI",1,0,1
"168","aroL",2,0,1
"169","upp",1,0,1
"170","lamB",2,0,1
"171","yebO",0,0,1
"172","entD",1,0,1
"173","fecR",0,0,1
"174","fecI",0,0,1
"175","xanP",0,0,1
"176","metF",0,0,1
"177","purB",0,0,1
"178","ghxP",0,0,1
"179","astC",14,0,1
"180","astD",10,0,1
"181","sdaA",2,0,1
"182","ugpB",1,0,1
"183","aldB",4,0,1
"184","ecnB",2,0,1
"185","pyrI",0,0,1
"186","flgA",22,0,1
"187","flhB",22,0,1
"188","pspE",5,0,1
"189","yobD",0,0,1
"190","katE",5,0,1
"191","ibpA",2,0,1
"192","trhO",0,0,1
"193","purE",0,0,1
"194","ibpB",16,0,1
"195","fhuA",0,0,1
"196","ybaY",0,0,1
"197","ssuC",4,0,1
"198","ssuA",4,0,1
"199","metB",1,0,1
"200","alaE",0,0,1
"201","cpxP",1,0,1
"202","hcxA",0,0,1
"203","yfeR",0,0,1
"204","artJ",0,0,1
"205","ompA",1,0,1
"206","ugd",0,0,1
"207","fabB",1,0,1
"208","bssS",3,0,1
"209","patD",1,0,1
"210","yeaY",0,0,1
"211","yibI",0,0,1
"212","garP",3,0,1
"213","cynT",0,0,1
