"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1","hisC",0,1,0,0,0,0,0,0,0,0,0
"2","livK",0,1,0,0,0,0,0,0,0,0,0
"3","tesA",0,1,0,0,0,0,0,0,0,0,0
"4","trpD",1,0,0,0,0,0,0,0,0,0,1
"5","tcyL",0,1,0,0,0,0,0,0,0,0,0
"6","garD",0,1,0,0,0,0,0,0,0,0,0
"7","garL",1,0,0,0,0,0,0,0,0,0,1
"8","sgbH",1,0,0,0,0,0,0,0,0,0,1
"9","uxuB",1,0,0,0,0,0,0,0,0,0,1
"10","hcxB",0,1,0,0,0,0,0,0,0,0,0
"11","rihA",0,1,0,0,0,0,0,0,0,0,0
"12","rihC",0,1,0,0,0,0,0,0,0,0,0
"13","ccmC",1,0,0,0,0,0,0,0,0,0,1
"14","nohD",0,1,0,0,0,0,0,0,0,0,0
"15","sbcB",0,1,0,0,0,0,0,0,0,0,0
"16","insH10",0,1,0,0,0,0,0,0,0,0,0
"17","insH11",0,1,0,0,0,0,0,0,0,0,0
"18","insH3",0,1,0,0,0,0,0,0,0,0,0
"19","insH4",0,1,0,0,0,0,0,0,0,0,0
"20","insH5",0,1,0,0,0,0,0,0,0,0,0
"21","insH6",0,1,0,0,0,0,0,0,0,0,0
"22","insH7",0,1,0,0,0,0,0,0,0,0,0
"23","insH8",0,1,0,0,0,0,0,0,0,0,0
"24","insH9",0,1,0,0,0,0,0,0,0,0,0
"25","dgcT",1,0,0,0,0,0,0,0,0,0,1
"26","fabR",0,1,0,0,0,0,0,0,0,0,0
"27","grcA",1,0,0,0,0,0,0,0,0,0,1
"28","cdaR",0,1,0,0,0,0,0,0,0,0,0
"29","alaE",0,1,0,0,0,0,0,0,0,0,0
"30","yhcE",0,1,0,0,0,0,0,0,0,0,0
"31","iraD",1,0,0,0,0,0,0,0,0,0,1
"32","ymfL",0,1,0,0,0,0,0,0,0,0,0
"33","ypdK",0,1,0,0,0,0,0,0,0,0,0
"34","yjbT",0,1,0,0,0,0,0,0,0,0,0
"35","livJ",1,0,0,0,0,0,0,0,0,0,1
"36","malE",1,0,0,0,0,0,0,0,0,0,1
"37","ghxP",0,1,0,0,0,0,0,0,0,0,0
"38","ybdL",0,1,0,0,0,0,0,0,0,0,0
"39","bssS",1,0,0,0,0,0,0,0,0,0,1
"40","yibT",0,1,0,0,0,0,0,0,0,0,0
"41","metL",1,0,0,0,0,0,0,0,0,0,1
"42","metA",1,0,0,0,0,0,0,0,0,0,1
"43","atoD",1,0,0,0,0,0,0,0,0,0,1
"44","atoA",1,0,0,0,0,0,0,0,0,0,1
"45","rhaA",1,0,0,0,0,0,0,0,0,0,1
"46","ykgJ",0,1,0,0,0,0,0,0,0,0,0
"47","ybiJ",0,1,0,0,0,0,0,0,0,0,0
"48","azoR",0,1,0,0,0,0,0,0,0,0,0
"49","yncJ",0,1,0,0,0,0,0,0,0,0,0
"50","yhaK",0,1,0,0,0,0,0,0,0,0,0
"51","pspG",1,0,0,0,0,0,0,0,0,0,1
"52","chiX",0,1,0,0,0,0,0,0,0,0,0
"53","ybeD",1,0,0,0,0,0,0,0,0,0,1
"54","hspQ",0,1,0,0,0,0,0,0,0,0,0
"55","norR",0,1,0,0,0,0,0,0,0,0,0
"56","argH",1,0,0,0,0,0,0,0,0,0,1
"57","sokX",0,1,0,0,0,0,0,0,0,0,0
"58","micA",0,1,0,0,0,0,0,0,0,0,0
"59","bssR",0,1,0,0,0,0,0,0,0,0,0
"60","ldtE",0,1,0,0,0,0,0,0,0,0,0
"61","fklB",0,1,0,0,0,0,0,0,0,0,0
"62","tomB",1,0,0,0,0,0,0,0,0,0,1
"63","chiP",0,1,0,0,0,0,0,0,0,0,0
"64","chiQ",0,1,0,0,0,0,0,0,0,0,0
"65","dgcZ",1,0,0,0,0,0,0,0,0,0,1
"66","yoaI",0,1,0,0,0,0,0,0,0,0,0
"67","hisL",0,1,0,0,0,0,0,0,0,0,0
"68","yfgG",0,1,0,0,0,0,0,0,0,0,0
"69","gcvB",1,0,0,0,0,0,0,0,0,0,1
"70","ryhB",1,0,0,0,0,0,0,0,0,0,1
"71","ydcV",0,1,0,0,0,0,0,0,0,0,0
"72","patD",0,1,0,0,0,0,0,0,0,0,0
