"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","hisC",0,1,0,0,0,0,0,0,0,0,0,0,0
"2","livK",0,1,0,0,0,0,0,0,0,0,0,0,0
"3","tesA",0,1,0,0,0,0,0,0,0,0,0,0,0
"4","trpD",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"5","iaaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"6","garD",0,1,0,0,0,0,0,0,0,0,0,0,0
"7","garL",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"8","sgbH",1,0,0.210526315789474,0.105263157894737,0,0.263157894736842,0.210526315789474,0,0.157894736842105,0.0526315789473684,0,0,0
"9","uxuB",1,0,0,0.333333333333333,0.444444444444444,0,0,0,0,0,0,0.222222222222222,0
"10","rihA",0,1,0,0,0,0,0,0,0,0,0,0,0
"11","rihC",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","ccmC",1,0,0.242424242424242,0.0909090909090909,0,0.545454545454545,0,0,0.121212121212121,0,0,0,0
"13","nohD",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","sbcB",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","insH10",0,1,0,0,0,0,0,0,0,0,0,0,0
"16","insH11",0,1,0,0,0,0,0,0,0,0,0,0,0
"17","insH3",0,1,0,0,0,0,0,0,0,0,0,0,0
"18","insH4",0,1,0,0,0,0,0,0,0,0,0,0,0
"19","insH5",0,1,0,0,0,0,0,0,0,0,0,0,0
"20","insH6",0,1,0,0,0,0,0,0,0,0,0,0,0
"21","insH7",0,1,0,0,0,0,0,0,0,0,0,0,0
"22","insH8",0,1,0,0,0,0,0,0,0,0,0,0,0
"23","insH9",0,1,0,0,0,0,0,0,0,0,0,0,0
"24","psuG",0,1,0,0,0,0,0,0,0,0,0,0,0
"25","fabR",0,1,0,0,0,0,0,0,0,0,0,0,0
"26","cdaR",0,1,0,0,0,0,0,0,0,0,0,0,0
"27","yhcE",0,1,0,0,0,0,0,0,0,0,0,0,0
"28","iraD",1,0,0,0.333333333333333,0.5,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0
"29","ymfL",0,1,0,0,0,0,0,0,0,0,0,0,0
"30","ypdK",0,1,0,0,0,0,0,0,0,0,0,0,0
"31","yjbT",0,1,0,0,0,0,0,0,0,0,0,0,0
"32","livJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"33","malE",1,0,0.407407407407407,0.407407407407407,0.037037037037037,0.037037037037037,0,0,0.037037037037037,0.0740740740740741,0,0,0
"34","ybdL",0,1,0,0,0,0,0,0,0,0,0,0,0
"35","yibT",0,1,0,0,0,0,0,0,0,0,0,0,0
"36","metL",1,0,1,0,0,0,0,0,0,0,0,0,0
"37","metA",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"38","atoD",1,0,0.4,0.4,0,0.2,0,0,0,0,0,0,0
"39","atoA",1,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0
"40","rhaA",1,0,1,0,0,0,0,0,0,0,0,0,0
"41","ykgJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"42","ybiJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"43","azoR",0,1,0,0,0,0,0,0,0,0,0,0,0
"44","yncJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"45","yhaK",0,1,0,0,0,0,0,0,0,0,0,0,0
"46","chiX",0,1,0,0,0,0,0,0,0,0,0,0,0
"47","ybeD",1,0,1,0,0,0,0,0,0,0,0,0,0
"48","hspQ",1,0,1,0,0,0,0,0,0,0,0,0,0
