"","V1","FBL_number","No_FBL","FBL"
"1","hisC",0,0,1
"2","livK",0,0,1
"3","tesA",0,0,1
"4","trpD",0,0,1
"5","iaaA",0,0,1
"6","garD",0,0,1
"7","garL",0,0,1
"8","sgbH",0,0,1
"9","uxuB",0,0,1
"10","rihA",0,0,1
"11","rihC",0,0,1
"12","ccmC",0,0,1
"13","nohD",0,0,1
"14","sbcB",0,0,1
"15","insH10",0,0,1
"16","insH11",0,0,1
"17","insH3",0,0,1
"18","insH4",0,0,1
"19","insH5",0,0,1
"20","insH6",0,0,1
"21","insH7",0,0,1
"22","insH8",0,0,1
"23","insH9",0,0,1
"24","psuG",0,0,1
"25","fabR",0,0,1
"26","cdaR",0,0,1
"27","yhcE",0,0,1
"28","iraD",0,0,1
"29","ymfL",0,0,1
"30",NA,0,0,1
"31",NA,0,0,1
"32",NA,0,0,1
"33",NA,0,0,1
"34",NA,0,0,1
"35",NA,0,0,1
"36",NA,0,0,1
"37",NA,0,0,1
"38",NA,0,0,1
"39",NA,0,0,1
"40",NA,0,0,1
"41",NA,0,0,1
"42",NA,0,0,1
"43",NA,0,0,1
"44",NA,0,0,1
"45",NA,0,0,1
"46",NA,0,0,1
"47",NA,0,0,1
"48",NA,0,0,1
"49",NA,0,0,1
"50",NA,0,0,1
"51",NA,0,0,1
"52",NA,0,0,1
"53",NA,0,0,1
"54",NA,0,0,1
"55",NA,0,0,1
"56",NA,0,0,1
"57",NA,0,0,1
"58",NA,0,0,1
"59",NA,0,0,1
"60",NA,0,0,1
"61",NA,0,0,1
"62",NA,0,0,1
"63",NA,0,0,1
"64",NA,0,0,1
"65",NA,0,0,1
"66","osmY",0,0,1
"67","asr",0,0,1
"68","ycaC",0,0,1
"69","dps",0,0,1
"70","dadA",0,0,1
"71","dadX",0,0,1
"72","bax",0,0,1
"73","borD",0,0,1
"74","btuB",0,0,1
"75","cirA",0,0,1
"76","asnA",0,0,1
"77","clpB",0,0,1
"78","dcyD",0,0,1
"79","flgH",0,0,1
"80","flhA",0,0,1
"81","flhE",0,0,1
