"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",1,0,1
"3",1,0,1
"4",1,0,1
"5",2,0,1
"6",0,0,1
"7",2,0,1
"8",0,0,1
"9",0,0,1
"10",1,0,1
"11",1,0,1
"12",0,0,1
"13",0,0,1
"14",0,0,1
"15",0,0,1
"16",0,0,1
"17",1,0,1
"18",0,0,1
"19",2,0,1
"20",0,0,1
"21",1,0,1
"22",0,0,1
"23",0,0,1
"24",7,0,1
"25",0,0,1
"26",0,0,1
"27",0,0,1
"28",0,0,1
"29",0,0,1
"30",0,0,1
"31",0,0,1
"32",0,0,1
"33",0,0,1
"34",1,0,1
"35",0,0,1
"36",0,0,1
"37",0,0,1
"38",1,0,1
"39",0,0,1
"40",5,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",3,0,1
"45",1,0,1
"46",0,0,1
"47",0,0,1
"48",1,0,1
"49",1,0,1
"50",3,0,1
"51",1,0,1
"52",0,0,1
"53",7,0,1
"54",7,0,1
"55",1,0,1
"56",1,0,1
"57",0,0,1
"58",1,0,1
"59",2,0,1
"60",0,0,1
"61",2,0,1
"62",0,0,1
"63",1,0,1
"64",0,0,1
"65",0,0,1
"66",0,0,1
"67",2,0,1
"68",0,0,1
"69",1,0,1
"70",0,0,1
"71",1,0,1
"72",0,0,1
"73",9,0,1
"74",0,0,1
"75",0,0,1
"76",3,0,1
"77",6,0,1
"78",3,0,1
"79",0,0,1
"80",4,0,1
"81",6,0,1
"82",4,0,1
"83",2,0,1
"84",4,0,1
"85",0,0,1
"86",2,0,1
"87",6,0,1
"88",2,0,1
"89",0,0,1
"90",2,0,1
"91",0,0,1
"92",0,0,1
"93",0,0,1
"94",0,0,1
"95",0,0,1
"96",0,0,1
"97",0,0,1
"98",3,0,1
"99",0,0,1
"100",3,0,1
"101",8,0,1
"102",0,0,1
"103",4,0,1
"104",0,0,1
"105",8,0,1
"106",0,0,1
"107",0,0,1
"108",4,0,1
"109",2,0,1
"110",0,0,1
"111",23,0,1
"112",12,0,1
"113",1,0,1
"114",1,0,1
"115",0,0,1
"116",1,0,1
"117",0,0,1
"118",8,0,1
"119",0,0,1
"120",1,0,1
"121",0,0,1
"122",1,0,1
"123",4,0,1
"124",4,0,1
"125",0,0,1
"126",0,0,1
"127",5,0,1
"128",1,0,1
"129",1,0,1
"130",2,0,1
"131",2,0,1
"132",1,0,1
"133",1,0,1
"134",0,0,1
"135",7,0,1
"136",2,0,1
"137",3,0,1
"138",0,0,1
"139",2,0,1
"140",1,0,1
"141",1,0,1
"142",0,0,1
"143",2,0,1
"144",1,0,1
"145",1,0,1
"146",2,0,1
"147",0,0,1
"148",0,0,1
"149",0,0,1
"150",0,0,1
"151",0,0,1
"152",3,0,1
"153",2,0,1
"154",0,0,1
"155",0,0,1
"156",0,0,1
"157",0,0,1
"158",2,0,1
"159",0,0,1
"160",1,0,1
"161",1,0,1
"162",0,0,1
"163",0,0,1
"164",0,0,1
"165",2,0,1
"166",0,0,1
"167",2,0,1
"168",0,0,1
"169",0,0,1
"170",5,0,1
"171",6,0,1
"172",16,0,1
"173",11,0,1
"174",4,0,1
"175",11,0,1
"176",10,0,1
"177",9,0,1
"178",1,0,1
"179",13,0,1
"180",0,0,1
"181",3,0,1
"182",4,0,1
"183",2,0,1
"184",3,0,1
"185",0,0,1
"186",4,0,1
"187",2,0,1
"188",8,0,1
"189",0,0,1
"190",0,0,1
"191",0,0,1
"192",3,0,1
"193",0,0,1
"194",1,0,1
"195",1,0,1
"196",6,0,1
"197",3,0,1
"198",1,0,1
"199",2,0,1
"200",0,0,1
"201",0,0,1
"202",6,0,1
"203",1,0,1
"204",2,0,1
"205",0,0,1
"206",1,0,1
"207",1,0,1
"208",0,0,1
"209",3,0,1
"210",4,0,1
"211",6,0,1
"212",1,0,1
"213",3,0,1
"214",0,0,1
"215",4,0,1
"216",2,0,1
"217",1,0,1
"218",4,0,1
"219",3,0,1
"220",4,0,1
"221",3,0,1
"222",0,0,1
"223",6,0,1
"224",3,0,1
"225",0,0,1
"226",5,0,1
"227",1,0,1
"228",0,0,1
"229",0,0,1
"230",9,0,1
"231",3,0,1
"232",0,0,1
"233",0,0,1
"234",0,0,1
"235",0,0,1
"236",4,0,1
"237",0,0,1
"238",4,0,1
"239",0,0,1
