"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",0,0,1
"3",2,0,1
"4",4,0,1
"5",0,0,1
"6",0,0,1
"7",3,0,1
"8",0,0,1
"9",41,0,1
"10",1,0,1
"11",1,0,1
"12",10,0,1
"13",0,0,1
"14",13,0,1
"15",12,0,1
"16",11,0,1
"17",13,0,1
"18",6,0,1
"19",0,0,1
"20",17,0,1
"21",9,0,1
"22",4,0,1
"23",1,0,1
"24",7,0,1
"25",4,0,1
"26",3,0,1
"27",8,0,1
"28",1,0,1
"29",2,0,1
"30",0,0,1
"31",21,0,1
"32",50,0,1
"33",12,0,1
"34",6,0,1
"35",15,0,1
"36",1,0,1
"37",13,0,1
"38",9,0,1
"39",6,0,1
"40",4,0,1
"41",13,0,1
"42",0,0,1
"43",10,0,1
"44",1,0,1
"45",6,0,1
"46",2,0,1
"47",6,0,1
"48",10,0,1
"49",9,0,1
"50",0,0,1
"51",7,0,1
"52",1,0,1
"53",1,0,1
"54",3,0,1
"55",4,0,1
"56",8,0,1
"57",10,0,1
"58",6,0,1
"59",0,0,1
"60",23,0,1
"61",30,0,1
"62",2,0,1
"63",2,0,1
"64",9,0,1
"65",9,0,1
"66",8,0,1
"67",3,0,1
"68",4,0,1
"69",12,0,1
"70",14,0,1
"71",0,0,1
"72",20,0,1
"73",0,0,1
"74",8,0,1
"75",3,0,1
"76",5,0,1
"77",6,0,1
"78",6,0,1
"79",8,0,1
"80",0,0,1
"81",14,0,1
"82",5,0,1
"83",2,0,1
"84",2,0,1
"85",3,0,1
"86",4,0,1
"87",0,0,1
"88",0,0,1
"89",0,0,1
"90",7,0,1
"91",1,0,1
"92",1,0,1
"93",0,0,1
"94",25,0,1
"95",0,0,1
"96",6,0,1
"97",7,0,1
"98",7,0,1
"99",6,0,1
"100",0,0,1
"101",6,0,1
"102",6,0,1
"103",3,0,1
"104",0,0,1
"105",2,0,1
"106",10,0,1
"107",13,0,1
"108",8,0,1
"109",2,0,1
"110",2,0,1
"111",0,0,1
"112",22,0,1
"113",20,0,1
"114",9,0,1
"115",4,0,1
"116",2,0,1
"117",7,0,1
"118",11,0,1
"119",5,0,1
"120",9,0,1
"121",3,0,1
"122",0,0,1
"123",1,0,1
"124",4,0,1
"125",5,0,1
"126",0,0,1
"127",3,0,1
"128",4,0,1
"129",0,0,1
"130",2,0,1
"131",1,0,1
"132",1,0,1
"133",0,0,1
"134",2,0,1
"135",0,0,1
"136",9,0,1
"137",1,0,1
"138",11,0,1
"139",8,0,1
"140",7,0,1
"141",5,0,1
"142",6,0,1
"143",2,0,1
"144",5,0,1
"145",0,0,1
"146",25,0,1
"147",6,0,1
"148",12,0,1
"149",11,0,1
"150",7,0,1
"151",7,0,1
"152",12,0,1
"153",13,0,1
"154",12,0,1
"155",11,0,1
"156",0,0,1
"157",22,0,1
