"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,1,0,0,0,0,0,0,0,0,0,0
"4",1,0,0.846153846153846,0,0,0,0,0,0.153846153846154,0,0,0,0
"5",1,0,0,0,1,0,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0,0,0,0,0
"7",1,0,1,0,0,0,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0,0,0
"9",1,0,0.515151515151515,0.257575757575757,0.00757575757575758,0.0227272727272727,0,0,0.166666666666667,0,0.0303030303030303,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",1,0,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0
"12",1,0,0.551724137931035,0.241379310344828,0,0.0344827586206897,0,0,0.172413793103448,0,0,0,0
"13",0,1,0,0,0,0,0,0,0,0,0,0,0
"14",1,0,0.652173913043478,0,0,0.0217391304347826,0,0,0.326086956521739,0,0,0,0
"15",1,0,0.833333333333333,0,0,0.0333333333333333,0,0,0.133333333333333,0,0,0,0
"16",1,0,0.621621621621621,0.162162162162162,0,0.027027027027027,0,0,0.162162162162162,0,0.027027027027027,0,0
"17",1,0,0.738095238095239,0,0,0.0238095238095238,0,0,0.238095238095238,0,0,0,0
"18",1,0,0.617647058823529,0,0,0,0,0,0.382352941176471,0,0,0,0
"19",0,1,0,0,0,0,0,0,0,0,0,0,0
"20",1,0,0.291666666666667,0.183333333333333,0.0333333333333333,0.0833333333333333,0.0416666666666667,0,0.116666666666667,0.075,0.133333333333333,0.0416666666666667,0
"21",1,0,0.538461538461538,0,0,0.192307692307692,0,0,0.269230769230769,0,0,0,0
"22",1,0,0.714285714285714,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0
"23",1,0,0,0,0,0,0,1,0,0,0,0,0
"24",1,0,0.333333333333333,0.2,0,0.166666666666667,0,0,0.2,0.0333333333333333,0.0666666666666667,0,0
"25",1,0,0.777777777777778,0,0,0.111111111111111,0,0,0.111111111111111,0,0,0,0
"26",1,0,0,0,1,0,0,0,0,0,0,0,0
"27",1,0,0.380952380952381,0,0,0.285714285714286,0,0,0.333333333333333,0,0,0,0
"28",0,1,0,0,0,0,0,0,0,0,0,0,0
"29",1,0,0,0,1,0,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0,0,0,0,0
"31",1,0,0.26027397260274,0.0684931506849315,0.0136986301369863,0.150684931506849,0.0136986301369863,0,0.232876712328767,0.10958904109589,0.150684931506849,0,0
"32",1,0,0.379310344827586,0.149425287356322,0.0114942528735632,0.183908045977011,0,0,0.172413793103448,0.0689655172413793,0.0344827586206897,0,0
"33",1,0,0.477272727272727,0,0,0.159090909090909,0,0,0.363636363636364,0,0,0,0
"34",1,0,0,0,0.888888888888889,0,0,0.111111111111111,0,0,0,0,0
"35",1,0,0.592592592592592,0,0,0.148148148148148,0,0,0.259259259259259,0,0,0,0
"36",1,0,0,0,1,0,0,0,0,0,0,0,0
"37",1,0,0.636363636363636,0,0,0.181818181818182,0,0,0.181818181818182,0,0,0,0
"38",1,0,0.259259259259259,0.333333333333333,0,0.111111111111111,0.185185185185185,0,0.037037037037037,0,0.0740740740740741,0,0
"39",1,0,0.111111111111111,0.666666666666667,0.222222222222222,0,0,0,0,0,0,0,0
"40",1,0,0,0,1,0,0,0,0,0,0,0,0
"41",1,0,0.555555555555555,0,0,0.177777777777778,0,0,0.266666666666667,0,0,0,0
"42",0,1,0,0,0,0,0,0,0,0,0,0,0
"43",1,0,0.380952380952381,0.19047619047619,0.0238095238095238,0.0238095238095238,0,0,0.19047619047619,0.0952380952380952,0.0952380952380952,0,0
