"","Loop_number","No_loop","Loop"
"1",54,0,1
"2",0,0,1
"3",0,0,1
"4",9,0,1
"5",4,0,1
"6",0,0,1
"7",4,0,1
"8",9,0,1
"9",4,0,1
"10",0,0,1
"11",106,0,1
"12",58,0,1
"13",49,0,1
"14",4,0,1
"15",7,0,1
"16",2,0,1
"17",20,0,1
"18",17,0,1
"19",29,0,1
"20",22,0,1
"21",0,0,1
"22",1,0,1
"23",34,0,1
"24",43,0,1
"25",27,0,1
"26",16,0,1
"27",0,0,1
"28",15,0,1
"29",2,0,1
"30",11,0,1
"31",11,0,1
"32",22,0,1
"33",7,0,1
"34",1,0,1
"35",2,0,1
"36",11,0,1
"37",8,0,1
"38",3,0,1
"39",12,0,1
"40",9,0,1
"41",5,0,1
"42",7,0,1
"43",7,0,1
"44",0,0,1
"45",1,0,1
"46",0,0,1
"47",18,0,1
"48",22,0,1
"49",4,0,1
"50",1,0,1
"51",10,0,1
"52",1,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",5,0,1
"57",6,0,1
"58",13,0,1
"59",20,0,1
"60",0,0,1
"61",0,0,1
"62",11,0,1
"63",0,0,1
"64",0,0,1
"65",7,0,1
"66",7,0,1
"67",6,0,1
"68",22,0,1
"69",30,0,1
"70",31,0,1
"71",28,0,1
"72",10,0,1
"73",13,0,1
"74",0,0,1
"75",28,0,1
"76",0,0,1
"77",11,0,1
"78",0,0,1
"79",1,0,1
"80",27,0,1
"81",5,0,1
"82",46,0,1
"83",6,0,1
"84",2,0,1
"85",6,0,1
"86",1,0,1
"87",7,0,1
"88",13,0,1
"89",5,0,1
"90",14,0,1
"91",4,0,1
"92",0,0,1
"93",1,0,1
"94",36,0,1
"95",26,0,1
"96",0,0,1
"97",3,0,1
"98",1,0,1
"99",0,0,1
"100",2,0,1
"101",0,0,1
"102",1,0,1
"103",1,0,1
"104",1,0,1
"105",48,0,1
"106",39,0,1
"107",0,0,1
"108",1,0,1
"109",1,0,1
"110",7,0,1
"111",5,0,1
"112",12,0,1
"113",3,0,1
"114",7,0,1
"115",15,0,1
"116",0,0,1
"117",70,0,1
"118",27,0,1
"119",34,0,1
"120",0,0,1
"121",4,0,1
"122",17,0,1
"123",0,0,1
"124",15,0,1
"125",5,0,1
"126",0,0,1
"127",30,0,1
"128",0,0,1
"129",1,0,1
"130",0,0,1
"131",0,0,1
"132",0,0,1
"133",1,0,1
"134",0,0,1
"135",1,0,1
"136",0,0,1
"137",0,0,1
"138",47,0,1
"139",28,0,1
"140",3,0,1
"141",2,0,1
"142",0,0,1
"143",6,0,1
"144",0,0,1
"145",6,0,1
"146",0,0,1
"147",4,0,1
"148",0,0,1
"149",16,0,1
"150",9,0,1
"151",52,0,1
"152",1,0,1
"153",3,0,1
"154",0,0,1
"155",15,0,1
"156",9,0,1
"157",6,0,1
"158",9,0,1
"159",1,0,1
"160",4,0,1
"161",0,0,1
"162",55,0,1
"163",24,0,1
"164",2,0,1
"165",10,0,1
"166",1,0,1
"167",9,0,1
"168",1,0,1
"169",1,0,1
"170",8,0,1
"171",7,0,1
"172",9,0,1
"173",2,0,1
"174",3,0,1
"175",18,0,1
"176",1,0,1
"177",1,0,1
"178",0,0,1
"179",0,0,1
"180",6,0,1
"181",3,0,1
"182",0,0,1
"183",5,0,1
"184",3,0,1
"185",28,0,1
"186",2,0,1
"187",0,0,1
"188",2,0,1
"189",2,0,1
"190",3,0,1
"191",2,0,1
"192",0,0,1
"193",51,0,1
"194",5,0,1
"195",23,0,1
"196",1,0,1
"197",0,0,1
"198",20,0,1
"199",0,0,1
"200",41,0,1
"201",0,0,1
"202",28,0,1
"203",14,0,1
"204",34,0,1
"205",53,0,1
"206",56,0,1
"207",10,0,1
"208",10,0,1
"209",7,0,1
"210",4,0,1
"211",14,0,1
"212",7,0,1
"213",12,0,1
"214",1,0,1
"215",10,0,1
"216",21,0,1
"217",61,0,1
"218",33,0,1
"219",0,0,1
"220",0,0,1
"221",1,0,1
"222",0,0,1
"223",18,0,1
"224",15,0,1
"225",29,0,1
"226",13,0,1
"227",3,0,1
"228",34,0,1
"229",31,0,1
"230",0,0,1
"231",11,0,1
"232",0,0,1
"233",15,0,1
"234",16,0,1
"235",1,0,1
"236",7,0,1
"237",5,0,1
"238",59,0,1
"239",31,0,1
"240",28,0,1
"241",15,0,1
"242",0,0,1
"243",16,0,1
"244",13,0,1
"245",0,0,1
"246",0,0,1
"247",7,0,1
"248",13,0,1
"249",20,0,1
"250",5,0,1
"251",30,0,1
"252",4,0,1
"253",5,0,1
"254",2,0,1
"255",13,0,1
"256",2,0,1
"257",1,0,1
"258",3,0,1
"259",3,0,1
"260",19,0,1
"261",1,0,1
"262",24,0,1
"263",11,0,1
"264",2,0,1
"265",3,0,1
"266",1,0,1
"267",32,0,1
"268",0,0,1
"269",22,0,1
"270",8,0,1
"271",38,0,1
"272",8,0,1
"273",2,0,1
"274",0,0,1
"275",0,0,1
"276",0,0,1
"277",1,0,1
"278",0,0,1
"279",16,0,1
"280",16,0,1
"281",1,0,1
"282",15,0,1
"283",0,0,1
"284",0,0,1
"285",0,0,1
"286",0,0,1
"287",0,0,1
"288",0,0,1
"289",0,0,1
"290",0,0,1
"291",0,0,1
"292",3,0,1
"293",43,0,1
"294",97,0,1
"295",48,0,1
"296",0,0,1
"297",12,0,1
"298",7,0,1
"299",5,0,1
"300",2,0,1
"301",10,0,1
"302",5,0,1
"303",2,0,1
"304",6,0,1
"305",23,0,1
"306",36,0,1
"307",10,0,1
"308",0,0,1
"309",0,0,1
"310",5,0,1
"311",1,0,1
"312",3,0,1
"313",3,0,1
"314",5,0,1
"315",2,0,1
"316",5,0,1
"317",25,0,1
"318",9,0,1
"319",0,0,1
"320",3,0,1
"321",0,0,1
"322",0,0,1
"323",0,0,1
"324",5,0,1
"325",0,0,1
"326",4,0,1
"327",4,0,1
"328",2,0,1
"329",56,0,1
"330",48,0,1
"331",35,0,1
"332",2,0,1
"333",0,0,1
"334",10,0,1
"335",4,0,1
"336",4,0,1
"337",3,0,1
"338",1,0,1
"339",0,0,1
"340",5,0,1
"341",0,0,1
"342",27,0,1
"343",29,0,1
"344",1,0,1
"345",0,0,1
"346",6,0,1
"347",0,0,1
"348",2,0,1
"349",0,0,1
"350",0,0,1
"351",8,0,1
"352",5,0,1
"353",0,0,1
"354",0,0,1
"355",0,0,1
"356",0,0,1
"357",1,0,1
"358",0,0,1
"359",1,0,1
"360",0,0,1
"361",0,0,1
"362",59,0,1
"363",29,0,1
"364",67,0,1
"365",45,0,1
"366",2,0,1
"367",19,0,1
"368",0,0,1
"369",28,0,1
"370",10,0,1
"371",36,0,1
"372",24,0,1
"373",20,0,1
"374",10,0,1
"375",0,0,1
"376",34,0,1
"377",3,0,1
"378",0,0,1
"379",3,0,1
"380",0,0,1
"381",1,0,1
"382",0,0,1
"383",0,0,1
"384",6,0,1
"385",6,0,1
"386",0,0,1
"387",45,0,1
"388",43,0,1
"389",37,0,1
"390",26,0,1
"391",21,0,1
"392",6,0,1
"393",18,0,1
"394",11,0,1
"395",3,0,1
"396",6,0,1
"397",5,0,1
"398",0,0,1
"399",15,0,1
"400",0,0,1
"401",6,0,1
"402",0,0,1
"403",7,0,1
"404",0,0,1
"405",0,0,1
"406",1,0,1
"407",5,0,1
"408",2,0,1
"409",1,0,1
"410",1,0,1
"411",0,0,1
"412",15,0,1
"413",0,0,1
"414",8,0,1
"415",1,0,1
"416",6,0,1
"417",7,0,1
"418",0,0,1
"419",7,0,1
"420",3,0,1
"421",7,0,1
"422",10,0,1
"423",0,0,1
"424",0,0,1
"425",0,0,1
"426",2,0,1
"427",0,0,1
"428",2,0,1
"429",4,0,1
"430",1,0,1
"431",0,0,1
"432",21,0,1
"433",7,0,1
"434",6,0,1
"435",14,0,1
"436",0,0,1
"437",2,0,1
"438",14,0,1
"439",4,0,1
"440",1,0,1
"441",8,0,1
"442",4,0,1
"443",9,0,1
"444",3,0,1
"445",2,0,1
"446",7,0,1
"447",0,0,1
"448",0,0,1
"449",1,0,1
"450",0,0,1
"451",5,0,1
"452",36,0,1
"453",32,0,1
"454",21,0,1
"455",15,0,1
"456",1,0,1
"457",5,0,1
"458",0,0,1
"459",1,0,1
"460",1,0,1
"461",0,0,1
"462",25,0,1
"463",7,0,1
"464",3,0,1
"465",47,0,1
"466",48,0,1
"467",81,0,1
"468",1,0,1
"469",36,0,1
"470",25,0,1
"471",5,0,1
"472",16,0,1
"473",9,0,1
"474",4,0,1
"475",0,0,1
"476",34,0,1
"477",0,0,1
"478",1,0,1
"479",1,0,1
"480",1,0,1
"481",0,0,1
"482",1,0,1
"483",0,0,1
"484",0,0,1
"485",39,0,1
"486",20,0,1
"487",2,0,1
"488",4,0,1
"489",2,0,1
"490",0,0,1
"491",2,0,1
"492",0,0,1
"493",1,0,1
"494",1,0,1
"495",1,0,1
"496",0,0,1
"497",68,0,1
"498",11,0,1
"499",2,0,1
"500",0,0,1
"501",12,0,1
"502",0,0,1
"503",7,0,1
"504",8,0,1
"505",0,0,1
"506",4,0,1
"507",2,0,1
"508",13,0,1
"509",22,0,1
"510",6,0,1
"511",11,0,1
"512",17,0,1
"513",3,0,1
"514",11,0,1
"515",0,0,1
"516",0,0,1
"517",1,0,1
"518",0,0,1
"519",1,0,1
"520",0,0,1
"521",5,0,1
"522",4,0,1
"523",2,0,1
"524",21,0,1
"525",10,0,1
"526",5,0,1
"527",1,0,1
"528",9,0,1
"529",13,0,1
"530",0,0,1
"531",0,0,1
"532",6,0,1
"533",7,0,1
"534",34,0,1
"535",1,0,1
"536",7,0,1
"537",0,0,1
"538",0,0,1
"539",4,0,1
"540",4,0,1
"541",6,0,1
"542",0,0,1
"543",23,0,1
"544",0,0,1
"545",0,0,1
"546",0,0,1
"547",0,0,1
"548",4,0,1
"549",0,0,1
"550",0,0,1
"551",0,0,1
"552",1,0,1
"553",0,0,1
