"","FBL_number","No_FBL","FBL"
"1",46,0,1
"2",2,0,1
"3",0,0,1
"4",15,0,1
"5",4,0,1
"6",0,0,1
"7",2,0,1
"8",16,0,1
"9",0,0,1
"10",0,0,1
"11",222,0,1
"12",325,0,1
"13",175,0,1
"14",2,0,1
"15",0,0,1
"16",0,0,1
"17",100,0,1
"18",93,0,1
"19",116,0,1
"20",92,0,1
"21",0,0,1
"22",0,0,1
"23",106,0,1
"24",231,0,1
"25",177,0,1
"26",49,0,1
"27",0,0,1
"28",18,0,1
"29",0,0,1
"30",56,0,1
"31",54,0,1
"32",92,0,1
"33",76,0,1
"34",0,0,1
"35",0,0,1
"36",72,0,1
"37",23,0,1
"38",11,0,1
"39",11,0,1
"40",15,0,1
"41",0,0,1
"42",25,0,1
"43",15,0,1
"44",0,0,1
"45",0,0,1
"46",0,0,1
"47",57,0,1
"48",54,0,1
"49",14,0,1
"50",0,0,1
"51",23,0,1
"52",0,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",9,0,1
"57",0,0,1
"58",11,0,1
"59",2,0,1
"60",0,0,1
"61",0,0,1
"62",34,0,1
"63",0,0,1
"64",0,0,1
"65",0,0,1
"66",0,0,1
"67",28,0,1
"68",0,0,1
"69",192,0,1
"70",180,0,1
"71",102,0,1
"72",0,0,1
"73",36,0,1
"74",0,0,1
"75",44,0,1
"76",0,0,1
"77",21,0,1
"78",0,0,1
"79",0,0,1
"80",143,0,1
"81",27,0,1
"82",97,0,1
"83",4,0,1
"84",0,0,1
"85",0,0,1
"86",6,0,1
"87",0,0,1
"88",0,0,1
"89",1,0,1
"90",10,0,1
"91",18,0,1
"92",0,0,1
"93",0,0,1
"94",15,0,1
"95",10,0,1
"96",0,0,1
"97",5,0,1
"98",2,0,1
"99",0,0,1
"100",1,0,1
"101",0,0,1
"102",0,0,1
"103",0,0,1
"104",0,0,1
"105",118,0,1
"106",75,0,1
"107",0,0,1
"108",0,0,1
"109",0,0,1
"110",17,0,1
"111",0,0,1
"112",0,0,1
"113",0,0,1
"114",16,0,1
"115",67,0,1
"116",0,0,1
"117",293,0,1
"118",210,0,1
"119",215,0,1
"120",0,0,1
"121",0,0,1
"122",33,0,1
"123",0,0,1
