"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",0,1,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0
"7",0,1,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,0
"13",0,1,0,0,0,0,0,0,0
"14",0,1,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0
"17",1,0,0.6,0.4,0.2,0,0.3,0.5,0
"18",0,1,0,0,0,0,0,0,0
"19",0,1,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,0,0,0
"24",0,1,0,0,0,0,0,0,0
"25",0,1,0,0,0,0,0,0,0
"26",0,1,0,0,0,0,0,0,0
"27",0,1,0,0,0,0,0,0,0
"28",0,1,0,0,0,0,0,0,0
"29",0,1,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0
"31",1,0,0,1,1,0,0,0,0
"32",0,1,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0
"36",1,0,0,1,0.25,0.25,0.5,0,0
"37",0,1,0,0,0,0,0,0,0
"38",0,1,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0
"40",0,1,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0
"44",1,0,0,1,1,0,0,0,0
"45",0,1,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0
"48",0,1,0,0,0,0,0,0,0
"49",0,1,0,0,0,0,0,0,0
"50",0,1,0,0,0,0,0,0,0
"51",0,1,0,0,0,0,0,0,0
"52",0,1,0,0,0,0,0,0,0
"53",0,1,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0
"55",0,1,0,0,0,0,0,0,0
"56",0,1,0,0,0,0,0,0,0
"57",0,1,0,0,0,0,0,0,0
"58",0,1,0,0,0,0,0,0,0
"59",1,0,0,1,0.25,0.25,0.25,0.25,0
"60",1,0,0,1,0.0833333333333333,0.0833333333333333,0.5,0.333333333333333,0
"61",0,1,0,0,0,0,0,0,0
"62",0,1,0,0,0,0,0,0,0
"63",0,1,0,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0
"65",0,1,0,0,0,0,0,0,0
"66",0,1,0,0,0,0,0,0,0
"67",0,1,0,0,0,0,0,0,0
"68",0,1,0,0,0,0,0,0,0
"69",0,1,0,0,0,0,0,0,0
"70",0,1,0,0,0,0,0,0,0
"71",0,1,0,0,0,0,0,0,0
"72",1,0,0.487179487179487,0.512820512820513,0.0512820512820513,0.0512820512820513,0.307692307692308,0.58974358974359,0
"73",0,1,0,0,0,0,0,0,0
"74",1,0,0,1,0.333333333333333,0,0,0.666666666666667,0
"75",0,1,0,0,0,0,0,0,0
"76",0,1,0,0,0,0,0,0,0
"77",1,0,1,0,0.2,0.2,0.4,0.2,0
"78",0,1,0,0,0,0,0,0,0
"79",0,1,0,0,0,0,0,0,0
"80",0,1,0,0,0,0,0,0,0
"81",0,1,0,0,0,0,0,0,0
"82",0,1,0,0,0,0,0,0,0
"83",1,0,0,1,0.333333333333333,0,0.333333333333333,0.333333333333333,0
"84",1,0,0,1,0.5,0,0,0.5,0
"85",1,0,0,1,0.0666666666666667,0.0666666666666667,0.333333333333333,0.533333333333333,0
"86",0,1,0,0,0,0,0,0,0
"87",0,1,0,0,0,0,0,0,0
"88",0,1,0,0,0,0,0,0,0
"89",1,0,0,1,0.0526315789473684,0.105263157894737,0.263157894736842,0.578947368421053,0
"90",0,1,0,0,0,0,0,0,0
"91",0,1,0,0,0,0,0,0,0
"92",0,1,0,0,0,0,0,0,0
"93",1,0,0,1,0.0588235294117647,0.0588235294117647,0.352941176470588,0.529411764705882,0
"94",1,0,1,0,1,0,0,0,0
