"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0.314814814814815,0.296296296296296,0.166666666666667,0.0185185185185185,0,0,0,0.0555555555555556,0.148148148148148,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,0,0,0,0,0,0,0
"4",1,0,0.555555555555556,0,0,0.222222222222222,0,0,0.222222222222222,0,0,0,0
"5",1,0,0.75,0,0,0.25,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0,0,0,0,0
"7",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"8",1,0,0.666666666666667,0,0,0.222222222222222,0,0,0.111111111111111,0,0,0,0
"9",1,0,0.25,0.5,0,0,0,0,0,0,0.25,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",1,0,0.433962264150943,0.273584905660377,0.0566037735849057,0.0188679245283019,0.00943396226415094,0,0.0660377358490566,0.0754716981132075,0.0377358490566038,0.0283018867924528,0
"12",1,0,0.586206896551724,0.224137931034483,0,0.0172413793103448,0,0,0.137931034482759,0,0.0344827586206897,0,0
"13",1,0,0.244897959183673,0.387755102040816,0.102040816326531,0,0,0,0.0816326530612245,0.0816326530612245,0.0408163265306122,0.0612244897959184,0
"14",1,0,0,0.75,0.25,0,0,0,0,0,0,0,0
"15",1,0,0,0,0.714285714285714,0,0,0,0,0,0,0.285714285714286,0
"16",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"17",1,0,0.9,0,0,0.05,0,0,0.05,0,0,0,0
"18",1,0,0.588235294117647,0,0,0.0588235294117647,0,0,0.352941176470588,0,0,0,0
"19",1,0,0.758620689655172,0,0,0,0,0,0.241379310344828,0,0,0,0
"20",1,0,0.636363636363636,0,0,0.0909090909090909,0,0,0.272727272727273,0,0,0,0
"21",0,1,0,0,0,0,0,0,0,0,0,0,0
"22",1,0,0,1,0,0,0,0,0,0,0,0,0
"23",1,0,0.705882352941177,0.0294117647058824,0,0,0.0294117647058824,0,0.0882352941176471,0.117647058823529,0.0294117647058824,0,0
"24",1,0,0.465116279069767,0.209302325581395,0.0232558139534884,0.0232558139534884,0,0,0.0930232558139535,0.116279069767442,0.0465116279069767,0.0232558139534884,0
"25",1,0,0.518518518518518,0.222222222222222,0,0,0,0,0.222222222222222,0,0.037037037037037,0,0
"26",1,0,0.8125,0,0,0.125,0,0,0.0625,0,0,0,0
"27",0,1,0,0,0,0,0,0,0,0,0,0,0
"28",1,0,0.866666666666667,0,0,0.0666666666666667,0,0,0.0666666666666667,0,0,0,0
"29",1,0,0,0,0.5,0,0,0,0,0,0.5,0,0
"30",1,0,0.818181818181818,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0
"31",1,0,0.909090909090909,0,0,0.0909090909090909,0,0,0,0,0,0,0
