"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",1,0,0.0217391304347826,0.978260869565217,0.152173913043478,0.152173913043478,0.413043478260869,0.282608695652174,0
"2",1,0,1,0,0.5,0.5,0,0,0
"3",0,1,0,0,0,0,0,0,0
"4",1,0,0,1,0.133333333333333,0.133333333333333,0.6,0.133333333333333,0
"5",1,0,0,1,0.25,0.25,0.5,0,0
"6",0,1,0,0,0,0,0,0,0
"7",1,0,0,1,1,0,0,0,0
"8",1,0,0,1,0.125,0.1875,0.4375,0.25,0
"9",0,1,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0
"11",1,0,0,0.999999999999996,0.018018018018018,0.045045045045045,0.274774774774775,0.662162162162161,0
"12",1,0,0.147692307692308,0.852307692307695,0.0215384615384615,0.0615384615384615,0.313846153846154,0.603076923076925,0
"13",1,0,0.0742857142857143,0.925714285714283,0.0514285714285714,0.08,0.360000000000001,0.508571428571429,0
"14",1,0,1,0,0.5,0.5,0,0,0
"15",0,1,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0
"17",1,0,0.08,0.920000000000001,0.04,0.04,0.3,0.62,0
"18",1,0,0,0.999999999999999,0.032258064516129,0.0645161290322581,0.290322580645161,0.612903225806451,0
"19",1,0,0.612068965517241,0.387931034482759,0.0172413793103448,0.0431034482758621,0.267241379310345,0.672413793103448,0
"20",1,0,0.66304347826087,0.33695652173913,0.0217391304347826,0.0434782608695652,0.25,0.684782608695653,0
"21",0,1,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0
"23",1,0,0,1,0.00943396226415094,0.0660377358490566,0.292452830188679,0.632075471698113,0
"24",1,0,0.216450216450216,0.783549783549782,0.0346320346320346,0.0865800865800866,0.264069264069264,0.614718614718615,0
"25",1,0,0.0112994350282486,0.988700564971747,0.0508474576271186,0.112994350282486,0.293785310734463,0.542372881355932,0
"26",1,0,0.183673469387755,0.816326530612245,0.0408163265306122,0.0612244897959184,0.204081632653061,0.693877551020409,0
"27",0,1,0,0,0,0,0,0,0
"28",1,0,0,1,0.111111111111111,0.111111111111111,0.222222222222222,0.555555555555556,0
"29",0,1,0,0,0,0,0,0,0
"30",1,0,0,1,0.0357142857142857,0.0714285714285714,0.285714285714286,0.607142857142857,0
"31",1,0,0,0.999999999999999,0.0185185185185185,0.0555555555555556,0.277777777777778,0.648148148148148,0
"32",1,0,0.184782608695652,0.815217391304349,0.0326086956521739,0.0434782608695652,0.228260869565217,0.695652173913044,0
