"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1",1,0,0.285714285714286,0.357142857142857,0.142857142857143,0,0,0,0,0.214285714285714,0
"2",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,0
"3",0,1,0,0,0,0,0,0,0,0,0
"4",1,0,0,0.8,0,0,0,0.2,0,0,0
"5",1,0,0,1,0,0,0,0,0,0,0
"6",1,0,0,0,0,0,0,0,0,1,0
"7",1,0,0,1,0,0,0,0,0,0,0
"8",1,0,0,0.8,0,0,0,0.2,0,0,0
"9",1,0,0,0,0,0,0,0,1,0,0
"10",0,1,0,0,0,0,0,0,0,0,0
"11",1,0,0,0.606060606060606,0.0303030303030303,0.0303030303030303,0,0.0606060606060606,0.151515151515152,0.121212121212121,0
"12",1,0,0,0.772727272727273,0.0454545454545455,0,0,0.0909090909090909,0,0.0909090909090909,0
"13",1,0,0,0.5,0.0833333333333333,0.0833333333333333,0,0,0.0833333333333333,0.25,0
"14",1,0,0,0.2,0,0,0,0,0.2,0.6,0
"15",1,0,0.428571428571429,0,0,0.142857142857143,0,0,0,0.428571428571429,0
"16",1,0,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0.333333333333333,0
"17",1,0,0,0.888888888888889,0.111111111111111,0,0,0,0,0,0
"18",1,0,0,0.7,0,0,0,0.2,0.1,0,0
"19",1,0,0,0.916666666666667,0,0,0,0.0833333333333333,0,0,0
"20",1,0,0,1,0,0,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0,0,0
"22",1,0,0,0,0,0,0,0.5,0,0.5,0
"23",1,0,0.0588235294117647,0.647058823529412,0.0588235294117647,0.0588235294117647,0,0.0588235294117647,0.117647058823529,0,0
"24",1,0,0,0.761904761904762,0,0.0476190476190476,0,0.0476190476190476,0.0476190476190476,0.0952380952380952,0
"25",1,0,0.05,0.65,0.1,0,0,0.1,0.1,0,0
"26",1,0,0,1,0,0,0,0,0,0,0
"27",0,1,0,0,0,0,0,0,0,0,0
"28",1,0,0,1,0,0,0,0,0,0,0
"29",1,0,0.2,0,0.2,0.2,0,0,0,0.4,0
"30",1,0,0,1,0,0,0,0,0,0,0
"31",1,0,0,1,0,0,0,0,0,0,0
"32",1,0,0,1,0,0,0,0,0,0,0
"33",1,0,0,1,0,0,0,0,0,0,0
"34",1,0,0,0,0,0,0,0,0,1,0
"35",1,0,0,0,0,0,0,0,1,0,0
"36",1,0,0,0.722222222222222,0.0555555555555556,0,0,0.166666666666667,0,0.0555555555555556,0
"37",1,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0
"38",1,0,0,0.4,0,0,0,0.4,0.2,0,0
"39",1,0,0,1,0,0,0,0,0,0,0
"40",1,0,0,1,0,0,0,0,0,0,0
"41",1,0,0,0.75,0,0,0,0,0.25,0,0
"42",1,0,0,0.714285714285714,0.285714285714286,0,0,0,0,0,0
"43",1,0,0,0.6,0,0,0,0.4,0,0,0
"44",0,1,0,0,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0,0,0
"46",1,0,0,0,0,0,0,0,0,1,0
"47",1,0,0,0.8,0.2,0,0,0,0,0,0
"48",1,0,0,0.529411764705882,0.176470588235294,0.117647058823529,0,0,0.176470588235294,0,0
"49",1,0,0,1,0,0,0,0,0,0,0
"50",0,1,0,0,0,0,0,0,0,0,0
"51",1,0,0,1,0,0,0,0,0,0,0
"52",1,0,0,0,0,0,0,0,0.5,0.5,0
"53",0,1,0,0,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0,0,0
"55",0,1,0,0,0,0,0,0,0,0,0
"56",1,0,0,0.75,0,0,0,0,0.25,0,0
"57",1,0,0,1,0,0,0,0,0,0,0
"58",1,0,0.6,0,0.2,0,0,0,0.2,0,0
"59",1,0,0,0.909090909090909,0,0,0,0,0,0.0909090909090909,0
"60",0,1,0,0,0,0,0,0,0,0,0
"61",0,1,0,0,0,0,0,0,0,0,0
"62",1,0,0,1,0,0,0,0,0,0,0
"63",0,1,0,0,0,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0,0,0
"65",1,0,0.2,0,0,0.2,0,0,0.6,0,0
"66",1,0,0,0.75,0,0,0,0,0,0.25,0
"67",1,0,0,0.833333333333333,0.166666666666667,0,0,0,0,0,0
"68",1,0,0,1,0,0,0,0,0,0,0
"69",1,0,0.0434782608695652,0.695652173913043,0.0869565217391304,0,0,0.0434782608695652,0.0869565217391304,0.0434782608695652,0
"70",1,0,0,0.636363636363636,0.0454545454545455,0,0,0.0909090909090909,0.181818181818182,0.0454545454545455,0
