"","Loop_number","No_loop","Loop"
"1",5,0,1
"2",0,0,1
"3",0,0,1
"4",2,0,1
"5",0,0,1
"6",0,0,1
"7",2,0,1
"8",4,0,1
"9",1,0,1
"10",0,0,1
"11",0,0,1
"12",1,0,1
"13",1,0,1
"14",2,0,1
"15",10,0,1
"16",9,0,1
"17",3,0,1
"18",1,0,1
"19",0,0,1
"20",10,0,1
"21",8,0,1
"22",7,0,1
"23",4,0,1
"24",10,0,1
"25",7,0,1
"26",4,0,1
"27",0,0,1
"28",1,0,1
"29",1,0,1
"30",0,0,1
"31",2,0,1
"32",2,0,1
"33",3,0,1
"34",1,0,1
"35",1,0,1
"36",2,0,1
"37",0,0,1
"38",5,0,1
"39",1,0,1
"40",3,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",0,0,1
"45",0,0,1
"46",0,0,1
"47",3,0,1
"48",2,0,1
"49",1,0,1
"50",8,0,1
"51",0,0,1
"52",1,0,1
"53",0,0,1
"54",2,0,1
"55",3,0,1
"56",0,0,1
"57",2,0,1
"58",0,0,1
"59",2,0,1
"60",1,0,1
"61",2,0,1
"62",2,0,1
"63",3,0,1
"64",0,0,1
"65",0,0,1
"66",1,0,1
"67",1,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",1,0,1
"72",4,0,1
"73",0,0,1
"74",0,0,1
"75",1,0,1
"76",0,0,1
"77",2,0,1
"78",1,0,1
"79",2,0,1
"80",2,0,1
"81",1,0,1
"82",0,0,1
"83",1,0,1
"84",0,0,1
"85",0,0,1
"86",0,0,1
"87",0,0,1
"88",14,0,1
"89",7,0,1
"90",2,0,1
"91",2,0,1
"92",2,0,1
"93",1,0,1
"94",5,0,1
"95",2,0,1
"96",5,0,1
"97",2,0,1
"98",1,0,1
"99",1,0,1
"100",1,0,1
"101",1,0,1
"102",1,0,1
"103",1,0,1
"104",13,0,1
"105",3,0,1
"106",5,0,1
"107",7,0,1
"108",22,0,1
"109",39,0,1
"110",3,0,1
"111",1,0,1
"112",3,0,1
"113",5,0,1
"114",7,0,1
"115",3,0,1
"116",11,0,1
"117",1,0,1
"118",2,0,1
"119",1,0,1
"120",3,0,1
"121",1,0,1
"122",0,0,1
"123",0,0,1
"124",1,0,1
"125",0,0,1
"126",1,0,1
"127",0,0,1
"128",0,0,1
"129",0,0,1
"130",0,0,1
"131",0,0,1
"132",2,0,1
"133",0,0,1
"134",0,0,1
"135",0,0,1
"136",0,0,1
