"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",0,0,1
"3",0,0,1
"4",4,0,1
"5",2,0,1
"6",3,0,1
"7",0,0,1
"8",2,0,1
"9",4,0,1
"10",8,0,1
"11",2,0,1
"12",4,0,1
"13",1,0,1
"14",0,0,1
"15",0,0,1
"16",1,0,1
"17",4,0,1
"18",3,0,1
"19",0,0,1
"20",1,0,1
"21",5,0,1
"22",2,0,1
"23",5,0,1
"24",2,0,1
"25",0,0,1
"26",0,0,1
"27",11,0,1
"28",1,0,1
"29",1,0,1
"30",16,0,1
"31",0,0,1
"32",2,0,1
"33",4,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",0,0,1
"38",0,0,1
"39",1,0,1
"40",1,0,1
"41",1,0,1
"42",1,0,1
"43",3,0,1
"44",0,0,1
"45",1,0,1
"46",0,0,1
"47",5,0,1
"48",1,0,1
"49",0,0,1
"50",3,0,1
"51",1,0,1
"52",0,0,1
"53",11,0,1
"54",2,0,1
"55",1,0,1
"56",5,0,1
"57",1,0,1
"58",3,0,1
"59",2,0,1
"60",2,0,1
"61",0,0,1
"62",0,0,1
"63",0,0,1
"64",1,0,1
"65",0,0,1
"66",1,0,1
"67",10,0,1
"68",0,0,1
"69",3,0,1
"70",1,0,1
"71",0,0,1
"72",0,0,1
"73",1,0,1
"74",2,0,1
"75",1,0,1
"76",3,0,1
"77",2,0,1
"78",1,0,1
"79",6,0,1
"80",0,0,1
"81",0,0,1
"82",2,0,1
"83",0,0,1
"84",0,0,1
"85",0,0,1
"86",0,0,1
"87",0,0,1
"88",1,0,1
"89",4,0,1
"90",0,0,1
"91",0,0,1
"92",0,0,1
"93",1,0,1
"94",0,0,1
"95",0,0,1
"96",0,0,1
"97",5,0,1
"98",1,0,1
"99",0,0,1
"100",1,0,1
"101",3,0,1
"102",1,0,1
"103",5,0,1
"104",1,0,1
"105",2,0,1
"106",4,0,1
"107",1,0,1
"108",0,0,1
"109",0,0,1
"110",0,0,1
"111",1,0,1
"112",0,0,1
"113",0,0,1
"114",3,0,1
"115",0,0,1
"116",3,0,1
"117",6,0,1
"118",1,0,1
"119",0,0,1
"120",0,0,1
"121",1,0,1
"122",1,0,1
"123",0,0,1
"124",0,0,1
"125",0,0,1
"126",1,0,1
"127",9,0,1
"128",1,0,1
"129",1,0,1
"130",0,0,1
"131",0,0,1
"132",0,0,1
"133",3,0,1
"134",0,0,1
"135",10,0,1
"136",1,0,1
"137",4,0,1
"138",0,0,1
"139",0,0,1
"140",1,0,1
"141",3,0,1
"142",0,0,1
"143",1,0,1
"144",0,0,1
"145",3,0,1
"146",1,0,1
"147",4,0,1
"148",4,0,1
"149",0,0,1
"150",6,0,1
"151",6,0,1
"152",5,0,1
"153",1,0,1
"154",1,0,1
"155",0,0,1
"156",3,0,1
"157",1,0,1
"158",1,0,1
"159",10,0,1
"160",0,0,1
"161",1,0,1
"162",0,0,1
"163",1,0,1
"164",0,0,1
"165",3,0,1
"166",14,0,1
"167",2,0,1
"168",4,0,1
"169",4,0,1
"170",6,0,1
"171",0,0,1
"172",0,0,1
"173",1,0,1
"174",5,0,1
"175",1,0,1
"176",0,0,1
"177",3,0,1
"178",6,0,1
"179",7,0,1
"180",1,0,1
"181",11,0,1
"182",8,0,1
"183",6,0,1
"184",0,0,1
"185",3,0,1
"186",1,0,1
"187",0,0,1
"188",1,0,1
"189",1,0,1
"190",3,0,1
"191",1,0,1
"192",0,0,1
"193",1,0,1
"194",0,0,1
"195",1,0,1
"196",3,0,1
"197",3,0,1
"198",1,0,1
"199",2,0,1
"200",6,0,1
"201",6,0,1
"202",4,0,1
"203",4,0,1
"204",3,0,1
"205",0,0,1
"206",0,0,1
"207",0,0,1
"208",2,0,1
"209",3,0,1
"210",0,0,1
"211",0,0,1
"212",0,0,1
"213",0,0,1
"214",1,0,1
"215",0,0,1
"216",0,0,1
"217",3,0,1
"218",0,0,1
"219",1,0,1
"220",0,0,1
"221",1,0,1
"222",0,0,1
"223",0,0,1
"224",0,0,1
"225",2,0,1
"226",10,0,1
"227",2,0,1
"228",2,0,1
"229",0,0,1
"230",1,0,1
"231",0,0,1
"232",1,0,1
"233",0,0,1
"234",0,0,1
"235",0,0,1
"236",2,0,1
"237",0,0,1
"238",0,0,1
"239",0,0,1
"240",0,0,1
"241",1,0,1
"242",28,0,1
"243",9,0,1
"244",5,0,1
"245",9,0,1
"246",11,0,1
"247",8,0,1
"248",1,0,1
"249",1,0,1
"250",13,0,1
"251",4,0,1
"252",14,0,1
"253",5,0,1
"254",4,0,1
"255",0,0,1
"256",4,0,1
"257",8,0,1
"258",1,0,1
"259",0,0,1
"260",0,0,1
"261",0,0,1
"262",0,0,1
"263",3,0,1
"264",0,0,1
"265",0,0,1
"266",0,0,1
"267",0,0,1
"268",6,0,1
"269",6,0,1
"270",1,0,1
"271",4,0,1
"272",0,0,1
"273",5,0,1
"274",0,0,1
"275",1,0,1
"276",3,0,1
"277",2,0,1
