"","Loop_number","No_loop","Loop"
"1",5,0,1
"2",6,0,1
"3",1,0,1
"4",0,0,1
"5",2,0,1
"6",0,0,1
"7",1,0,1
"8",6,0,1
"9",0,0,1
"10",0,0,1
"11",0,0,1
"12",0,0,1
"13",4,0,1
"14",1,0,1
"15",0,0,1
"16",0,0,1
"17",0,0,1
"18",5,0,1
"19",0,0,1
"20",19,0,1
"21",0,0,1
"22",24,0,1
"23",18,0,1
"24",1,0,1
"25",2,0,1
"26",2,0,1
"27",1,0,1
"28",2,0,1
"29",0,0,1
"30",5,0,1
"31",1,0,1
"32",0,0,1
"33",17,0,1
"34",1,0,1
"35",0,0,1
"36",0,0,1
"37",1,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",2,0,1
"42",15,0,1
"43",0,0,1
"44",1,0,1
"45",0,0,1
"46",1,0,1
"47",0,0,1
"48",0,0,1
"49",3,0,1
"50",4,0,1
"51",1,0,1
"52",0,0,1
"53",0,0,1
"54",1,0,1
"55",2,0,1
"56",0,0,1
"57",0,0,1
"58",2,0,1
"59",5,0,1
"60",5,0,1
"61",1,0,1
"62",0,0,1
"63",0,0,1
"64",12,0,1
"65",5,0,1
"66",12,0,1
"67",3,0,1
"68",9,0,1
"69",0,0,1
"70",4,0,1
"71",0,0,1
"72",1,0,1
"73",4,0,1
"74",1,0,1
"75",0,0,1
"76",1,0,1
"77",0,0,1
"78",2,0,1
"79",1,0,1
"80",1,0,1
"81",0,0,1
"82",0,0,1
"83",8,0,1
"84",0,0,1
"85",1,0,1
"86",0,0,1
"87",3,0,1
"88",0,0,1
"89",0,0,1
"90",0,0,1
"91",1,0,1
"92",4,0,1
"93",0,0,1
"94",1,0,1
"95",21,0,1
"96",0,0,1
"97",5,0,1
"98",6,0,1
"99",0,0,1
"100",1,0,1
"101",0,0,1
"102",6,0,1
"103",23,0,1
"104",1,0,1
"105",0,0,1
"106",0,0,1
"107",0,0,1
"108",0,0,1
"109",0,0,1
"110",0,0,1
"111",6,0,1
"112",15,0,1
"113",3,0,1
"114",0,0,1
"115",3,0,1
"116",4,0,1
"117",0,0,1
"118",1,0,1
"119",0,0,1
"120",0,0,1
"121",0,0,1
"122",0,0,1
"123",0,0,1
"124",1,0,1
"125",2,0,1
"126",4,0,1
"127",1,0,1
"128",0,0,1
"129",0,0,1
"130",1,0,1
"131",1,0,1
"132",0,0,1
"133",0,0,1
"134",0,0,1
"135",0,0,1
"136",4,0,1
"137",0,0,1
"138",1,0,1
"139",0,0,1
"140",1,0,1
"141",0,0,1
"142",13,0,1
"143",0,0,1
"144",0,0,1
"145",3,0,1
"146",24,0,1
"147",0,0,1
"148",4,0,1
"149",0,0,1
"150",0,0,1
"151",2,0,1
"152",0,0,1
"153",0,0,1
"154",1,0,1
"155",16,0,1
