"","FBL_number","No_FBL","FBL"
"1",56,0,1
"2",0,0,1
"3",34,0,1
"4",0,0,1
"5",23,0,1
"6",19,0,1
"7",313,0,1
"8",250,0,1
"9",143,0,1
"10",145,0,1
"11",0,0,1
"12",110,0,1
"13",36,0,1
"14",0,0,1
"15",107,0,1
"16",189,0,1
"17",43,0,1
"18",158,0,1
"19",0,0,1
"20",0,0,1
"21",112,0,1
"22",0,0,1
"23",62,0,1
"24",8,0,1
"25",29,0,1
"26",8,0,1
"27",12,0,1
"28",0,0,1
"29",57,0,1
"30",7,0,1
"31",19,0,1
"32",0,0,1
"33",0,0,1
"34",2,0,1
"35",0,0,1
"36",10,0,1
"37",145,0,1
"38",65,0,1
"39",3,0,1
"40",88,0,1
"41",0,0,1
"42",68,0,1
"43",0,0,1
"44",147,0,1
"45",0,0,1
"46",0,0,1
"47",225,0,1
"48",0,0,1
"49",0,0,1
"50",0,0,1
"51",0,0,1
"52",0,0,1
"53",0,0,1
"54",54,0,1
"55",38,0,1
"56",0,0,1
"57",0,0,1
"58",0,0,1
"59",29,0,1
"60",0,0,1
"61",99,0,1
"62",87,0,1
"63",60,0,1
"64",12,0,1
"65",77,0,1
"66",22,0,1
"67",30,0,1
"68",0,0,1
"69",55,0,1
"70",0,0,1
"71",51,0,1
"72",25,0,1
"73",0,0,1
"74",42,0,1
"75",3,0,1
"76",0,0,1
"77",0,0,1
"78",0,0,1
"79",0,0,1
"80",66,0,1
"81",0,0,1
"82",0,0,1
"83",35,0,1
"84",0,0,1
"85",0,0,1
"86",120,0,1
"87",55,0,1
"88",0,0,1
"89",0,0,1
"90",53,0,1
"91",58,0,1
"92",197,0,1
"93",29,0,1
"94",53,0,1
"95",0,0,1
"96",0,0,1
"97",33,0,1
"98",66,0,1
"99",42,0,1
"100",39,0,1
"101",37,0,1
"102",0,0,1
"103",0,0,1
"104",0,0,1
"105",26,0,1
"106",137,0,1
"107",163,0,1
"108",0,0,1
"109",48,0,1
"110",0,0,1
"111",88,0,1
"112",102,0,1
"113",28,0,1
"114",0,0,1
"115",1,0,1
"116",5,0,1
"117",8,0,1
"118",0,0,1
"119",40,0,1
"120",0,0,1
"121",20,0,1
"122",0,0,1
"123",0,0,1
"124",6,0,1
"125",156,0,1
"126",107,0,1
"127",0,0,1
"128",0,0,1
"129",0,0,1
"130",0,0,1
"131",80,0,1
"132",131,0,1
"133",0,0,1
"134",0,0,1
"135",1,0,1
"136",44,0,1
"137",54,0,1
"138",19,0,1
"139",0,0,1
"140",0,0,1
"141",0,0,1
"142",0,0,1
"143",14,0,1
"144",35,0,1
"145",0,0,1
"146",23,0,1
"147",30,0,1
"148",36,0,1
"149",0,0,1
"150",65,0,1
"151",35,0,1
"152",238,0,1
"153",167,0,1
"154",83,0,1
"155",70,0,1
"156",0,0,1
"157",37,0,1
"158",0,0,1
"159",150,0,1
"160",0,0,1
"161",0,0,1
"162",0,0,1
"163",0,0,1
"164",196,0,1
"165",322,0,1
"166",276,0,1
"167",196,0,1
"168",0,0,1
"169",168,0,1
"170",117,0,1
"171",0,0,1
"172",123,0,1
"173",25,0,1
"174",188,0,1
"175",264,0,1
"176",0,0,1
"177",81,0,1
"178",238,0,1
"179",171,0,1
"180",36,0,1
"181",160,0,1
"182",0,0,1
"183",60,0,1
"184",0,0,1
"185",0,0,1
"186",0,0,1
"187",32,0,1
"188",0,0,1
"189",0,0,1
"190",0,0,1
"191",0,0,1
"192",66,0,1
"193",53,0,1
"194",12,0,1
"195",0,0,1
"196",9,0,1
"197",20,0,1
"198",2,0,1
"199",0,0,1
"200",0,0,1
"201",157,0,1
"202",121,0,1
"203",36,0,1
"204",35,0,1
"205",124,0,1
"206",50,0,1
"207",1,0,1
"208",72,0,1
"209",102,0,1
"210",0,0,1
"211",14,0,1
"212",85,0,1
"213",0,0,1
"214",0,0,1
"215",220,0,1
"216",111,0,1
"217",0,0,1
"218",0,0,1
"219",0,0,1
"220",0,0,1
"221",184,0,1
"222",45,0,1
"223",15,0,1
"224",0,0,1
"225",0,0,1
"226",10,0,1
"227",13,0,1
"228",20,0,1
"229",138,0,1
"230",0,0,1
"231",72,0,1
"232",16,0,1
"233",0,0,1
"234",117,0,1
"235",22,0,1
"236",70,0,1
"237",39,0,1
"238",23,0,1
"239",6,0,1
"240",0,0,1
"241",81,0,1
"242",66,0,1
"243",32,0,1
"244",0,0,1
"245",63,0,1
"246",0,0,1
"247",0,0,1
"248",0,0,1
"249",0,0,1
"250",8,0,1
"251",0,0,1
"252",0,0,1
"253",0,0,1
"254",170,0,1
"255",0,0,1
"256",1,0,1
"257",13,0,1
"258",6,0,1
"259",0,0,1
"260",33,0,1
"261",0,0,1
"262",0,0,1
"263",30,0,1
"264",0,0,1
"265",0,0,1
"266",20,0,1
