"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0.5,0,0,0.2,0,0,0.3,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,0.32,0,0,0.16,0,0,0.52,0,0,0,0
"4",1,0,0.5,0,0,0,0,0,0,0,0.5,0,0
"5",1,0,0.538461538461539,0,0,0.0769230769230769,0,0,0.384615384615385,0,0,0,0
"6",1,0,0.714285714285714,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0
"7",1,0,0.377777777777778,0.311111111111111,0,0,0.0444444444444444,0,0.2,0.0222222222222222,0.0444444444444444,0,0
"8",1,0,0.619047619047619,0,0,0.0238095238095238,0,0,0.357142857142857,0,0,0,0
"9",1,0,0.422222222222222,0.155555555555556,0,0.0222222222222222,0,0,0.244444444444444,0.0888888888888889,0.0666666666666667,0,0
"10",1,0,0.428571428571429,0,0,0.0952380952380952,0,0,0.476190476190476,0,0,0,0
"11",1,0,0,1,0,0,0,0,0,0,0,0,0
"12",1,0,0.333333333333333,0.185185185185185,0,0,0.0740740740740741,0,0.222222222222222,0.111111111111111,0.0740740740740741,0,0
"13",1,0,0.692307692307692,0.230769230769231,0,0,0,0,0.0769230769230769,0,0,0,0
"14",1,0,0.142857142857143,0.571428571428571,0,0,0,0,0.142857142857143,0,0.142857142857143,0,0
"15",1,0,0.25,0.340909090909091,0.0454545454545455,0.0454545454545455,0.0227272727272727,0,0.159090909090909,0.0454545454545455,0.0909090909090909,0,0
"16",1,0,0.232558139534884,0.255813953488372,0,0.0930232558139535,0.0232558139534884,0,0.232558139534884,0.0697674418604651,0.0697674418604651,0.0232558139534884,0
"17",1,0,0.342857142857143,0.428571428571429,0.0285714285714286,0,0,0,0.0285714285714286,0.142857142857143,0.0285714285714286,0,0
"18",1,0,0.65625,0,0,0.125,0,0,0.21875,0,0,0,0
"19",1,0,0.44,0.12,0,0.12,0.04,0,0.16,0.04,0.08,0,0
"20",1,0,0,0,1,0,0,0,0,0,0,0,0
"21",1,0,0.333333333333333,0.444444444444445,0.0555555555555556,0,0.111111111111111,0,0.0555555555555556,0,0,0,0
"22",1,0,0.555555555555556,0.222222222222222,0,0.111111111111111,0,0,0,0.111111111111111,0,0,0
"23",1,0,0.341463414634146,0.268292682926829,0,0.0731707317073171,0,0,0.146341463414634,0.0487804878048781,0.121951219512195,0,0
"24",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"25",1,0,0.428571428571429,0.333333333333333,0,0.142857142857143,0,0,0.0952380952380952,0,0,0,0
"26",1,0,1,0,0,0,0,0,0,0,0,0,0
"27",1,0,0.25,0,0,0,0,0,0.75,0,0,0,0
"28",1,0,0.428571428571429,0.428571428571429,0,0,0,0,0,0,0.142857142857143,0,0
"29",1,0,0.80952380952381,0,0,0,0,0,0.0952380952380952,0.0952380952380952,0,0,0
"30",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"31",1,0,0.466666666666667,0.466666666666667,0,0,0,0,0,0.0666666666666667,0,0,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0,0,0,0,0
"34",1,0,1,0,0,0,0,0,0,0,0,0,0
"35",1,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0
"36",1,0,1,0,0,0,0,0,0,0,0,0,0
"37",1,0,0.413793103448276,0.241379310344828,0,0.0344827586206897,0,0,0.172413793103448,0.0689655172413793,0.0689655172413793,0,0
"38",1,0,0.428571428571429,0.285714285714286,0,0,0,0,0.142857142857143,0.0476190476190476,0.0952380952380952,0,0
"39",1,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0.166666666666667,0.333333333333333,0.166666666666667,0
"40",1,0,0.454545454545454,0,0,0.0606060606060606,0,0,0.484848484848485,0,0,0,0
"41",1,0,1,0,0,0,0,0,0,0,0,0,0
"42",1,0,0.857142857142857,0,0,0,0,0,0.142857142857143,0,0,0,0
"43",1,0,0,0.125,0.25,0,0,0.125,0,0,0,0.5,0
"44",1,0,0.950000000000001,0,0,0,0,0,0.05,0,0,0,0
"45",1,0,0.285714285714286,0.428571428571429,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0
"46",1,0,0,0,1,0,0,0,0,0,0,0,0
"47",1,0,0.807692307692307,0,0,0.0384615384615385,0,0,0.153846153846154,0,0,0,0
"48",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"49",0,1,0,0,0,0,0,0,0,0,0,0,0
"50",0,1,0,0,0,0,0,0,0,0,0,0,0
"51",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
