"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",1,0,0.0714285714285714,0.928571428571429,0.142857142857143,0.232142857142857,0.321428571428571,0.303571428571428,0
"2",0,1,0,0,0,0,0,0,0
"3",1,0,0.235294117647059,0.764705882352941,0.0882352941176471,0.0882352941176471,0.470588235294118,0.352941176470588,0
"4",0,1,0,0,0,0,0,0,0
"5",1,0,0,1,0.0869565217391304,0.130434782608696,0.434782608695652,0.347826086956522,0
"6",1,0,0.526315789473684,0.473684210526316,0.210526315789474,0.210526315789474,0.315789473684211,0.263157894736842,0
"7",1,0,0,1,0.0159744408945687,0.0670926517571885,0.246006389776357,0.670926517571886,0
"8",1,0,0.196,0.804000000000001,0.024,0.072,0.252,0.652,0
"9",1,0,0.272727272727273,0.727272727272727,0.048951048951049,0.111888111888112,0.314685314685315,0.524475524475524,0
"10",1,0,0.00689655172413793,0.993103448275864,0.0275862068965517,0.0758620689655172,0.255172413793104,0.641379310344829,0
"11",0,1,0,0,0,0,0,0,0
"12",1,0,0.445454545454546,0.554545454545454,0.0181818181818182,0.0454545454545455,0.236363636363636,0.699999999999999,0
"13",1,0,0,1,0.0277777777777778,0.0555555555555556,0.277777777777778,0.638888888888889,0
"14",0,1,0,0,0,0,0,0,0
"15",1,0,0.0373831775700935,0.962616822429907,0.0467289719626168,0.0934579439252336,0.224299065420561,0.635514018691589,0
"16",1,0,0,1.00000000000001,0.037037037037037,0.0952380952380952,0.227513227513228,0.640211640211642,0
"17",1,0,0,1,0.0465116279069767,0.0930232558139535,0.27906976744186,0.581395348837209,0
"18",1,0,0,1,0.0253164556962025,0.0632911392405063,0.284810126582279,0.626582278481013,0
"19",0,1,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0
"21",1,0,0.116071428571429,0.883928571428571,0.0267857142857143,0.0535714285714286,0.223214285714286,0.696428571428571,0
"22",0,1,0,0,0,0,0,0,0
"23",1,0,0,0.999999999999999,0.112903225806452,0.193548387096774,0.258064516129032,0.435483870967742,0
"24",1,0,0,1,0.125,0.125,0.625,0.125,0
"25",1,0,0.655172413793103,0.344827586206897,0.0689655172413793,0.0344827586206897,0.310344827586207,0.586206896551724,0
"26",1,0,0,1,0.25,0,0.625,0.125,0
"27",1,0,0,1,0.25,0.25,0.25,0.25,0
"28",0,1,0,0,0,0,0,0,0
"29",1,0,0.140350877192982,0.859649122807019,0.0701754385964912,0.105263157894737,0.333333333333333,0.491228070175439,0
"30",1,0,0,1,0.285714285714286,0.142857142857143,0.285714285714286,0.285714285714286,0
"31",1,0,0,1,0.105263157894737,0.105263157894737,0.421052631578947,0.368421052631579,0
"32",0,1,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0
"34",1,0,0,1,0.5,0,0.5,0,0
"35",0,1,0,0,0,0,0,0,0
"36",1,0,0,1,0.2,0.1,0.5,0.2,0
"37",1,0,0.096551724137931,0.90344827586207,0.0275862068965517,0.110344827586207,0.303448275862069,0.558620689655173,0
