"","Loop_number","No_loop","Loop"
"1",860,0,1
"2",145,0,1
"3",202,0,1
"4",256,0,1
"5",243,0,1
"6",178,0,1
"7",101,0,1
"8",249,0,1
"9",202,0,1
"10",136,0,1
"11",229,0,1
"12",340,0,1
"13",110,0,1
"14",299,0,1
"15",94,0,1
"16",174,0,1
"17",93,0,1
"18",292,0,1
"19",76,0,1
"20",60,0,1
"21",707,0,1
"22",56,0,1
"23",352,0,1
"24",260,0,1
"25",122,0,1
"26",387,0,1
"27",297,0,1
"28",125,0,1
"29",82,0,1
"30",143,0,1
"31",80,0,1
"32",41,0,1
"33",292,0,1
"34",449,0,1
"35",83,0,1
"36",65,0,1
"37",58,0,1
"38",482,0,1
"39",306,0,1
"40",188,0,1
"41",240,0,1
"42",223,0,1
"43",421,0,1
"44",668,0,1
"45",102,0,1
"46",86,0,1
"47",290,0,1
"48",263,0,1
"49",312,0,1
"50",527,0,1
"51",326,0,1
"52",36,0,1
"53",15,0,1
"54",42,0,1
"55",62,0,1
"56",378,0,1
"57",207,0,1
"58",341,0,1
"59",23,0,1
"60",137,0,1
"61",155,0,1
"62",69,0,1
"63",96,0,1
"64",86,0,1
"65",97,0,1
"66",238,0,1
"67",184,0,1
"68",63,0,1
"69",74,0,1
"70",74,0,1
"71",30,0,1
"72",265,0,1
"73",337,0,1
"74",262,0,1
"75",86,0,1
"76",112,0,1
"77",98,0,1
"78",135,0,1
"79",69,0,1
"80",134,0,1
"81",192,0,1
"82",120,0,1
"83",97,0,1
"84",122,0,1
"85",213,0,1
"86",199,0,1
"87",232,0,1
"88",172,0,1
"89",102,0,1
"90",118,0,1
"91",288,0,1
"92",279,0,1
"93",302,0,1
"94",75,0,1
"95",232,0,1
"96",167,0,1
"97",126,0,1
"98",88,0,1
"99",112,0,1
"100",69,0,1
"101",697,0,1
"102",190,0,1
"103",129,0,1
"104",84,0,1
"105",746,0,1
"106",376,0,1
"107",328,0,1
"108",374,0,1
"109",228,0,1
"110",160,0,1
"111",236,0,1
"112",134,0,1
"113",91,0,1
"114",143,0,1
"115",68,0,1
"116",84,0,1
"117",311,0,1
"118",134,0,1
"119",76,0,1
"120",113,0,1
"121",258,0,1
"122",166,0,1
"123",26,0,1
"124",180,0,1
"125",187,0,1
"126",384,0,1
"127",226,0,1
"128",53,0,1
"129",89,0,1
"130",193,0,1
"131",218,0,1
"132",83,0,1
"133",59,0,1
"134",527,0,1
"135",146,0,1
"136",219,0,1
"137",102,0,1
"138",213,0,1
"139",223,0,1
"140",142,0,1
"141",77,0,1
"142",107,0,1
"143",70,0,1
"144",569,0,1
"145",82,0,1
"146",102,0,1
"147",326,0,1
"148",223,0,1
"149",213,0,1
"150",127,0,1
"151",414,0,1
"152",200,0,1
"153",134,0,1
"154",115,0,1
"155",118,0,1
"156",203,0,1
"157",180,0,1
"158",71,0,1
"159",120,0,1
"160",38,0,1
"161",281,0,1
"162",242,0,1
"163",91,0,1
"164",212,0,1
"165",99,0,1
"166",34,0,1
"167",25,0,1
"168",64,0,1
"169",94,0,1
"170",28,0,1
"171",272,0,1
"172",119,0,1
"173",185,0,1
"174",192,0,1
"175",200,0,1
"176",162,0,1
"177",241,0,1
"178",133,0,1
"179",183,0,1
"180",21,0,1
"181",442,0,1
"182",101,0,1
"183",166,0,1
"184",167,0,1
"185",244,0,1
"186",121,0,1
"187",309,0,1
"188",325,0,1
"189",174,0,1
"190",144,0,1
"191",463,0,1
"192",292,0,1
"193",183,0,1
"194",271,0,1
"195",154,0,1
"196",71,0,1
"197",1063,0,1
"198",294,0,1
"199",71,0,1
"200",238,0,1
"201",175,0,1
