"","FBL_number","No_FBL","FBL"
"1",3474,0,1
"2",628,0,1
"3",2117,0,1
"4",1294,0,1
"5",631,0,1
"6",135,0,1
"7",0,0,1
"8",2837,0,1
"9",766,0,1
"10",0,0,1
"11",40,0,1
"12",1733,0,1
"13",991,0,1
"14",888,0,1
"15",0,0,1
"16",0,0,1
"17",281,0,1
"18",64,0,1
"19",0,0,1
"20",0,0,1
"21",5058,0,1
"22",196,0,1
"23",1467,0,1
"24",3025,0,1
"25",0,0,1
"26",451,0,1
"27",1525,0,1
"28",1359,0,1
"29",0,0,1
"30",19,0,1
"31",1,0,1
"32",100,0,1
"33",1476,0,1
"34",1417,0,1
"35",10,0,1
"36",0,0,1
"37",0,0,1
"38",2532,0,1
"39",512,0,1
"40",2107,0,1
"41",1290,0,1
"42",1423,0,1
"43",49,0,1
"44",1279,0,1
"45",0,0,1
"46",0,0,1
"47",1792,0,1
"48",652,0,1
"49",522,0,1
"50",1354,0,1
"51",2374,0,1
"52",7,0,1
"53",0,0,1
"54",0,0,1
"55",89,0,1
"56",275,0,1
"57",461,0,1
"58",443,0,1
"59",86,0,1
"60",562,0,1
"61",357,0,1
"62",170,0,1
"63",0,0,1
"64",0,0,1
"65",0,0,1
"66",125,0,1
"67",1105,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",0,0,1
"72",160,0,1
"73",536,0,1
"74",322,0,1
"75",0,0,1
"76",0,0,1
"77",408,0,1
"78",274,0,1
"79",0,0,1
"80",523,0,1
"81",53,0,1
"82",310,0,1
"83",581,0,1
"84",0,0,1
"85",1361,0,1
"86",0,0,1
"87",1320,0,1
"88",1252,0,1
"89",0,0,1
"90",852,0,1
"91",2410,0,1
"92",2297,0,1
"93",0,0,1
"94",0,0,1
"95",1754,0,1
"96",836,0,1
"97",775,0,1
"98",0,0,1
"99",0,0,1
"100",0,0,1
"101",724,0,1
"102",1607,0,1
"103",0,0,1
"104",0,0,1
"105",2590,0,1
"106",1607,0,1
"107",1763,0,1
"108",1847,0,1
"109",2335,0,1
"110",1925,0,1
"111",3776,0,1
"112",0,0,1
"113",0,0,1
"114",0,0,1
"115",0,0,1
"116",350,0,1
"117",199,0,1
"118",1295,0,1
"119",190,0,1
"120",0,0,1
"121",507,0,1
"122",1211,0,1
"123",0,0,1
"124",0,0,1
"125",1022,0,1
"126",383,0,1
"127",1411,0,1
"128",120,0,1
"129",0,0,1
"130",87,0,1
"131",890,0,1
"132",0,0,1
"133",190,0,1
"134",4253,0,1
"135",801,0,1
"136",1355,0,1
"137",190,0,1
"138",0,0,1
"139",0,0,1
"140",0,0,1
"141",277,0,1
"142",0,0,1
"143",0,0,1
"144",3939,0,1
"145",53,0,1
"146",0,0,1
"147",0,0,1
"148",0,0,1
"149",2357,0,1
"150",0,0,1
"151",3131,0,1
"152",2466,0,1
"153",1,0,1
"154",162,0,1
"155",293,0,1
"156",3496,0,1
"157",0,0,1
"158",0,0,1
"159",496,0,1
"160",0,0,1
"161",0,0,1
"162",1438,0,1
"163",35,0,1
"164",78,0,1
"165",136,0,1
"166",89,0,1
"167",0,0,1
"168",107,0,1
"169",0,0,1
"170",0,0,1
"171",51,0,1
"172",281,0,1
"173",927,0,1
"174",1096,0,1
"175",365,0,1
"176",778,0,1
"177",1439,0,1
"178",0,0,1
"179",0,0,1
"180",0,0,1
"181",748,0,1
"182",335,0,1
"183",1701,0,1
"184",1124,0,1
"185",0,0,1
"186",0,0,1
"187",2430,0,1
"188",159,0,1
"189",0,0,1
"190",170,0,1
"191",1767,0,1
"192",408,0,1
"193",1066,0,1
"194",1968,0,1
"195",640,0,1
"196",0,0,1
"197",3469,0,1
"198",3886,0,1
"199",102,0,1
"200",1126,0,1
"201",0,0,1
