"","Loop_number","No_loop","Loop"
"1",142,0,1
"2",55,0,1
"3",33,0,1
"4",39,0,1
"5",63,0,1
"6",26,0,1
"7",26,0,1
"8",37,0,1
"9",29,0,1
"10",30,0,1
"11",36,0,1
"12",49,0,1
"13",16,0,1
"14",47,0,1
"15",22,0,1
"16",30,0,1
"17",25,0,1
"18",65,0,1
"19",19,0,1
"20",16,0,1
"21",116,0,1
"22",5,0,1
"23",52,0,1
"24",36,0,1
"25",23,0,1
"26",94,0,1
"27",57,0,1
"28",19,0,1
"29",17,0,1
"30",41,0,1
"31",12,0,1
"32",6,0,1
"33",64,0,1
"34",64,0,1
"35",14,0,1
"36",13,0,1
"37",19,0,1
"38",105,0,1
"39",51,0,1
"40",41,0,1
"41",43,0,1
"42",41,0,1
"43",77,0,1
"44",93,0,1
"45",22,0,1
"46",25,0,1
"47",77,0,1
"48",44,0,1
"49",65,0,1
"50",84,0,1
"51",50,0,1
"52",8,0,1
"53",5,0,1
"54",8,0,1
"55",3,0,1
"56",71,0,1
"57",30,0,1
"58",81,0,1
"59",0,0,1
"60",23,0,1
"61",35,0,1
"62",17,0,1
"63",20,0,1
"64",20,0,1
"65",25,0,1
"66",60,0,1
"67",28,0,1
"68",15,0,1
"69",12,0,1
"70",16,0,1
"71",8,0,1
"72",55,0,1
"73",58,0,1
"74",73,0,1
"75",13,0,1
"76",16,0,1
"77",27,0,1
"78",32,0,1
"79",14,0,1
"80",32,0,1
"81",35,0,1
"82",14,0,1
"83",15,0,1
"84",21,0,1
"85",25,0,1
"86",50,0,1
"87",35,0,1
"88",36,0,1
"89",18,0,1
"90",13,0,1
"91",43,0,1
"92",41,0,1
"93",64,0,1
"94",9,0,1
"95",33,0,1
"96",30,0,1
"97",23,0,1
"98",16,0,1
"99",18,0,1
"100",20,0,1
"101",83,0,1
"102",30,0,1
"103",22,0,1
"104",13,0,1
"105",122,0,1
"106",87,0,1
"107",91,0,1
"108",51,0,1
"109",34,0,1
"110",22,0,1
"111",33,0,1
"112",23,0,1
"113",15,0,1
"114",23,0,1
"115",13,0,1
"116",17,0,1
"117",44,0,1
"118",31,0,1
"119",20,0,1
"120",25,0,1
"121",68,0,1
"122",29,0,1
"123",9,0,1
"124",28,0,1
"125",49,0,1
"126",84,0,1
"127",38,0,1
"128",14,0,1
"129",20,0,1
"130",45,0,1
"131",33,0,1
"132",22,0,1
"133",17,0,1
"134",90,0,1
"135",24,0,1
"136",32,0,1
"137",18,0,1
"138",30,0,1
"139",38,0,1
"140",27,0,1
"141",22,0,1
"142",12,0,1
"143",11,0,1
"144",104,0,1
"145",15,0,1
"146",23,0,1
"147",41,0,1
"148",30,0,1
"149",38,0,1
"150",19,0,1
"151",82,0,1
"152",34,0,1
"153",25,0,1
"154",24,0,1
"155",27,0,1
"156",34,0,1
"157",38,0,1
"158",18,0,1
"159",29,0,1
"160",14,0,1
"161",77,0,1
"162",38,0,1
"163",27,0,1
"164",69,0,1
"165",34,0,1
"166",19,0,1
"167",7,0,1
"168",19,0,1
"169",24,0,1
"170",11,0,1
"171",50,0,1
"172",33,0,1
"173",31,0,1
"174",31,0,1
"175",47,0,1
"176",25,0,1
"177",53,0,1
"178",11,0,1
"179",23,0,1
"180",6,0,1
"181",101,0,1
"182",14,0,1
"183",27,0,1
"184",23,0,1
"185",33,0,1
"186",25,0,1
"187",55,0,1
"188",62,0,1
"189",30,0,1
"190",42,0,1
"191",89,0,1
"192",51,0,1
"193",38,0,1
"194",50,0,1
"195",34,0,1
"196",22,0,1
"197",163,0,1
"198",47,0,1
"199",18,0,1
"200",37,0,1
"201",31,0,1
