"","Loop_number","No_loop","Loop"
"1",1766,0,1
"2",1257,0,1
"3",1467,0,1
"4",242,0,1
"5",418,0,1
"6",322,0,1
"7",254,0,1
"8",362,0,1
"9",235,0,1
"10",296,0,1
"11",369,0,1
"12",402,0,1
"13",275,0,1
"14",972,0,1
"15",1360,0,1
"16",337,0,1
"17",342,0,1
"18",142,0,1
"19",160,0,1
"20",264,0,1
"21",256,0,1
"22",198,0,1
"23",303,0,1
"24",193,0,1
"25",78,0,1
"26",1061,0,1
"27",528,0,1
"28",1102,0,1
"29",342,0,1
"30",319,0,1
"31",241,0,1
"32",303,0,1
"33",244,0,1
"34",241,0,1
"35",285,0,1
"36",275,0,1
"37",1541,0,1
"38",1669,0,1
"39",571,0,1
"40",1113,0,1
"41",1370,0,1
"42",415,0,1
"43",357,0,1
"44",310,0,1
"45",389,0,1
"46",209,0,1
"47",133,0,1
"48",314,0,1
"49",218,0,1
"50",341,0,1
"51",240,0,1
"52",664,0,1
"53",659,0,1
"54",122,0,1
"55",99,0,1
"56",128,0,1
"57",65,0,1
"58",73,0,1
"59",143,0,1
"60",168,0,1
"61",51,0,1
"62",1785,0,1
"63",2307,0,1
"64",1421,0,1
"65",1253,0,1
"66",1418,0,1
"67",1743,0,1
"68",337,0,1
"69",418,0,1
"70",327,0,1
"71",333,0,1
"72",196,0,1
"73",459,0,1
"74",418,0,1
"75",415,0,1
"76",1308,0,1
"77",1137,0,1
"78",1444,0,1
"79",1308,0,1
"80",319,0,1
"81",321,0,1
"82",285,0,1
"83",371,0,1
"84",237,0,1
"85",274,0,1
"86",185,0,1
"87",281,0,1
"88",212,0,1
"89",179,0,1
"90",1066,0,1
"91",987,0,1
"92",1000,0,1
"93",1236,0,1
"94",234,0,1
"95",257,0,1
"96",254,0,1
"97",203,0,1
"98",220,0,1
"99",143,0,1
"100",333,0,1
"101",222,0,1
"102",252,0,1
"103",388,0,1
"104",632,0,1
"105",119,0,1
"106",112,0,1
"107",95,0,1
"108",168,0,1
"109",28,0,1
"110",125,0,1
"111",155,0,1
"112",665,0,1
"113",1399,0,1
"114",598,0,1
"115",209,0,1
"116",299,0,1
"117",206,0,1
"118",242,0,1
"119",159,0,1
"120",249,0,1
"121",270,0,1
"122",148,0,1
"123",222,0,1
"124",203,0,1
"125",1361,0,1
"126",897,0,1
"127",172,0,1
"128",132,0,1
"129",115,0,1
"130",183,0,1
"131",241,0,1
"132",260,0,1
"133",189,0,1
"134",102,0,1
"135",245,0,1
"136",269,0,1
"137",1113,0,1
"138",870,0,1
"139",185,0,1
"140",300,0,1
"141",321,0,1
"142",220,0,1
"143",316,0,1
"144",194,0,1
"145",328,0,1
"146",345,0,1
"147",184,0,1
"148",877,0,1
"149",1071,0,1
"150",199,0,1
"151",233,0,1
"152",288,0,1
"153",303,0,1
"154",118,0,1
"155",248,0,1
"156",268,0,1
"157",167,0,1
"158",262,0,1
"159",1083,0,1
"160",985,0,1
"161",1125,0,1
"162",1649,0,1
"163",277,0,1
"164",146,0,1
"165",286,0,1
"166",229,0,1
"167",78,0,1
"168",256,0,1
"169",289,0,1
"170",263,0,1
"171",234,0,1
"172",554,0,1
"173",1032,0,1
"174",1025,0,1
"175",308,0,1
"176",172,0,1
"177",323,0,1
"178",101,0,1
"179",131,0,1
"180",184,0,1
"181",238,0,1
"182",292,0,1
"183",1045,0,1
"184",1030,0,1
"185",202,0,1
"186",206,0,1
"187",188,0,1
"188",142,0,1
"189",189,0,1
"190",157,0,1
"191",111,0,1
"192",215,0,1
"193",179,0,1
"194",1019,0,1
"195",743,0,1
"196",811,0,1
"197",192,0,1
"198",145,0,1
"199",125,0,1
"200",188,0,1
"201",119,0,1
"202",183,0,1
"203",180,0,1
"204",130,0,1
"205",103,0,1
"206",137,0,1
"207",576,0,1
"208",1194,0,1
"209",224,0,1
"210",202,0,1
"211",147,0,1
"212",154,0,1
"213",137,0,1
"214",236,0,1
"215",190,0,1
"216",1221,0,1
"217",668,0,1
"218",496,0,1
"219",157,0,1
"220",142,0,1
"221",220,0,1
"222",134,0,1
"223",107,0,1
"224",128,0,1
"225",81,0,1
"226",220,0,1
"227",876,0,1
"228",755,0,1
"229",205,0,1
"230",171,0,1
"231",158,0,1
"232",97,0,1
"233",87,0,1
"234",169,0,1
"235",173,0,1
"236",209,0,1
"237",418,0,1
"238",1010,0,1
"239",830,0,1
"240",101,0,1
"241",183,0,1
"242",139,0,1
"243",174,0,1
"244",179,0,1
"245",138,0,1
"246",241,0,1
"247",158,0,1
"248",120,0,1
"249",177,0,1
"250",865,0,1
"251",1001,0,1
"252",181,0,1
"253",168,0,1
"254",252,0,1
"255",192,0,1
"256",191,0,1
"257",290,0,1
"258",200,0,1
"259",790,0,1
"260",1020,0,1
"261",253,0,1
"262",213,0,1
"263",153,0,1
"264",187,0,1
"265",211,0,1
"266",103,0,1
"267",167,0,1
"268",235,0,1
"269",145,0,1
"270",1040,0,1
"271",853,0,1
"272",905,0,1
"273",176,0,1
"274",329,0,1
"275",224,0,1
"276",354,0,1
