"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",1,0,0.399539435808878,0.600460564191156,0.00172711571675302,0.0129533678756477,0.104202648244099,0.881116868163535,0
"2",1,0,0.0636942675159236,0.936305732484091,0.0111464968152866,0.036624203821656,0.214968152866242,0.737261146496823,0
"3",1,0,0.382616910722715,0.617383089277261,0.00188946622579121,0.00755786490316486,0.121398205007086,0.869154463863927,0
"4",1,0,0,1.00000000000002,0.00154559505409583,0.00850077279752705,0.131375579598145,0.858578052550246,0
"5",1,0,0.343898573692553,0.656101426307446,0.00792393026941363,0.0269413629160063,0.185419968304279,0.779714738510295,0
"6",1,0,0,1,0.00740740740740741,0.0222222222222222,0.192592592592593,0.777777777777779,0
"7",0,1,0,0,0,0,0,0,0
"8",1,0,0.361649629890727,0.638350370109265,0.00176242509693338,0.00986958054282693,0.12513218188227,0.863235812477962,0
"9",1,0,0.0861618798955615,0.913838120104425,0.00391644908616188,0.0117493472584856,0.142297650130549,0.842036553524793,0
"10",0,1,0,0,0,0,0,0,0
"11",1,0,1,0,0.025,0.025,0.25,0.7,0
"12",1,0,0.365262550490478,0.634737449509513,0.00173110213502597,0.00865551067512983,0.1200230813618,0.869590305828029,0
"13",1,0,0.433905146316852,0.566094853683146,0.00403632694248234,0.0151362260343088,0.18869828456105,0.792129162462145,0
"14",1,0,0.5518018018018,0.448198198198195,0.00225225225225225,0.00563063063063063,0.15990990990991,0.832207207207217,0
"15",0,1,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0
"17",1,0,0,0.999999999999997,0.0391459074733096,0.103202846975089,0.398576512455515,0.459074733096084,0
"18",1,0,1,0,0.015625,0.109375,0.140625,0.734375,0
"19",0,1,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0
"21",1,0,0.554962435745376,0.445037564254658,0.00197706603400554,0.012850929221036,0.12831158560696,0.856860419138049,0
"22",1,0,0,0.999999999999996,0.0408163265306122,0.0510204081632653,0.336734693877551,0.571428571428571,0
"23",1,0,0,1.00000000000002,0.00954328561690525,0.0231765507839127,0.20040899795501,0.766871165644187,0
"24",1,0,0.78842975206614,0.211570247933887,0.00165289256198347,0.00727272727272727,0.12892561983471,0.862148760330605,0
"25",0,1,0,0,0,0,0,0,0
"26",1,0,0.600886917960086,0.399113082039911,0.00443458980044346,0.0221729490022173,0.241685144124169,0.731707317073167,0
"27",1,0,0.0813114754098359,0.918688524590153,0.00655737704918033,0.0295081967213115,0.196065573770491,0.767868852459013,0
"28",1,0,0.483443708609269,0.516556291390726,0.0022075055187638,0.00735835172921266,0.138337012509198,0.852097130242842,0
"29",0,1,0,0,0,0,0,0,0
"30",1,0,1,0,0.0526315789473684,0.0526315789473684,0.368421052631579,0.526315789473684,0
"31",1,0,1,0,1,0,0,0,0
"32",1,0,1,0,0.01,0.01,0.35,0.63,0
"33",1,0,0,0.999999999999974,0.00813008130081301,0.029810298102981,0.218157181571816,0.743902439024374,0
"34",1,0,0.451658433309809,0.548341566690187,0.00564573041637262,0.0232886379675371,0.177134791813691,0.793930839802376,0
"35",1,0,1,0,0.1,0.1,0,0.8,0
"36",0,1,0,0,0,0,0,0,0
"37",0,1,0,0,0,0,0,0,0
"38",1,0,0.234597156398108,0.765402843601917,0.00315955766192733,0.0150078988941548,0.144944707740917,0.836887835703025,0
"39",1,0,0,1,0.005859375,0.025390625,0.1484375,0.8203125,0
"40",1,0,0.571428571428575,0.428571428571431,0.00284765068818225,0.0104413858566682,0.151874703369721,0.834836260085435,0
"41",1,0,0.496124031007747,0.503875968992243,0.00310077519379845,0.010077519379845,0.16279069767442,0.824031007751924,0
"42",1,0,0.368236120871396,0.631763879128606,0.00210822206605762,0.00913562895291637,0.144061841180604,0.84469430780044,0
"43",1,0,0,1,0.0204081632653061,0,0.204081632653061,0.775510204081633,0
"44",1,0,0.8100078186083,0.189992181391713,0.00390930414386239,0.0211102423768569,0.137607505863956,0.837372947615338,0
"45",0,1,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0
"47",1,0,0.071986607142857,0.928013392857126,0.00223214285714286,0.0206473214285714,0.141183035714286,0.835937499999986,0
"48",1,0,0.147239263803681,0.852760736196315,0.00306748466257669,0.0168711656441718,0.144171779141104,0.835889570552143,0
"49",1,0,1.00000000000001,0,0.00574712643678161,0.0229885057471264,0.14367816091954,0.827586206896556,0
"50",1,0,0.307976366322008,0.692023633678002,0.00221565731166913,0.0192023633677991,0.155834564254062,0.82274741506649,0
"51",1,0,0.271272114574558,0.728727885425412,0.0016849199663016,0.0080033698399326,0.122156697556866,0.868155012636851,0
"52",1,0,0.428571428571429,0.571428571428571,0.428571428571429,0.142857142857143,0.428571428571429,0,0
"53",0,1,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0
"55",1,0,0,1,0.0786516853932584,0.123595505617978,0.292134831460674,0.50561797752809,0
"56",1,0,0,1,0.00727272727272727,0.0581818181818182,0.145454545454545,0.789090909090912,0
"57",1,0,0.318872017353579,0.681127982646419,0.00650759219088937,0.0216919739696312,0.182212581344902,0.789587852494573,0
"58",1,0,0.528216704288941,0.471783295711063,0.0090293453724605,0.0338600451467269,0.169300225733634,0.787810383747176,0
"59",1,0,0,1,0.0581395348837209,0.104651162790698,0.337209302325581,0.5,0
"60",1,0,0,1.00000000000001,0.00533807829181495,0.0142348754448399,0.206405693950178,0.774021352313174,0
"61",1,0,0.885154061624647,0.11484593837535,0.0112044817927171,0.0140056022408964,0.184873949579832,0.789915966386552,0
"62",1,0,0.599999999999999,0.4,0.0176470588235294,0.0470588235294118,0.276470588235294,0.658823529411763,0
"63",0,1,0,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0
"65",0,1,0,0,0,0,0,0,0
"66",1,0,0,1,0.008,0.024,0.24,0.728000000000001,0
"67",1,0,0.0208144796380091,0.979185520361988,0.00904977375565611,0.0307692307692308,0.199999999999999,0.760180995475111,0
"68",0,1,0,0,0,0,0,0,0
"69",0,1,0,0,0,0,0,0,0
"70",0,1,0,0,0,0,0,0,0
"71",0,1,0,0,0,0,0,0,0
"72",1,0,0.862499999999998,0.1375,0.01875,0.0375,0.175,0.768749999999998,0
"73",1,0,0.33955223880597,0.66044776119403,0.00932835820895522,0.0205223880597015,0.23134328358209,0.738805970149255,0
"74",1,0,0.72981366459627,0.270186335403727,0.0062111801242236,0.0372670807453416,0.177018633540373,0.779503105590058,0
"75",0,1,0,0,0,0,0,0,0
"76",0,1,0,0,0,0,0,0,0
"77",1,0,0,0.999999999999997,0.017156862745098,0.0416666666666667,0.267156862745098,0.674019607843135,0
"78",1,0,0,1.00000000000001,0.00364963503649635,0.0145985401459854,0.164233576642336,0.817518248175186,0
"79",0,1,0,0,0,0,0,0,0
"80",1,0,0.139579349904398,0.860420650095597,0.00956022944550669,0.0401529636711281,0.281070745697897,0.669216061185465,0
"81",1,0,0,1,0.0188679245283019,0.0188679245283019,0.377358490566038,0.584905660377358,0
"82",1,0,0.999999999999993,0,0.0032258064516129,0.0129032258064516,0.180645161290323,0.803225806451609,0
"83",1,0,0.518072289156623,0.48192771084337,0.00516351118760757,0.0103270223752151,0.223752151462995,0.760757314974175,0
"84",0,1,0,0,0,0,0,0,0
"85",1,0,0.000734753857457752,0.999265246142576,0.00734753857457752,0.0315944158706833,0.210874357090374,0.75018368846438,0
"86",0,1,0,0,0,0,0,0,0
