"","FBL_number","No_FBL","FBL"
"1",2200,0,1
"2",2661,0,1
"3",3253,0,1
"4",56,0,1
"5",735,0,1
"6",568,0,1
"7",125,0,1
"8",618,0,1
"9",378,0,1
"10",813,0,1
"11",682,0,1
"12",381,0,1
"13",279,0,1
"14",1593,0,1
"15",1681,0,1
"16",618,0,1
"17",277,0,1
"18",53,0,1
"19",0,0,1
"20",468,0,1
"21",83,0,1
"22",54,0,1
"23",388,0,1
"24",53,0,1
"25",11,0,1
"26",1645,0,1
"27",313,0,1
"28",673,0,1
"29",524,0,1
"30",191,0,1
"31",80,0,1
"32",406,0,1
"33",254,0,1
"34",351,0,1
"35",73,0,1
"36",34,0,1
"37",1450,0,1
"38",2719,0,1
"39",615,0,1
"40",1179,0,1
"41",801,0,1
"42",455,0,1
"43",565,0,1
"44",758,0,1
"45",210,0,1
"46",338,0,1
"47",23,0,1
"48",280,0,1
"49",121,0,1
"50",504,0,1
"51",432,0,1
"52",359,0,1
"53",237,0,1
"54",70,0,1
"55",151,0,1
"56",23,0,1
"57",0,0,1
"58",0,0,1
"59",63,0,1
"60",242,0,1
"61",1,0,1
"62",1331,0,1
"63",4573,0,1
"64",1711,0,1
"65",2313,0,1
"66",3393,0,1
"67",2260,0,1
"68",157,0,1
"69",461,0,1
"70",455,0,1
"71",753,0,1
"72",48,0,1
"73",280,0,1
"74",494,0,1
"75",1078,0,1
"76",2278,0,1
"77",2283,0,1
"78",2676,0,1
"79",2339,0,1
"80",335,0,1
"81",833,0,1
"82",624,0,1
"83",610,0,1
"84",531,0,1
"85",450,0,1
"86",390,0,1
"87",638,0,1
"88",0,0,1
"89",83,0,1
"90",989,0,1
"91",1066,0,1
"92",1348,0,1
"93",1139,0,1
"94",346,0,1
"95",323,0,1
"96",321,0,1
"97",69,0,1
"98",40,0,1
"99",131,0,1
"100",1041,0,1
"101",288,0,1
"102",657,0,1
"103",355,0,1
"104",469,0,1
"105",132,0,1
"106",133,0,1
"107",46,0,1
"108",106,0,1
"109",0,0,1
"110",57,0,1
"111",10,0,1
"112",1411,0,1
"113",1960,0,1
"114",1107,0,1
"115",161,0,1
"116",772,0,1
"117",195,0,1
"118",488,0,1
"119",0,0,1
"120",584,0,1
"121",809,0,1
"122",0,0,1
"123",157,0,1
"124",235,0,1
"125",3324,0,1
"126",1784,0,1
"127",79,0,1
"128",0,0,1
"129",146,0,1
"130",513,0,1
"131",622,0,1
"132",296,0,1
"133",242,0,1
"134",0,0,1
"135",178,0,1
"136",496,0,1
"137",2265,0,1
"138",1675,0,1
"139",476,0,1
"140",83,0,1
"141",956,0,1
"142",455,0,1
"143",557,0,1
"144",0,0,1
"145",389,0,1
"146",339,0,1
"147",43,0,1
"148",561,0,1
"149",872,0,1
"150",127,0,1
"151",217,0,1
"152",164,0,1
"153",187,0,1
"154",0,0,1
"155",187,0,1
"156",88,0,1
"157",123,0,1
"158",282,0,1
"159",2096,0,1
"160",2435,0,1
"161",2500,0,1
"162",4139,0,1
"163",591,0,1
"164",0,0,1
"165",912,0,1
"166",105,0,1
"167",0,0,1
"168",625,0,1
"169",944,0,1
"170",737,0,1
"171",171,0,1
"172",1423,0,1
"173",1429,0,1
"174",2217,0,1
"175",196,0,1
"176",169,0,1
"177",524,0,1
"178",83,0,1
"179",4,0,1
"180",89,0,1
"181",435,0,1
"182",467,0,1
"183",617,0,1
"184",964,0,1
"185",158,0,1
"186",184,0,1
"187",128,0,1
"188",134,0,1
"189",201,0,1
"190",57,0,1
"191",35,0,1
"192",219,0,1
"193",194,0,1
"194",425,0,1
"195",636,0,1
"196",814,0,1
"197",188,0,1
"198",62,0,1
"199",16,0,1
"200",175,0,1
"201",32,0,1
"202",108,0,1
"203",91,0,1
"204",0,0,1
"205",66,0,1
"206",78,0,1
"207",730,0,1
"208",1162,0,1
"209",261,0,1
"210",44,0,1
"211",325,0,1
"212",34,0,1
"213",55,0,1
"214",94,0,1
"215",149,0,1
"216",1051,0,1
"217",1132,0,1
"218",868,0,1
"219",335,0,1
"220",391,0,1
"221",366,0,1
"222",43,0,1
"223",0,0,1
"224",100,0,1
"225",28,0,1
"226",350,0,1
"227",594,0,1
"228",650,0,1
"229",123,0,1
"230",368,0,1
"231",112,0,1
"232",38,0,1
"233",66,0,1
"234",55,0,1
"235",93,0,1
"236",298,0,1
"237",286,0,1
"238",1005,0,1
"239",1221,0,1
"240",1,0,1
"241",255,0,1
"242",174,0,1
"243",157,0,1
"244",204,0,1
"245",157,0,1
"246",299,0,1
"247",184,0,1
"248",153,0,1
"249",187,0,1
"250",655,0,1
"251",1657,0,1
"252",227,0,1
"253",49,0,1
"254",200,0,1
"255",0,0,1
"256",167,0,1
"257",398,0,1
"258",162,0,1
"259",725,0,1
"260",677,0,1
"261",380,0,1
"262",200,0,1
"263",51,0,1
"264",66,0,1
"265",290,0,1
"266",24,0,1
"267",128,0,1
"268",298,0,1
"269",49,0,1
"270",1561,0,1
"271",1513,0,1
"272",1575,0,1
"273",74,0,1
"274",719,0,1
"275",452,0,1
"276",745,0,1
"277",606,0,1
"278",221,0,1
"279",193,0,1
"280",202,0,1
"281",893,0,1
"282",643,0,1
"283",150,0,1
"284",410,0,1
"285",144,0,1
"286",83,0,1
"287",6,0,1
"288",102,0,1
"289",81,0,1
"290",18,0,1
"291",166,0,1
"292",121,0,1
"293",1570,0,1
"294",1394,0,1
"295",462,0,1
"296",0,0,1
"297",136,0,1
"298",257,0,1
"299",525,0,1
"300",139,0,1
"301",570,0,1
"302",371,0,1
"303",213,0,1
"304",168,0,1
"305",3696,0,1
"306",3816,0,1
"307",817,0,1
"308",1137,0,1
"309",1225,0,1
"310",938,0,1
"311",152,0,1
"312",538,0,1
"313",866,0,1
"314",568,0,1
"315",475,0,1
"316",623,0,1
"317",860,0,1
"318",0,0,1
"319",41,0,1
"320",0,0,1
"321",143,0,1
"322",349,0,1
"323",31,0,1
"324",2,0,1
"325",493,0,1
"326",1353,0,1
"327",0,0,1
"328",65,0,1
"329",238,0,1
"330",192,0,1
"331",57,0,1
"332",124,0,1
"333",28,0,1
"334",200,0,1
"335",1250,0,1
"336",1045,0,1
"337",1165,0,1
"338",0,0,1
"339",109,0,1
"340",213,0,1
"341",9,0,1
"342",0,0,1
"343",156,0,1
"344",307,0,1
"345",156,0,1
"346",378,0,1
"347",749,0,1
"348",697,0,1
"349",1274,0,1
"350",1506,0,1
"351",252,0,1
"352",1,0,1
"353",192,0,1
"354",182,0,1
"355",129,0,1
"356",80,0,1
"357",293,0,1
"358",98,0,1
"359",322,0,1
"360",965,0,1
"361",142,0,1
"362",177,0,1
"363",15,0,1
"364",98,0,1
"365",28,0,1
"366",357,0,1
"367",816,0,1
"368",902,0,1
"369",871,0,1
"370",118,0,1
"371",228,0,1
"372",61,0,1
"373",26,0,1
"374",160,0,1
"375",86,0,1
"376",293,0,1
"377",89,0,1
"378",236,0,1
"379",305,0,1
"380",1663,0,1
"381",1661,0,1
"382",4647,0,1
"383",1742,0,1
"384",334,0,1
"385",34,0,1
"386",1006,0,1
"387",111,0,1
"388",186,0,1
"389",957,0,1
"390",498,0,1
"391",565,0,1
"392",495,0,1
"393",679,0,1
"394",1250,0,1
"395",1051,0,1
"396",153,0,1
"397",97,0,1
"398",282,0,1
"399",29,0,1
"400",322,0,1
"401",203,0,1
"402",217,0,1
"403",80,0,1
"404",396,0,1
"405",369,0,1
"406",2545,0,1
"407",496,0,1
"408",933,0,1
"409",490,0,1
"410",511,0,1
"411",743,0,1
"412",665,0,1
"413",613,0,1
"414",292,0,1
"415",14,0,1
"416",231,0,1
"417",1865,0,1
"418",2724,0,1
"419",1864,0,1
"420",718,0,1
"421",0,0,1
"422",404,0,1
"423",282,0,1
"424",433,0,1
"425",324,0,1
"426",403,0,1
"427",257,0,1
"428",659,0,1
"429",505,0,1
"430",591,0,1
"431",258,0,1
"432",46,0,1
"433",300,0,1
"434",404,0,1
"435",153,0,1
"436",146,0,1
"437",2990,0,1
"438",2945,0,1
"439",2055,0,1
"440",461,0,1
"441",436,0,1
"442",344,0,1
"443",578,0,1
"444",171,0,1
"445",591,0,1
"446",110,0,1
"447",508,0,1
"448",1168,0,1
"449",847,0,1
"450",1284,0,1
"451",317,0,1
"452",218,0,1
"453",55,0,1
"454",0,0,1
"455",197,0,1
"456",0,0,1
"457",252,0,1
"458",298,0,1
"459",64,0,1
"460",263,0,1
"461",1908,0,1
"462",1063,0,1
"463",171,0,1
"464",111,0,1
"465",13,0,1
"466",263,0,1
"467",175,0,1
"468",247,0,1
"469",171,0,1
"470",269,0,1
"471",293,0,1
"472",75,0,1
"473",645,0,1
"474",12,0,1
"475",0,0,1
"476",46,0,1
"477",53,0,1
"478",0,0,1
"479",0,0,1
"480",142,0,1
"481",46,0,1
"482",123,0,1
"483",541,0,1
"484",276,0,1
"485",318,0,1
"486",147,0,1
"487",0,0,1
"488",55,0,1
"489",167,0,1
"490",295,0,1
"491",0,0,1
"492",272,0,1
"493",0,0,1
"494",31,0,1
"495",93,0,1
"496",2163,0,1
"497",1030,0,1
"498",3913,0,1
"499",793,0,1
"500",0,0,1
"501",0,0,1
"502",110,0,1
"503",1232,0,1
"504",638,0,1
"505",212,0,1
"506",0,0,1
"507",770,0,1
"508",45,0,1
"509",556,0,1
"510",31,0,1
"511",74,0,1
"512",104,0,1
"513",67,0,1
"514",2,0,1
"515",100,0,1
"516",0,0,1
"517",0,0,1
"518",21,0,1
"519",225,0,1
"520",1936,0,1
"521",1881,0,1
"522",449,0,1
"523",25,0,1
"524",474,0,1
"525",273,0,1
"526",164,0,1
"527",309,0,1
"528",316,0,1
"529",85,0,1
"530",391,0,1
"531",175,0,1
"532",167,0,1
"533",4643,0,1
"534",2924,0,1
"535",1324,0,1
"536",997,0,1
"537",593,0,1
"538",495,0,1
"539",1066,0,1
"540",67,0,1
"541",971,0,1
"542",759,0,1
"543",809,0,1
"544",3373,0,1
"545",4130,0,1
"546",0,0,1
"547",201,0,1
"548",53,0,1
"549",485,0,1
"550",867,0,1
"551",688,0,1
"552",198,0,1
"553",833,0,1
"554",381,0,1
"555",2141,0,1
"556",2936,0,1
"557",582,0,1
"558",563,0,1
"559",22,0,1
"560",11,0,1
"561",344,0,1
"562",0,0,1
"563",1009,0,1
"564",0,0,1
"565",0,0,1
"566",62,0,1
"567",1646,0,1
"568",780,0,1
"569",2966,0,1
"570",2522,0,1
"571",3703,0,1
"572",385,0,1
"573",0,0,1
"574",455,0,1
"575",911,0,1
"576",789,0,1
"577",497,0,1
"578",1297,0,1
"579",340,0,1
"580",233,0,1
