"","Loop_number","No_loop","Loop"
"1",75,0,1
"2",87,0,1
"3",56,0,1
"4",5,0,1
"5",33,0,1
"6",28,0,1
"7",17,0,1
"8",20,0,1
"9",20,0,1
"10",10,0,1
"11",22,0,1
"12",27,0,1
"13",18,0,1
"14",47,0,1
"15",84,0,1
"16",24,0,1
"17",13,0,1
"18",12,0,1
"19",13,0,1
"20",12,0,1
"21",16,0,1
"22",8,0,1
"23",14,0,1
"24",14,0,1
"25",10,0,1
"26",29,0,1
"27",24,0,1
"28",72,0,1
"29",22,0,1
"30",9,0,1
"31",6,0,1
"32",16,0,1
"33",10,0,1
"34",15,0,1
"35",15,0,1
"36",9,0,1
"37",65,0,1
"38",81,0,1
"39",44,0,1
"40",55,0,1
"41",34,0,1
"42",26,0,1
"43",19,0,1
"44",15,0,1
"45",18,0,1
"46",16,0,1
"47",12,0,1
"48",9,0,1
"49",21,0,1
"50",20,0,1
"51",8,0,1
"52",37,0,1
"53",28,0,1
"54",11,0,1
"55",15,0,1
"56",14,0,1
"57",2,0,1
"58",6,0,1
"59",7,0,1
"60",10,0,1
"61",0,0,1
"62",67,0,1
"63",151,0,1
"64",33,0,1
"65",59,0,1
"66",87,0,1
"67",72,0,1
"68",24,0,1
"69",27,0,1
"70",30,0,1
"71",30,0,1
"72",12,0,1
"73",22,0,1
"74",30,0,1
"75",29,0,1
"76",65,0,1
"77",72,0,1
"78",104,0,1
"79",38,0,1
"80",25,0,1
"81",28,0,1
"82",17,0,1
"83",26,0,1
"84",20,0,1
"85",18,0,1
"86",22,0,1
"87",20,0,1
"88",11,0,1
"89",18,0,1
"90",43,0,1
"91",51,0,1
"92",56,0,1
"93",35,0,1
"94",17,0,1
"95",12,0,1
"96",15,0,1
"97",9,0,1
"98",10,0,1
"99",9,0,1
"100",21,0,1
"101",12,0,1
"102",15,0,1
"103",10,0,1
"104",42,0,1
"105",9,0,1
"106",9,0,1
"107",5,0,1
"108",10,0,1
"109",0,0,1
"110",10,0,1
"111",2,0,1
"112",60,0,1
"113",92,0,1
"114",35,0,1
"115",22,0,1
"116",22,0,1
"117",14,0,1
"118",13,0,1
"119",11,0,1
"120",18,0,1
"121",26,0,1
"122",7,0,1
"123",15,0,1
"124",14,0,1
"125",72,0,1
"126",48,0,1
"127",10,0,1
"128",12,0,1
"129",9,0,1
"130",18,0,1
"131",25,0,1
"132",24,0,1
"133",14,0,1
"134",9,0,1
"135",21,0,1
"136",21,0,1
"137",67,0,1
"138",50,0,1
"139",22,0,1
"140",18,0,1
"141",30,0,1
"142",18,0,1
"143",28,0,1
"144",17,0,1
"145",31,0,1
"146",27,0,1
"147",14,0,1
"148",35,0,1
"149",41,0,1
"150",10,0,1
"151",10,0,1
"152",14,0,1
"153",11,0,1
"154",0,0,1
"155",19,0,1
"156",12,0,1
"157",11,0,1
"158",21,0,1
"159",29,0,1
"160",84,0,1
"161",42,0,1
"162",34,0,1
"163",8,0,1
"164",9,0,1
"165",20,0,1
"166",6,0,1
"167",3,0,1
"168",15,0,1
"169",16,0,1
"170",20,0,1
"171",10,0,1
"172",38,0,1
"173",39,0,1
"174",71,0,1
"175",15,0,1
"176",15,0,1
"177",24,0,1
"178",16,0,1
"179",7,0,1
"180",24,0,1
"181",19,0,1
"182",29,0,1
"183",26,0,1
"184",38,0,1
"185",11,0,1
"186",12,0,1
"187",13,0,1
"188",7,0,1
"189",10,0,1
"190",11,0,1
"191",8,0,1
"192",14,0,1
"193",11,0,1
"194",61,0,1
"195",56,0,1
"196",57,0,1
"197",14,0,1
"198",11,0,1
"199",10,0,1
"200",15,0,1
"201",12,0,1
"202",12,0,1
"203",13,0,1
"204",6,0,1
"205",11,0,1
"206",10,0,1
"207",37,0,1
"208",64,0,1
"209",23,0,1
"210",10,0,1
"211",12,0,1
"212",20,0,1
"213",16,0,1
"214",21,0,1
"215",18,0,1
"216",60,0,1
"217",52,0,1
"218",43,0,1
"219",14,0,1
"220",15,0,1
"221",20,0,1
"222",14,0,1
"223",5,0,1
"224",6,0,1
"225",11,0,1
"226",17,0,1
"227",40,0,1
"228",29,0,1
"229",13,0,1
"230",14,0,1
"231",4,0,1
"232",8,0,1
"233",4,0,1
"234",6,0,1
"235",12,0,1
"236",15,0,1
"237",15,0,1
"238",42,0,1
"239",54,0,1
"240",10,0,1
"241",14,0,1
"242",12,0,1
"243",22,0,1
"244",19,0,1
"245",16,0,1
"246",22,0,1
"247",17,0,1
"248",10,0,1
"249",22,0,1
"250",41,0,1
"251",37,0,1
"252",6,0,1
"253",7,0,1
"254",9,0,1
"255",8,0,1
"256",8,0,1
"257",17,0,1
"258",6,0,1
