"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0.0882352941176471,0.316176470588235,0.198529411764706,0.0147058823529412,0.0294117647058824,0.00735294117647059,0.0294117647058824,0.0588235294117647,0.132352941176471,0.125,0
"2",1,0,0.625,0,0,0,0,0,0.375,0,0,0,0
"3",1,0,0.125,0.214285714285714,0.0535714285714286,0.0892857142857143,0.0357142857142857,0,0.178571428571429,0.0535714285714286,0.196428571428571,0.0535714285714286,0
"4",1,0,0.230769230769231,0.153846153846154,0.0153846153846154,0.0615384615384615,0.0923076923076923,0,0.261538461538462,0.107692307692308,0.0615384615384615,0.0153846153846154,0
"5",1,0,0.117647058823529,0.470588235294118,0.264705882352941,0,0,0,0,0.0588235294117647,0,0.0882352941176471,0
"6",1,0,0.032258064516129,0.451612903225806,0.516129032258064,0,0,0,0,0,0,0,0
"7",1,0,0,0.384615384615385,0.307692307692308,0,0,0.0769230769230769,0,0.0769230769230769,0,0.153846153846154,0
"8",1,0,0.381818181818182,0.163636363636364,0,0.0363636363636364,0.0181818181818182,0,0.309090909090909,0.0545454545454545,0.0363636363636364,0,0
"9",1,0,0.272727272727273,0.242424242424242,0,0.0303030303030303,0.0303030303030303,0,0.333333333333333,0,0.0909090909090909,0,0
"10",1,0,0.111111111111111,0.277777777777778,0,0.0555555555555556,0,0,0.277777777777778,0.111111111111111,0.166666666666667,0,0
"11",1,0,0.0952380952380952,0.380952380952381,0.19047619047619,0,0,0,0.0952380952380952,0.0952380952380952,0.0476190476190476,0.0952380952380952,0
"12",1,0,0.422535211267605,0,0,0.225352112676056,0,0,0.352112676056338,0,0,0,0
"13",1,0,0.111111111111111,0.611111111111111,0.111111111111111,0,0.0555555555555556,0,0.0555555555555556,0,0.0555555555555556,0,0
"14",1,0,0.426229508196721,0,0,0.245901639344262,0,0,0.327868852459016,0,0,0,0
"15",1,0,0.3,0.4,0.1,0,0.1,0,0.1,0,0,0,0
"16",1,0,0.0666666666666667,0.4,0.2,0.0333333333333333,0,0.0333333333333333,0.1,0.0666666666666667,0.1,0,0
"17",1,0,1,0,0,0,0,0,0,0,0,0,0
