"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1",1,0,0.282051282051282,0.179487179487179,0.179487179487179,0.0256410256410256,0.0769230769230769,0,0.0512820512820513,0.205128205128205,0
"2",1,0,0,1,0,0,0,0,0,0,0
"3",1,0,0,0.142857142857143,0.214285714285714,0.0714285714285714,0,0.214285714285714,0.142857142857143,0.214285714285714,0
"4",1,0,0.0555555555555556,0.222222222222222,0.0555555555555556,0.111111111111111,0,0.277777777777778,0.277777777777778,0,0
"5",1,0,0.333333333333333,0.0833333333333333,0,0,0,0,0.25,0.333333333333333,0
"6",1,0,0,0,0,0,0,0,1,0,0
"7",1,0,0.25,0,0,0,0.25,0,0.125,0.375,0
"8",1,0,0,0.555555555555556,0,0,0,0.222222222222222,0.111111111111111,0.111111111111111,0
"9",1,0,0,0,0,0,0,0.5,0,0.5,0
"10",1,0,0,0.625,0,0,0,0.125,0.125,0.125,0
"11",1,0,0,0,0,0,0,0.5,0.5,0,0
"12",1,0,0,0.428571428571428,0,0,0,0.428571428571428,0.142857142857143,0,0
"13",1,0,0.2,0.2,0,0,0,0,0.4,0.2,0
"14",1,0,0,0.642857142857143,0,0,0,0.357142857142857,0,0,0
"15",1,0,0,0,0.25,0,0,0,0.75,0,0
"16",1,0,0.166666666666667,0.5,0,0,0,0,0.333333333333333,0,0
"17",1,0,0,1,0,0,0,0,0,0,0
"18",1,0,0,0.285714285714286,0,0.142857142857143,0,0,0.285714285714286,0.285714285714286,0
"19",1,0,0.571428571428571,0,0,0,0,0,0.142857142857143,0.285714285714286,0
"20",0,1,0,0,0,0,0,0,0,0,0
"21",1,0,0.0256410256410256,0.512820512820513,0.102564102564103,0,0.0256410256410256,0.102564102564103,0.128205128205128,0.102564102564103,0
"22",0,1,0,0,0,0,0,0,0,0,0
"23",1,0,0,0.368421052631579,0.0526315789473684,0,0,0.157894736842105,0.315789473684211,0.105263157894737,0
"24",1,0,0,0.5,0,0.05,0,0.25,0.1,0.1,0
"25",1,0,0.166666666666667,0.166666666666667,0,0,0,0,0.333333333333333,0.333333333333333,0
"26",1,0,0.5,0,0,0,0,0,0.5,0,0
"27",1,0,0,0.714285714285714,0.142857142857143,0,0,0,0,0.142857142857143,0
"28",1,0,0.25,0.5,0,0,0,0,0,0.25,0
"29",1,0,0.5,0,0,0,0,0.25,0,0.25,0
"30",1,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0
"31",1,0,0,0.5,0,0,0,0,0,0.5,0
"32",1,0,0,0.5,0,0,0,0.5,0,0,0
"33",1,0,0,0.375,0.125,0,0,0,0.375,0.125,0
"34",1,0,0.25,0.25,0,0,0.0833333333333333,0,0.166666666666667,0.25,0
"35",0,1,0,0,0,0,0,0,0,0,0
"36",1,0,0,0,0,0,0,0,0.5,0.5,0
"37",1,0,0,0.5,0,0,0,0,0.5,0,0
"38",1,0,0.151515151515152,0.333333333333333,0.0909090909090909,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.181818181818182,0.151515151515152,0
"39",0,1,0,0,0,0,0,0,0,0,0
"40",1,0,0.0526315789473684,0.210526315789474,0.105263157894737,0.105263157894737,0,0.210526315789474,0.157894736842105,0.157894736842105,0
"41",1,0,0,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.272727272727273,0.0909090909090909,0
