"","Loop_number","No_loop","Loop"
"1",37,0,1
"2",19,0,1
"3",48,0,1
"4",10,0,1
"5",8,0,1
"6",6,0,1
"7",5,0,1
"8",5,0,1
"9",11,0,1
"10",1,0,1
"11",5,0,1
"12",8,0,1
"13",4,0,1
"14",13,0,1
"15",53,0,1
"16",7,0,1
"17",6,0,1
"18",1,0,1
"19",1,0,1
"20",3,0,1
"21",2,0,1
"22",2,0,1
"23",2,0,1
"24",1,0,1
"25",0,0,1
"26",10,0,1
"27",12,0,1
"28",41,0,1
"29",3,0,1
"30",4,0,1
"31",3,0,1
"32",2,0,1
"33",1,0,1
"34",2,0,1
"35",1,0,1
"36",1,0,1
"37",28,0,1
"38",51,0,1
"39",5,0,1
"40",35,0,1
"41",17,0,1
"42",26,0,1
"43",21,0,1
"44",14,0,1
"45",13,0,1
"46",2,0,1
"47",6,0,1
"48",5,0,1
"49",4,0,1
"50",12,0,1
"51",15,0,1
"52",13,0,1
"53",11,0,1
"54",1,0,1
"55",5,0,1
"56",3,0,1
"57",1,0,1
"58",0,0,1
"59",0,0,1
"60",1,0,1
"61",0,0,1
"62",28,0,1
"63",130,0,1
"64",29,0,1
"65",78,0,1
"66",60,0,1
"67",21,0,1
"68",8,0,1
"69",27,0,1
"70",18,0,1
"71",12,0,1
"72",2,0,1
"73",27,0,1
"74",30,0,1
"75",18,0,1
"76",88,0,1
"77",37,0,1
"78",88,0,1
"79",21,0,1
"80",17,0,1
"81",14,0,1
"82",4,0,1
"83",29,0,1
"84",10,0,1
"85",6,0,1
"86",7,0,1
"87",18,0,1
"88",1,0,1
"89",14,0,1
"90",37,0,1
"91",30,0,1
"92",38,0,1
"93",35,0,1
"94",5,0,1
"95",3,0,1
"96",11,0,1
"97",5,0,1
"98",0,0,1
"99",6,0,1
"100",14,0,1
"101",5,0,1
"102",13,0,1
"103",10,0,1
"104",20,0,1
"105",1,0,1
"106",9,0,1
"107",3,0,1
"108",7,0,1
"109",0,0,1
"110",4,0,1
"111",1,0,1
"112",24,0,1
"113",34,0,1
"114",23,0,1
"115",7,0,1
"116",6,0,1
"117",4,0,1
"118",3,0,1
"119",1,0,1
"120",3,0,1
"121",6,0,1
"122",0,0,1
"123",5,0,1
"124",4,0,1
"125",49,0,1
"126",29,0,1
"127",1,0,1
"128",0,0,1
"129",4,0,1
"130",15,0,1
"131",13,0,1
"132",8,0,1
"133",12,0,1
"134",0,0,1
"135",12,0,1
"136",7,0,1
"137",36,0,1
"138",16,0,1
"139",4,0,1
"140",10,0,1
"141",17,0,1
"142",8,0,1
"143",16,0,1
"144",2,0,1
"145",30,0,1
"146",15,0,1
"147",6,0,1
"148",32,0,1
"149",43,0,1
"150",1,0,1
"151",6,0,1
"152",3,0,1
"153",1,0,1
"154",0,0,1
"155",8,0,1
"156",5,0,1
"157",2,0,1
