"","Loop_number","No_loop","Loop"
"1",21,0,1
"2",34,0,1
"3",39,0,1
"4",37,0,1
"5",1,0,1
"6",6,0,1
"7",19,0,1
"8",1,0,1
"9",0,0,1
"10",48,0,1
"11",10,0,1
"12",8,0,1
"13",6,0,1
"14",5,0,1
"15",5,0,1
"16",11,0,1
"17",1,0,1
"18",5,0,1
"19",8,0,1
"20",4,0,1
"21",6,0,1
"22",6,0,1
"23",21,0,1
"24",4,0,1
"25",2,0,1
"26",10,0,1
"27",2,0,1
"28",0,0,1
"29",1,0,1
"30",19,0,1
"31",4,0,1
"32",0,0,1
"33",0,0,1
"34",1,0,1
"35",8,0,1
"36",0,0,1
"37",0,0,1
"38",13,0,1
"39",53,0,1
"40",11,0,1
"41",4,0,1
"42",0,0,1
"43",4,0,1
"44",0,0,1
"45",1,0,1
"46",7,0,1
"47",6,0,1
"48",1,0,1
"49",1,0,1
"50",3,0,1
"51",2,0,1
"52",2,0,1
"53",2,0,1
"54",1,0,1
"55",0,0,1
"56",1,0,1
"57",7,0,1
"58",0,0,1
"59",0,0,1
"60",6,0,1
"61",2,0,1
"62",5,0,1
"63",1,0,1
"64",8,0,1
"65",2,0,1
"66",0,0,1
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",2,0,1
"71",3,0,1
"72",4,0,1
"73",10,0,1
"74",12,0,1
"75",4,0,1
"76",0,0,1
"77",0,0,1
"78",9,0,1
"79",41,0,1
"80",5,0,1
"81",3,0,1
"82",4,0,1
"83",3,0,1
"84",2,0,1
"85",1,0,1
"86",2,0,1
"87",1,0,1
"88",1,0,1
"89",1,0,1
"90",1,0,1
"91",1,0,1
"92",1,0,1
"93",1,0,1
"94",0,0,1
"95",2,0,1
"96",4,0,1
"97",0,0,1
"98",3,0,1
"99",4,0,1
"100",1,0,1
"101",2,0,1
"102",0,0,1
"103",0,0,1
"104",0,0,1
"105",0,0,1
"106",28,0,1
"107",8,0,1
"108",51,0,1
"109",5,0,1
"110",3,0,1
"111",3,0,1
"112",0,0,1
"113",35,0,1
"114",17,0,1
"115",0,0,1
"116",26,0,1
"117",21,0,1
"118",14,0,1
"119",13,0,1
"120",2,0,1
"121",6,0,1
"122",5,0,1
"123",4,0,1
"124",12,0,1
"125",15,0,1
"126",9,0,1
"127",0,0,1
"128",4,0,1
"129",1,0,1
"130",6,0,1
"131",4,0,1
"132",3,0,1
"133",0,0,1
"134",9,0,1
"135",6,0,1
"136",0,0,1
"137",1,0,1
"138",0,0,1
"139",0,0,1
"140",0,0,1
"141",0,0,1
"142",1,0,1
"143",13,0,1
"144",9,0,1
"145",1,0,1
"146",0,0,1
"147",0,0,1
"148",1,0,1
"149",0,0,1
"150",11,0,1
"151",1,0,1
"152",5,0,1
"153",3,0,1
"154",1,0,1
"155",4,0,1
"156",3,0,1
"157",0,0,1
"158",0,0,1
"159",1,0,1
"160",0,0,1
"161",3,0,1
"162",0,0,1
"163",2,0,1
"164",0,0,1
"165",2,0,1
"166",4,0,1
"167",0,0,1
"168",0,0,1
"169",2,0,1
"170",0,0,1
"171",1,0,1
"172",0,0,1
"173",0,0,1
"174",0,0,1
"175",0,0,1
"176",28,0,1
"177",2,0,1
"178",130,0,1
"179",4,0,1
"180",0,0,1
