"","Loop_number","No_loop","Loop"
"1",11,0,1
"2",16,0,1
"3",13,0,1
"4",16,0,1
"5",0,0,1
"6",3,0,1
"7",13,0,1
"8",3,0,1
"9",0,0,1
"10",20,0,1
"11",1,0,1
"12",7,0,1
"13",6,0,1
"14",0,0,1
"15",6,0,1
"16",6,0,1
"17",3,0,1
"18",3,0,1
"19",8,0,1
"20",4,0,1
"21",2,0,1
"22",4,0,1
"23",11,0,1
"24",4,0,1
"25",2,0,1
"26",5,0,1
"27",2,0,1
"28",1,0,1
"29",3,0,1
"30",7,0,1
"31",3,0,1
"32",1,0,1
"33",1,0,1
"34",1,0,1
"35",3,0,1
"36",2,0,1
"37",0,0,1
"38",15,0,1
"39",18,0,1
"40",6,0,1
"41",4,0,1
"42",0,0,1
"43",2,0,1
"44",0,0,1
"45",0,0,1
"46",5,0,1
"47",2,0,1
"48",1,0,1
"49",1,0,1
"50",4,0,1
"51",2,0,1
"52",2,0,1
"53",2,0,1
"54",2,0,1
"55",1,0,1
"56",3,0,1
"57",4,0,1
"58",1,0,1
"59",0,0,1
"60",1,0,1
"61",2,0,1
"62",4,0,1
"63",2,0,1
"64",5,0,1
"65",2,0,1
"66",0,0,1
"67",0,0,1
"68",0,0,1
"69",1,0,1
"70",0,0,1
"71",0,0,1
"72",1,0,1
"73",9,0,1
"74",3,0,1
"75",5,0,1
"76",0,0,1
"77",0,0,1
"78",3,0,1
"79",20,0,1
"80",5,0,1
"81",3,0,1
"82",2,0,1
"83",1,0,1
"84",3,0,1
"85",2,0,1
"86",3,0,1
"87",2,0,1
"88",2,0,1
"89",2,0,1
"90",1,0,1
"91",2,0,1
"92",1,0,1
"93",0,0,1
"94",0,0,1
"95",2,0,1
"96",3,0,1
"97",0,0,1
"98",0,0,1
"99",1,0,1
"100",2,0,1
"101",0,0,1
"102",0,0,1
"103",0,0,1
"104",0,0,1
"105",0,0,1
"106",17,0,1
"107",1,0,1
"108",10,0,1
"109",6,0,1
"110",0,0,1
"111",6,0,1
"112",0,0,1
"113",10,0,1
"114",5,0,1
"115",3,0,1
"116",8,0,1
"117",8,0,1
"118",3,0,1
"119",6,0,1
"120",4,0,1
"121",4,0,1
"122",3,0,1
"123",5,0,1
"124",9,0,1
"125",6,0,1
"126",5,0,1
"127",0,0,1
"128",1,0,1
"129",1,0,1
"130",4,0,1
"131",4,0,1
"132",3,0,1
"133",0,0,1
"134",6,0,1
"135",4,0,1
"136",1,0,1
"137",1,0,1
"138",0,0,1
"139",1,0,1
"140",0,0,1
"141",0,0,1
"142",1,0,1
"143",13,0,1
"144",5,0,1
"145",1,0,1
"146",0,0,1
"147",0,0,1
"148",1,0,1
