"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",1,0,0,1,1,0,0,0,0
"2",1,0,0.648648648648648,0.351351351351351,0.108108108108108,0.162162162162162,0.378378378378378,0.351351351351351,0
"3",1,0,0.213740458015267,0.786259541984734,0.0534351145038168,0.137404580152672,0.290076335877863,0.519083969465649,0
"4",0,1,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0
"6",1,0,0,1,1,0,0,0,0
"7",0,1,0,0,0,0,0,0,0
"8",1,0,0,1,0.107142857142857,0.107142857142857,0.392857142857143,0.392857142857143,0
"9",1,0,0,1,0.0625,0.0625,0.4375,0.4375,0
"10",1,0,0,1,0.285714285714286,0.285714285714286,0.428571428571429,0,0
"11",0,1,0,0,0,0,0,0,0
"12",1,0,0,1,0.2,0.2,0,0.6,0
"13",1,0,0,1,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0
"14",1,0,0,0.999999999999998,0.074468085106383,0.170212765957447,0.297872340425532,0.457446808510638,0
"15",1,0,0.219101123595506,0.780898876404496,0.0337078651685393,0.0955056179775281,0.314606741573034,0.5561797752809,0
"16",1,0,0.318181818181818,0.681818181818182,0.136363636363636,0.181818181818182,0.318181818181818,0.363636363636364,0
"17",1,0,0,1,0.1,0.1,0.4,0.4,0
"18",0,1,0,0,0,0,0,0,0
"19",0,1,0,0,0,0,0,0,0
"20",1,0,0.263157894736842,0.736842105263157,0.0789473684210526,0.131578947368421,0.342105263157895,0.447368421052631,0
"21",0,1,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0
"23",1,0,0,1,0.1,0.1,0.4,0.4,0
"24",0,1,0,0,0,0,0,0,0
"25",0,1,0,0,0,0,0,0,0
"26",1,0,0,1,0.25,0.0625,0.25,0.4375,0
"27",1,0,0.3125,0.6875,0.3125,0.125,0.5625,0,0
"28",1,0,0,1,0.125,0.125,0.5,0.25,0
"29",1,0,0,1,0.166666666666667,0.0833333333333333,0.416666666666667,0.333333333333333,0
"30",1,0,0,1,0,0,1,0,0
"31",0,1,0,0,0,0,0,0,0
"32",1,0,0,1,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0
"33",1,0,0.444444444444444,0.555555555555556,0.444444444444444,0,0.555555555555556,0,0
"34",1,0,1,0,0.2,0.2,0.6,0,0
"35",0,1,0,0,0,0,0,0,0
"36",0,1,0,0,0,0,0,0,0
"37",1,0,0.032258064516129,0.96774193548387,0.032258064516129,0.0645161290322581,0.290322580645161,0.612903225806451,0
"38",1,0,0,1,0.166666666666667,0,0.277777777777778,0.555555555555556,0
"39",1,0,0,1,0.111111111111111,0.111111111111111,0.333333333333333,0.444444444444444,0
"40",1,0,0,1,0.113207547169811,0.264150943396226,0.245283018867925,0.377358490566038,0
"41",1,0,0,1,0.0454545454545455,0.0454545454545455,0.454545454545455,0.454545454545455,0
"42",0,1,0,0,0,0,0,0,0
"43",1,0,0,1,0.0357142857142857,0.107142857142857,0.285714285714286,0.571428571428571,0
"44",1,0,0,1,0.181818181818182,0,0.363636363636364,0.454545454545455,0
"45",0,1,0,0,0,0,0,0,0
"46",1,0,0,1,0.117647058823529,0.176470588235294,0.294117647058824,0.411764705882353,0
"47",0,1,0,0,0,0,0,0,0
"48",0,1,0,0,0,0,0,0,0
"49",0,1,0,0,0,0,0,0,0
"50",0,1,0,0,0,0,0,0,0
"51",1,0,0,1,0.0666666666666667,0.0666666666666667,0.333333333333333,0.533333333333333,0
"52",1,0,0.1,0.9,0.5,0.2,0.3,0,0
"53",1,0,0,1,0.166666666666667,0.166666666666667,0.5,0.166666666666667,0
"54",1,0,0,1,0.666666666666667,0,0.333333333333333,0,0
"55",1,0,1,0,0.333333333333333,0,0.666666666666667,0,0
"56",0,1,0,0,0,0,0,0,0
"57",0,1,0,0,0,0,0,0,0
"58",0,1,0,0,0,0,0,0,0
"59",1,0,0,1,1,0,0,0,0
"60",1,0,0,1,1,0,0,0,0
"61",0,1,0,0,0,0,0,0,0
"62",0,1,0,0,0,0,0,0,0
"63",1,0,0.183098591549296,0.816901408450702,0.028169014084507,0.0751173708920188,0.258215962441315,0.638497652582159,0
"64",1,0,0,0.999999999999998,0.0641025641025641,0.115384615384615,0.320512820512821,0.5,0
"65",1,0,0,0.999999999999998,0.0178571428571429,0.0773809523809524,0.273809523809524,0.63095238095238,0
"66",1,0,0.405797101449275,0.594202898550725,0.130434782608696,0.202898550724638,0.318840579710145,0.347826086956522,0
"67",1,0,0,0.999999999999999,0.0632911392405063,0.0759493670886076,0.405063291139241,0.455696202531646,0
"68",0,1,0,0,0,0,0,0,0
"69",0,1,0,0,0,0,0,0,0
"70",1,0,0,1,0.05,0.2,0.35,0.4,0
"71",1,0,0,1,0.166666666666667,0.5,0.166666666666667,0.166666666666667,0
