"","Loop_number","No_loop","Loop"
"1",13,0,1
"2",14,0,1
"3",12,0,1
"4",4,0,1
"5",6,0,1
"6",1,0,1
"7",10,0,1
"8",3,0,1
"9",3,0,1
"10",0,0,1
"11",2,0,1
"12",3,0,1
"13",1,0,1
"14",7,0,1
"15",3,0,1
"16",1,0,1
"17",0,0,1
"18",3,0,1
"19",0,0,1
"20",4,0,1
"21",1,0,1
"22",3,0,1
"23",10,0,1
"24",7,0,1
"25",17,0,1
"26",6,0,1
"27",7,0,1
"28",4,0,1
"29",6,0,1
"30",7,0,1
"31",6,0,1
"32",2,0,1
"33",7,0,1
"34",0,0,1
"35",10,0,1
"36",1,0,1
"37",1,0,1
"38",1,0,1
"39",3,0,1
"40",3,0,1
"41",1,0,1
"42",1,0,1
"43",1,0,1
"44",2,0,1
"45",2,0,1
"46",20,0,1
"47",21,0,1
"48",2,0,1
"49",3,0,1
"50",0,0,1
"51",2,0,1
"52",1,0,1
"53",3,0,1
"54",1,0,1
"55",22,0,1
"56",36,0,1
"57",25,0,1
"58",14,0,1
"59",5,0,1
"60",11,0,1
"61",0,0,1
"62",1,0,1
"63",1,0,1
"64",14,0,1
"65",5,0,1
"66",0,0,1
"67",11,0,1
"68",12,0,1
"69",16,0,1
"70",7,0,1
"71",7,0,1
"72",1,0,1
"73",6,0,1
"74",1,0,1
"75",8,0,1
"76",4,0,1
"77",9,0,1
"78",4,0,1
"79",5,0,1
"80",4,0,1
"81",1,0,1
"82",0,0,1
"83",0,0,1
"84",1,0,1
"85",1,0,1
"86",0,0,1
"87",0,0,1
"88",0,0,1
"89",15,0,1
"90",7,0,1
"91",1,0,1
"92",3,0,1
"93",0,0,1
"94",0,0,1
"95",3,0,1
"96",1,0,1
"97",2,0,1
"98",9,0,1
"99",8,0,1
"100",1,0,1
"101",6,0,1
"102",0,0,1
"103",3,0,1
"104",1,0,1
"105",0,0,1
"106",8,0,1
"107",5,0,1
"108",3,0,1
"109",13,0,1
"110",5,0,1
"111",5,0,1
"112",0,0,1
"113",4,0,1
"114",4,0,1
"115",6,0,1
"116",7,0,1
"117",4,0,1
"118",1,0,1
"119",0,0,1
"120",1,0,1
"121",2,0,1
"122",1,0,1
"123",1,0,1
"124",2,0,1
"125",1,0,1
"126",8,0,1
"127",0,0,1
"128",3,0,1
"129",1,0,1
"130",1,0,1
"131",2,0,1
"132",3,0,1
"133",0,0,1
"134",2,0,1
"135",1,0,1
"136",2,0,1
"137",4,0,1
"138",11,0,1
"139",1,0,1
"140",0,0,1
"141",4,0,1
"142",0,0,1
"143",2,0,1
"144",1,0,1
"145",3,0,1
"146",4,0,1
"147",1,0,1
"148",3,0,1
"149",13,0,1
"150",8,0,1
"151",3,0,1
"152",3,0,1
"153",3,0,1
"154",4,0,1
"155",1,0,1
"156",2,0,1
"157",0,0,1
"158",2,0,1
"159",14,0,1
"160",2,0,1
"161",1,0,1
"162",0,0,1
"163",3,0,1
"164",3,0,1
"165",2,0,1
"166",0,0,1
"167",0,0,1
"168",6,0,1
"169",0,0,1
"170",0,0,1
"171",7,0,1
"172",1,0,1
"173",1,0,1
"174",1,0,1
"175",0,0,1
"176",1,0,1
"177",3,0,1
"178",0,0,1
"179",2,0,1
"180",0,0,1
"181",0,0,1
"182",16,0,1
"183",14,0,1
"184",1,0,1
"185",5,0,1
"186",3,0,1
"187",5,0,1
"188",4,0,1
"189",4,0,1
"190",3,0,1
"191",0,0,1
"192",5,0,1
"193",11,0,1
"194",7,0,1
"195",3,0,1
"196",5,0,1
"197",0,0,1
"198",1,0,1
"199",0,0,1
"200",1,0,1
"201",3,0,1
"202",0,0,1
"203",0,0,1
"204",3,0,1
"205",0,0,1
"206",0,0,1
"207",2,0,1
"208",0,0,1
"209",2,0,1
"210",1,0,1
"211",9,0,1
"212",1,0,1
"213",4,0,1
"214",1,0,1
"215",3,0,1
"216",2,0,1
"217",8,0,1
"218",2,0,1
"219",2,0,1
"220",6,0,1
"221",2,0,1
"222",4,0,1
"223",4,0,1
"224",0,0,1
"225",6,0,1
"226",1,0,1
"227",22,0,1
"228",19,0,1
"229",12,0,1
"230",1,0,1
"231",0,0,1
"232",3,0,1
"233",6,0,1
"234",6,0,1
"235",4,0,1
"236",1,0,1
"237",5,0,1
"238",5,0,1
"239",5,0,1
"240",23,0,1
"241",5,0,1
"242",23,0,1
"243",4,0,1
"244",7,0,1
"245",5,0,1
"246",3,0,1
"247",3,0,1
"248",1,0,1
"249",8,0,1
"250",3,0,1
"251",0,0,1
"252",4,0,1
"253",0,0,1
"254",0,0,1
"255",1,0,1
"256",1,0,1
"257",1,0,1
"258",0,0,1
"259",1,0,1
"260",0,0,1
"261",0,0,1
"262",9,0,1
"263",32,0,1
"264",23,0,1
"265",11,0,1
"266",6,0,1
"267",5,0,1
"268",1,0,1
"269",5,0,1
"270",5,0,1
"271",2,0,1
"272",6,0,1
"273",2,0,1
"274",2,0,1
"275",2,0,1
"276",9,0,1
"277",0,0,1
"278",0,0,1
"279",2,0,1
"280",3,0,1
"281",1,0,1
"282",0,0,1
"283",0,0,1
"284",27,0,1
"285",12,0,1
"286",19,0,1
"287",5,0,1
"288",0,0,1
"289",9,0,1
"290",4,0,1
"291",6,0,1
"292",5,0,1
"293",8,0,1
"294",11,0,1
"295",12,0,1
"296",2,0,1
"297",4,0,1
"298",0,0,1
"299",2,0,1
"300",6,0,1
"301",0,0,1
"302",4,0,1
"303",0,0,1
"304",11,0,1
"305",1,0,1
"306",0,0,1
"307",0,0,1
"308",3,0,1
"309",0,0,1
"310",0,0,1
"311",0,0,1
"312",5,0,1
"313",10,0,1
"314",19,0,1
"315",8,0,1
"316",7,0,1
"317",8,0,1
"318",3,0,1
"319",7,0,1
"320",4,0,1
"321",1,0,1
"322",5,0,1
"323",3,0,1
"324",6,0,1
"325",0,0,1
"326",22,0,1
"327",3,0,1
"328",7,0,1
"329",1,0,1
"330",2,0,1
"331",0,0,1
"332",7,0,1
"333",4,0,1
"334",4,0,1
"335",2,0,1
"336",0,0,1
"337",13,0,1
"338",15,0,1
"339",0,0,1
"340",1,0,1
"341",2,0,1
"342",3,0,1
"343",2,0,1
"344",1,0,1
"345",0,0,1
"346",1,0,1
"347",2,0,1
"348",22,0,1
"349",12,0,1
"350",0,0,1
"351",1,0,1
"352",13,0,1
"353",6,0,1
"354",0,0,1
"355",1,0,1
"356",0,0,1
"357",3,0,1
"358",11,0,1
"359",22,0,1
"360",1,0,1
"361",5,0,1
"362",3,0,1
"363",3,0,1
"364",1,0,1
"365",3,0,1
"366",3,0,1
"367",3,0,1
"368",1,0,1
"369",10,0,1
"370",16,0,1
"371",1,0,1
"372",1,0,1
"373",0,0,1
"374",1,0,1
"375",1,0,1
"376",2,0,1
"377",2,0,1
"378",1,0,1
"379",13,0,1
"380",8,0,1
"381",1,0,1
"382",1,0,1
"383",2,0,1
"384",2,0,1
"385",2,0,1
"386",1,0,1
"387",0,0,1
"388",2,0,1
"389",5,0,1
"390",17,0,1
"391",7,0,1
"392",2,0,1
"393",1,0,1
"394",1,0,1
"395",0,0,1
"396",4,0,1
"397",3,0,1
"398",6,0,1
"399",0,0,1
"400",6,0,1
"401",1,0,1
"402",5,0,1
"403",20,0,1
"404",12,0,1
"405",3,0,1
"406",0,0,1
"407",2,0,1
"408",1,0,1
"409",0,0,1
"410",0,0,1
"411",4,0,1
"412",1,0,1
"413",5,0,1
"414",20,0,1
"415",2,0,1
"416",6,0,1
"417",0,0,1
"418",0,0,1
"419",2,0,1
"420",0,0,1
"421",1,0,1
"422",2,0,1
"423",0,0,1
"424",0,0,1
"425",9,0,1
"426",18,0,1
"427",19,0,1
"428",7,0,1
"429",2,0,1
"430",4,0,1
"431",4,0,1
"432",2,0,1
"433",4,0,1
"434",0,0,1
"435",6,0,1
"436",7,0,1
"437",32,0,1
"438",4,0,1
"439",8,0,1
"440",5,0,1
"441",1,0,1
"442",1,0,1
"443",4,0,1
"444",3,0,1
"445",1,0,1
"446",8,0,1
