"","Loop_number","No_loop","Loop"
"1",4,0,1
"2",1,0,1
"3",6,0,1
"4",0,0,1
"5",11,0,1
"6",7,0,1
"7",10,0,1
"8",0,0,1
"9",0,0,1
"10",2,0,1
"11",4,0,1
"12",4,0,1
"13",2,0,1
"14",25,0,1
"15",3,0,1
"16",2,0,1
"17",4,0,1
"18",4,0,1
"19",4,0,1
"20",1,0,1
"21",1,0,1
"22",6,0,1
"23",2,0,1
"24",4,0,1
"25",13,0,1
"26",5,0,1
"27",0,0,1
"28",11,0,1
"29",2,0,1
"30",1,0,1
"31",4,0,1
"32",4,0,1
"33",0,0,1
"34",2,0,1
"35",5,0,1
"36",1,0,1
"37",6,0,1
"38",2,0,1
"39",2,0,1
"40",4,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",0,0,1
"45",1,0,1
"46",2,0,1
"47",2,0,1
"48",0,0,1
"49",1,0,1
"50",1,0,1
"51",9,0,1
"52",1,0,1
"53",1,0,1
"54",1,0,1
"55",1,0,1
"56",18,0,1
"57",1,0,1
"58",3,0,1
"59",0,0,1
"60",8,0,1
"61",7,0,1
"62",5,0,1
"63",8,0,1
"64",3,0,1
"65",4,0,1
"66",9,0,1
"67",0,0,1
"68",4,0,1
"69",15,0,1
"70",0,0,1
"71",3,0,1
"72",2,0,1
"73",2,0,1
"74",3,0,1
"75",0,0,1
"76",0,0,1
"77",1,0,1
"78",5,0,1
"79",0,0,1
"80",2,0,1
"81",17,0,1
"82",5,0,1
"83",13,0,1
"84",12,0,1
"85",0,0,1
"86",8,0,1
"87",18,0,1
"88",1,0,1
"89",6,0,1
"90",3,0,1
