"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0.142857142857143,0.285714285714286,0.142857142857143,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,0,0,0,1,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0,0,0,0,0
"5",1,0,0,0.111111111111111,0.222222222222222,0,0,0.222222222222222,0.111111111111111,0,0.111111111111111,0.222222222222222,0
"6",1,0,0,0.166666666666667,0,0.166666666666667,0,0,0.166666666666667,0,0.5,0,0
"7",1,0,0,0.105263157894737,0.105263157894737,0.0526315789473684,0.263157894736842,0.0526315789473684,0.0526315789473684,0,0.315789473684211,0.0526315789473684,0
"8",1,0,0,0.25,0,0,0,0.25,0,0,0,0.5,0
"9",0,1,0,0,0,0,0,0,0,0,0,0,0
"10",1,0,0,0,0,0,0,0,0,0.5,0.5,0,0
"11",1,0,0,0.2,0,0,0,0.4,0,0.2,0,0.2,0
"12",1,0,0,0,0,0,0,0,0,0,1,0,0
"13",1,0,0,0,0,0,0,0,0,1,0,0,0
"14",1,0,0.0273972602739726,0.10958904109589,0.0410958904109589,0.0547945205479452,0.136986301369863,0.10958904109589,0.0958904109589041,0.150684931506849,0.123287671232877,0.150684931506849,0
"15",1,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0,0
"16",1,0,0,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"17",1,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0
"18",1,0,0,0,0,0,0,0,0,0,1,0,0
"19",1,0,0,0,0,0,0,0,0,1,0,0,0
"20",1,0,0,0,0,0,1,0,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0,0,0,0,0
"22",1,0,0.0714285714285714,0.285714285714286,0.214285714285714,0.0714285714285714,0.142857142857143,0,0,0.0714285714285714,0.142857142857143,0,0
"23",1,0,0.2,0.4,0,0,0,0,0,0.2,0,0.2,0
"24",0,1,0,0,0,0,0,0,0,0,0,0,0
"25",1,0,0.0625,0.375,0,0,0.0625,0,0.125,0.125,0.125,0.125,0
"26",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"27",0,1,0,0,0,0,0,0,0,0,0,0,0
"28",1,0,0,0.222222222222222,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0,0.333333333333333,0.111111111111111,0
"29",0,1,0,0,0,0,0,0,0,0,0,0,0
"30",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"31",1,0,0,0,0,0,0.5,0,0,0.5,0,0,0
"32",1,0,0,0,0,0,1,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0,0,0,0,0
"34",1,0,0,0,0,0,0,0,0,1,0,0,0
"35",1,0,0,0.1,0.05,0.05,0.1,0.1,0,0.2,0.2,0.2,0
"36",0,1,0,0,0,0,0,0,0,0,0,0,0
"37",1,0,0.142857142857143,0.285714285714286,0.142857142857143,0,0.142857142857143,0,0,0,0.285714285714286,0,0
"38",1,0,0,0,0,0,0,0,0,1,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0,0,0
"40",1,0,0,0,0,0.333333333333333,0.333333333333333,0,0.166666666666667,0,0.166666666666667,0,0
"41",0,1,0,0,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0,0,0,0,0
"44",0,1,0,0,0,0,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0,0,0,0,0
"47",1,0,0,0,0,0,1,0,0,0,0,0,0
"48",0,1,0,0,0,0,0,0,0,0,0,0,0
"49",0,1,0,0,0,0,0,0,0,0,0,0,0
"50",0,1,0,0,0,0,0,0,0,0,0,0,0
"51",1,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,0
"52",0,1,0,0,0,0,0,0,0,0,0,0,0
"53",1,0,0,0,0,0,1,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0,0,0,0,0
"55",0,1,0,0,0,0,0,0,0,0,0,0,0
"56",1,0,0.0227272727272727,0.113636363636364,0.0227272727272727,0.0454545454545455,0.25,0.0227272727272727,0.159090909090909,0.113636363636364,0.159090909090909,0.0909090909090909,0
"57",0,1,0,0,0,0,0,0,0,0,0,0,0
"58",0,1,0,0,0,0,0,0,0,0,0,0,0
"59",1,0,0,0,0,0,0,0,0,1,0,0,0
"60",1,0,0,0.0625,0.1875,0,0.125,0.125,0,0.0625,0.125,0.3125,0
"61",1,0,0,0.125,0,0,0.25,0,0.125,0,0.375,0.125,0
"62",1,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"63",1,0,0,0,0.1,0,0,0.1,0,0.5,0,0.3,0
"64",1,0,0,0,0,0,0,0,0,0,0,1,0
"65",1,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,0
"66",1,0,0.0833333333333333,0.166666666666667,0.166666666666667,0,0.0833333333333333,0,0.0833333333333333,0.166666666666667,0.166666666666667,0.0833333333333333,0
"67",1,0,0,0,0,0,0,0,0,0,1,0,0
"68",1,0,0,1,0,0,0,0,0,0,0,0,0
"69",1,0,0.115384615384615,0,0.0384615384615385,0.0769230769230769,0.230769230769231,0.0384615384615385,0.153846153846154,0.153846153846154,0.192307692307692,0,0
"70",0,1,0,0,0,0,0,0,0,0,0,0,0
"71",1,0,0,0,0,0,0.6,0.2,0,0.2,0,0,0
"72",1,0,0,0.2,0,0,0,0.2,0,0.2,0,0.4,0
"73",1,0,0,0,0,0,0,0,0,0,1,0,0
"74",1,0,0,0,0,0.25,0,0,0,0.25,0.5,0,0
"75",0,1,0,0,0,0,0,0,0,0,0,0,0
"76",0,1,0,0,0,0,0,0,0,0,0,0,0
"77",1,0,0,1,0,0,0,0,0,0,0,0,0
"78",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"79",0,1,0,0,0,0,0,0,0,0,0,0,0
"80",0,1,0,0,0,0,0,0,0,0,0,0,0
"81",1,0,0,0.195121951219512,0.146341463414634,0,0.0975609756097561,0.0731707317073171,0.024390243902439,0.146341463414634,0.146341463414634,0.170731707317073,0
"82",1,0,0,0,0,0,1,0,0,0,0,0,0
"83",1,0,0.05,0,0,0.2,0.15,0,0.15,0.1,0.3,0.05,0
"84",1,0,0,0.238095238095238,0.0476190476190476,0,0.0476190476190476,0.0476190476190476,0,0.285714285714286,0.0952380952380952,0.238095238095238,0
"85",0,1,0,0,0,0,0,0,0,0,0,0,0
"86",1,0,0,0.125,0,0.125,0.375,0,0.25,0,0.125,0,0
"87",1,0,0.0222222222222222,0.0888888888888889,0.0666666666666667,0,0.0666666666666667,0.155555555555556,0.0222222222222222,0.266666666666667,0.0888888888888889,0.222222222222222,0
"88",0,1,0,0,0,0,0,0,0,0,0,0,0
"89",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0
"90",1,0,0,0,0,0,0.5,0,0,0.5,0,0,0
