"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",0,1,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0
"6",1,0,1,0,0.333333333333333,0.5,0.166666666666667,0,0
"7",1,0,0.785714285714285,0.214285714285714,0.357142857142857,0.428571428571428,0.214285714285714,0,0
"8",0,1,0,0,0,0,0,0,0
"9",1,0,0,1,1,0,0,0,0
"10",0,1,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0
"12",1,0,0,1,0.25,0.25,0.25,0.25,0
"13",0,1,0,0,0,0,0,0,0
"14",1,0,0,1,0.111111111111111,0.111111111111111,0.222222222222222,0.555555555555556,0
"15",1,0,0,1,0,0.285714285714286,0.285714285714286,0.428571428571429,0
"16",0,1,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0
"18",1,0,1,0,0.25,0.5,0.25,0,0
"19",0,1,0,0,0,0,0,0,0
"20",1,0,0.5,0.5,1,0,0,0,0
"21",0,1,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,0,0,0
"24",0,1,0,0,0,0,0,0,0
"25",1,0,1,0,1,0,0,0,0
"26",0,1,0,0,0,0,0,0,0
"27",0,1,0,0,0,0,0,0,0
"28",1,0,1,0,1,0,0,0,0
"29",1,0,0,1,0.5,0.25,0,0.25,0
"30",1,0,0,1,0.5,0,0.5,0,0
"31",1,0,1,0,1,0,0,0,0
"32",1,0,0,1,0.5,0.5,0,0,0
"33",0,1,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0
"35",1,0,1,0,0.2,0,0.4,0.4,0
"36",0,1,0,0,0,0,0,0,0
"37",1,0,0.5,0.5,0.5,0.5,0,0,0
"38",0,1,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0
"40",1,0,0.75,0.25,1,0,0,0,0
"41",1,0,1,0,1,0,0,0,0
"42",0,1,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0
"44",0,1,0,0,0,0,0,0,0
"45",1,0,1,0,1,0,0,0,0
"46",0,1,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0
"48",0,1,0,0,0,0,0,0,0
"49",0,1,0,0,0,0,0,0,0
"50",0,1,0,0,0,0,0,0,0
"51",1,0,1,0,0.5,0.5,0,0,0
"52",0,1,0,0,0,0,0,0,0
"53",0,1,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0
"55",1,0,0,1,1,0,0,0,0
"56",1,0,0,0.999999999999999,0.0454545454545455,0.113636363636364,0.272727272727273,0.568181818181818,0
"57",1,0,0,1,1,0,0,0,0
"58",0,1,0,0,0,0,0,0,0
"59",1,0,0,1,0,1,0,0,0
"60",0,1,0,0,0,0,0,0,0
"61",0,1,0,0,0,0,0,0,0
"62",0,1,0,0,0,0,0,0,0
"63",1,0,0,1,0.0666666666666667,0.133333333333333,0.466666666666667,0.333333333333333,0
"64",1,0,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0
"65",1,0,0,1,0.5,0,0.5,0,0
"66",0,1,0,0,0,0,0,0,0
"67",1,0,0,1,1,0,0,0,0
"68",0,1,0,0,0,0,0,0,0
"69",1,0,0.5,0.5,0.5,0.5,0,0,0
"70",1,0,1,0,1,0,0,0,0
"71",0,1,0,0,0,0,0,0,0
"72",1,0,0.555555555555556,0.444444444444444,0.444444444444444,0.111111111111111,0.333333333333333,0.111111111111111,0
"73",1,0,1,0,1,0,0,0,0
"74",0,1,0,0,0,0,0,0,0
"75",0,1,0,0,0,0,0,0,0
"76",1,0,0,1,1,0,0,0,0
"77",0,1,0,0,0,0,0,0,0
"78",1,0,1,0,0.5,0.5,0,0,0
"79",0,1,0,0,0,0,0,0,0
"80",1,0,0,1,0.5,0.5,0,0,0
"81",1,0,0.999999999999999,0,0.0151515151515152,0.0909090909090909,0.257575757575757,0.636363636363636,0
"82",0,1,0,0,0,0,0,0,0
"83",0,1,0,0,0,0,0,0,0
"84",1,0,0,1,0.133333333333333,0.333333333333333,0.333333333333333,0.2,0
"85",0,1,0,0,0,0,0,0,0
"86",0,1,0,0,0,0,0,0,0
"87",1,0,1,0,0.0625,0.125,0.25,0.5625,0
"88",1,0,1,0,1,0,0,0,0
"89",1,0,0,1,0.5,0.5,0,0,0
"90",0,1,0,0,0,0,0,0,0
