"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1",1,0,0.25,0,0.25,0.25,0.25,0,0,0,0
"2",1,0,0,0,1,0,0,0,0,0,0
"3",1,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0,0,0.166666666666667,0
"4",0,1,0,0,0,0,0,0,0,0,0
"5",1,0,0.363636363636364,0,0.0909090909090909,0.181818181818182,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0
"6",1,0,0.285714285714286,0.142857142857143,0.428571428571429,0,0,0,0,0.142857142857143,0
"7",1,0,0.2,0.1,0.2,0,0.1,0.1,0,0.3,0
"8",0,1,0,0,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,0,0,0
"10",1,0,0.5,0,0.5,0,0,0,0,0,0
"11",1,0,0,0,0,0.5,0,0,0,0.5,0
"12",1,0,0,0.25,0.25,0.5,0,0,0,0,0
"13",1,0,0,0.5,0,0.5,0,0,0,0,0
"14",1,0,0.16,0.04,0.16,0.12,0.08,0.16,0.04,0.24,0
"15",1,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0
"16",1,0,0,0,0.5,0,0,0,0.5,0,0
"17",1,0,0,0.25,0,0,0.5,0,0.25,0,0
"18",1,0,0.25,0,0.25,0,0.25,0,0.25,0,0
"19",1,0,0.5,0,0,0,0.25,0,0,0.25,0
"20",1,0,0,0,0,0,0,1,0,0,0
"21",1,0,0,0,0,0,1,0,0,0,0
"22",1,0,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0
"23",1,0,0,0.5,0,0.5,0,0,0,0,0
"24",1,0,0,0.5,0,0.25,0,0.25,0,0,0
"25",1,0,0.230769230769231,0.153846153846154,0.153846153846154,0.0769230769230769,0,0,0.153846153846154,0.230769230769231,0
"26",1,0,0,0.2,0.4,0,0,0.2,0.2,0,0
"27",0,1,0,0,0,0,0,0,0,0,0
"28",1,0,0.272727272727273,0.0909090909090909,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0
"29",1,0,0,0.5,0.5,0,0,0,0,0,0
"30",1,0,0,0,0,0,0,1,0,0,0
"31",1,0,0.25,0,0,0.25,0,0.25,0.25,0,0
"32",1,0,0,0,0.25,0.5,0,0.25,0,0,0
"33",0,1,0,0,0,0,0,0,0,0,0
"34",1,0,0.5,0,0,0,0,0,0,0.5,0
"35",1,0,0,0,0,0.2,0.2,0.2,0.4,0,0
"36",1,0,0,1,0,0,0,0,0,0,0
"37",1,0,0,0,0.166666666666667,0.166666666666667,0,0.333333333333333,0,0.333333333333333,0
"38",1,0,0,0,0,0,0.5,0,0.5,0,0
"39",1,0,0,0,0,0,0.5,0,0,0.5,0
"40",1,0,0,0,0.25,0.25,0,0.5,0,0,0
"41",0,1,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0,0,0
"44",0,1,0,0,0,0,0,0,0,0,0
"45",1,0,0,0,0,0,1,0,0,0,0
"46",1,0,0,0,0,0.5,0,0,0.5,0,0
"47",1,0,0,0,0.5,0,0.5,0,0,0,0
"48",0,1,0,0,0,0,0,0,0,0,0
"49",1,0,0,1,0,0,0,0,0,0,0
"50",1,0,0,0,0,0,0,0,1,0,0
"51",1,0,0,0.333333333333333,0.222222222222222,0.111111111111111,0.222222222222222,0,0,0.111111111111111,0
"52",1,0,0,1,0,0,0,0,0,0,0
"53",1,0,0,1,0,0,0,0,0,0,0
"54",1,0,0,0,0,0,0,1,0,0,0
"55",1,0,0,0,0,0,0,0,0,1,0
"56",1,0,0.111111111111111,0.111111111111111,0.111111111111111,0.166666666666667,0.0555555555555556,0.222222222222222,0.0555555555555556,0.166666666666667,0
"57",1,0,0,0,0,1,0,0,0,0,0
"58",1,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0
"59",0,1,0,0,0,0,0,0,0,0,0
"60",1,0,0.375,0,0,0,0.125,0.125,0,0.375,0
"61",1,0,0.142857142857143,0,0.428571428571429,0.142857142857143,0,0.142857142857143,0.142857142857143,0,0
"62",1,0,0,0.4,0.4,0,0,0,0.2,0,0
"63",1,0,0.375,0.125,0,0.25,0,0,0.125,0.125,0
"64",1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0
"65",1,0,0.25,0,0,0.25,0.25,0,0,0.25,0
"66",1,0,0,0.111111111111111,0.111111111111111,0.333333333333333,0,0.111111111111111,0.222222222222222,0.111111111111111,0
"67",0,1,0,0,0,0,0,0,0,0,0
"68",1,0,0.25,0,0,0.25,0.25,0,0.25,0,0
"69",1,0,0,0.0666666666666667,0.133333333333333,0.133333333333333,0.0666666666666667,0.2,0.266666666666667,0.133333333333333,0
"70",0,1,0,0,0,0,0,0,0,0,0
"71",1,0,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"72",1,0,0,0,0,0.5,0,0,0.5,0,0
"73",1,0,0,0,0,1,0,0,0,0,0
"74",1,0,0,0.333333333333333,0,0.666666666666667,0,0,0,0,0
"75",0,1,0,0,0,0,0,0,0,0,0
"76",0,1,0,0,0,0,0,0,0,0,0
"77",1,0,0,0,0,0,0,0,1,0,0
"78",1,0,0.2,0.2,0.2,0,0.2,0,0,0.2,0
"79",0,1,0,0,0,0,0,0,0,0,0
"80",1,0,0,0,0,0,0,0.5,0,0.5,0
"81",1,0,0.235294117647059,0.117647058823529,0.117647058823529,0.117647058823529,0.0588235294117647,0.0588235294117647,0.117647058823529,0.176470588235294,0
"82",1,0,0.4,0.2,0.2,0,0,0,0.2,0,0
"83",1,0,0,0.153846153846154,0.307692307692308,0,0.0769230769230769,0.230769230769231,0.153846153846154,0.0769230769230769,0
"84",1,0,0.166666666666667,0.166666666666667,0.166666666666667,0.25,0,0,0.0833333333333333,0.166666666666667,0
"85",0,1,0,0,0,0,0,0,0,0,0
"86",1,0,0,0,0.5,0,0.125,0,0.25,0.125,0
"87",1,0,0.222222222222222,0,0.0555555555555556,0.222222222222222,0.166666666666667,0,0.111111111111111,0.222222222222222,0
"88",1,0,0,0,0,0,0,0,0,1,0
