"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0.365853658536585,0.170731707317073,0.024390243902439,0.0975609756097561,0,0,0.121951219512195,0,0.219512195121951,0,0
"2",1,0,0.441176470588235,0.117647058823529,0,0.176470588235294,0,0,0.235294117647059,0,0.0294117647058824,0,0
"3",1,0,0.833333333333334,0,0,0,0.0555555555555556,0,0.111111111111111,0,0,0,0
"4",1,0,0.833333333333333,0,0,0,0,0,0.166666666666667,0,0,0,0
"5",1,0,0.75,0,0,0,0,0,0.25,0,0,0,0
"6",0,1,0,0,0,0,0,0,0,0,0,0,0
"7",1,0,0.733333333333333,0,0,0,0,0,0.266666666666667,0,0,0,0
"8",1,0,0.375,0,0,0,0,0,0.625,0,0,0,0
"9",1,0,0,0.666666666666667,0.166666666666667,0,0,0,0,0,0.166666666666667,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",1,0,1,0,0,0,0,0,0,0,0,0,0
"12",1,0,0.75,0,0,0,0,0,0.25,0,0,0,0
"13",1,0,0.72,0.16,0,0,0,0,0,0.12,0,0,0
"14",1,0,0.352941176470588,0.529411764705882,0.0588235294117647,0,0,0,0,0.0588235294117647,0,0,0
"15",1,0,1,0,0,0,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0,0,0,0,0
"18",1,0,1,0,0,0,0,0,0,0,0,0,0
"19",1,0,1,0,0,0,0,0,0,0,0,0,0
"20",1,0,1,0,0,0,0,0,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0,0,0,0,0
"22",1,0,1,0,0,0,0,0,0,0,0,0,0
"23",1,0,1,0,0,0,0,0,0,0,0,0,0
"24",1,0,0.592592592592593,0.222222222222222,0,0,0,0,0.148148148148148,0,0.037037037037037,0,0
"25",1,0,0.37037037037037,0.407407407407407,0.037037037037037,0.037037037037037,0,0,0,0.0740740740740741,0.0740740740740741,0,0
"26",1,0,1,0,0,0,0,0,0,0,0,0,0
"27",1,0,1,0,0,0,0,0,0,0,0,0,0
"28",1,0,1,0,0,0,0,0,0,0,0,0,0
"29",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"30",1,0,1,0,0,0,0,0,0,0,0,0,0
"31",1,0,1,0,0,0,0,0,0,0,0,0,0
