"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",1,0,0,1,0.0576923076923077,0.173076923076923,0.288461538461538,0.480769230769231,0
"2",1,0,0,0.999999999999998,0.0641025641025641,0.115384615384615,0.282051282051282,0.538461538461539,0
"3",1,0,0,1,0.1,0.2,0.3,0.4,0
"4",0,1,0,0,0,0,0,0,0
"5",1,0,0.8,0.2,0.4,0,0.4,0.2,0
"6",1,0,0,1,0.0769230769230769,0.153846153846154,0.538461538461539,0.230769230769231,0
"7",1,0,0.288135593220339,0.711864406779661,0.0677966101694915,0.11864406779661,0.305084745762712,0.508474576271187,0
"8",0,1,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0
"12",1,0,0,1,0.285714285714286,0.285714285714286,0.428571428571429,0,0
"13",1,0,0,1,0.111111111111111,0.194444444444444,0.0833333333333333,0.611111111111111,0
"14",1,0,0,1,0.1,0.1,0.55,0.25,0
"15",1,0,0,1,1,0,0,0,0
"16",0,1,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0
"18",1,0,0,1,0.181818181818182,0.181818181818182,0.272727272727273,0.363636363636364,0
"19",0,1,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0
"22",1,0,0,1,0.25,0.5,0,0.25,0
"23",1,0,0,1,0.0444444444444444,0.133333333333333,0.333333333333333,0.488888888888889,0
"24",1,0,0,1,0.125,0.1875,0.34375,0.34375,0
"25",1,0,0.135135135135135,0.864864864864864,0.108108108108108,0.162162162162162,0.432432432432432,0.297297297297297,0
"26",0,1,0,0,0,0,0,0,0
"27",0,1,0,0,0,0,0,0,0
"28",1,0,0,1,0.125,0.125,0.25,0.5,0
"29",0,1,0,0,0,0,0,0,0
"30",1,0,0,1,0.125,0.125,0.375,0.375,0
"31",1,0,0,1,0.117647058823529,0.117647058823529,0.411764705882353,0.352941176470588,0
"32",0,1,0,0,0,0,0,0,0
"33",1,0,0,1,0.1,0.1,0.4,0.4,0
"34",0,1,0,0,0,0,0,0,0
"35",1,0,0.166666666666667,0.833333333333333,0.833333333333333,0.166666666666667,0,0,0
"36",0,1,0,0,0,0,0,0,0
"37",1,0,0,1,1,0,0,0,0
"38",0,1,0,0,0,0,0,0,0
"39",1,0,0,1,0.428571428571429,0.285714285714286,0.285714285714286,0,0
"40",1,0,0,1,0.5,0,0.5,0,0
"41",0,1,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0
