"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","idnO",0,1,0,0,0,0,0,0,0
"2","idnD",0,1,0,0,0,0,0,0,0
"3","idnK",0,1,0,0,0,0,0,0,0
"4","idnR",0,1,0,0,0,0,0,0,0
"5","gntU",0,1,0,0,0,0,0,0,0
"6","cspG",0,1,0,0,0,0,0,0,0
"7","gntK",0,1,0,0,0,0,0,0,0
"8","yjgR",0,1,0,0,0,0,0,0,0
"9","yjjZ",0,1,0,0,0,0,0,0,0
"10","flhC",1,0,0,1,0.125,0.125,0.125,0.625,0
"11","alr",0,1,0,0,0,0,0,0,0
"12","glpF",0,1,0,0,0,0,0,0,0
"13","yddH",0,1,0,0,0,0,0,0,0
"14","cspA",1,0,0,1,0.2,0,0.2,0.6,0
"15","glpT",0,1,0,0,0,0,0,0,0
"16","codA",0,1,0,0,0,0,0,0,0
"17","flhD",1,0,0,1,0.125,0.125,0.125,0.625,0
"18","metQ",0,1,0,0,0,0,0,0,0
"19","mcrB",0,1,0,0,0,0,0,0,0
"20","garR",0,1,0,0,0,0,0,0,0
"21","metI",0,1,0,0,0,0,0,0,0
"22","malZ",0,1,0,0,0,0,0,0,0
"23","ykgM",0,1,0,0,0,0,0,0,0
"24","kdgK",0,1,0,0,0,0,0,0,0
"25","zraP",0,1,0,0,0,0,0,0,0
"26","pspC",0,1,0,0,0,0,0,0,0
"27","pspD",0,1,0,0,0,0,0,0,0
"28","pspA",0,1,0,0,0,0,0,0,0
"29","pspB",0,1,0,0,0,0,0,0,0
"30","yjiN",0,1,0,0,0,0,0,0,0
"31","zwf",0,1,0,0,0,0,0,0,0
"32","dapE",0,1,0,0,0,0,0,0,0
"33","secE",0,1,0,0,0,0,0,0,0
"34","yebK",0,1,0,0,0,0,0,0,0
"35","ompX",0,1,0,0,0,0,0,0,0
"36","fabH",0,1,0,0,0,0,0,0,0
"37","yifK",0,1,0,0,0,0,0,0,0
"38","uup",0,1,0,0,0,0,0,0,0
"39","pyrH",0,1,0,0,0,0,0,0,0
"40","argI",0,1,0,0,0,0,0,0,0
"41","speE",0,1,0,0,0,0,0,0,0
"42","rplU",0,1,0,0,0,0,0,0,0
"43","rplY",0,1,0,0,0,0,0,0,0
"44","ldrD",0,1,0,0,0,0,0,0,0
"45","yegD",0,1,0,0,0,0,0,0,0
"46","yddJ",0,1,0,0,0,0,0,0,0
"47","caiT",0,1,0,0,0,0,0,0,0
"48","alaS",0,1,0,0,0,0,0,0,0
"49","nusG",0,1,0,0,0,0,0,0,0
"50","dnaB",0,1,0,0,0,0,0,0,0
"51","era",0,1,0,0,0,0,0,0,0
"52","rplL",0,1,0,0,0,0,0,0,0
"53","plsX",0,1,0,0,0,0,0,0,0
"54","lyxK",0,1,0,0,0,0,0,0,0
"55","yceD",0,1,0,0,0,0,0,0,0
"56","nadR",0,1,0,0,0,0,0,0,0
"57","rep",0,1,0,0,0,0,0,0,0
"58","rplJ",0,1,0,0,0,0,0,0,0
"59","yiaK",0,1,0,0,0,0,0,0,0
"60","glpD",0,1,0,0,0,0,0,0,0
"61","pabB",0,1,0,0,0,0,0,0,0
"62","gudP",0,1,0,0,0,0,0,0,0
"63","malI",0,1,0,0,0,0,0,0,0
"64","serB",0,1,0,0,0,0,0,0,0
"65","trmD",0,1,0,0,0,0,0,0,0
"66","yhiN",0,1,0,0,0,0,0,0,0
"67","rpsN",0,1,0,0,0,0,0,0,0
"68","rpmB",0,1,0,0,0,0,0,0,0
"69","rplN",0,1,0,0,0,0,0,0,0
"70","mreD",0,1,0,0,0,0,0,0,0
"71","sgbU",0,1,0,0,0,0,0,0,0
"72","tyrS",0,1,0,0,0,0,0,0,0
"73","modF",0,1,0,0,0,0,0,0,0
"74","coaE",0,1,0,0,0,0,0,0,0
"75","inaA",0,1,0,0,0,0,0,0,0
"76","rpmH",0,1,0,0,0,0,0,0,0
"77","cytR",1,0,1,0,0,1,0,0,0
"78","potA",0,1,0,0,0,0,0,0,0
"79","deaD",1,0,0,1,0,0,0,1,0
"80","rplE",0,1,0,0,0,0,0,0,0
"81","pyrE",0,1,0,0,0,0,0,0,0
"82","sgbE",0,1,0,0,0,0,0,0,0
"83","rpsS",0,1,0,0,0,0,0,0,0
"84","aroL",0,1,0,0,0,0,0,0,0
"85","rph",0,1,0,0,0,0,0,0,0
"86","rplS",0,1,0,0,0,0,0,0,0
"87","speB",0,1,0,0,0,0,0,0,0
"88","cobT",0,1,0,0,0,0,0,0,0
"89","stpA",1,0,1,0,0,0,0.666666666666667,0.333333333333333,0
"90","copA",0,1,0,0,0,0,0,0,0
"91","proQ",0,1,0,0,0,0,0,0,0
"92","thiI",0,1,0,0,0,0,0,0,0
"93","guaB",0,1,0,0,0,0,0,0,0
"94","tdcG",0,1,0,0,0,0,0,0,0
"95","upp",0,1,0,0,0,0,0,0,0
"96","cueO",0,1,0,0,0,0,0,0,0
"97","rplA",0,1,0,0,0,0,0,0,0
"98","rpsA",1,0,0,1,0,0,0.2,0.8,0
"99","lamB",0,1,0,0,0,0,0,0,0
"100","rluA",0,1,0,0,0,0,0,0,0
"101","rpsO",0,1,0,0,0,0,0,0,0
"102","pcnB",0,1,0,0,0,0,0,0,0
"103","ldrA",0,1,0,0,0,0,0,0,0
"104","hokD",0,1,0,0,0,0,0,0,0
"105","rhlE",0,1,0,0,0,0,0,0,0
"106","yhbE",0,1,0,0,0,0,0,0,0
"107","rplM",0,1,0,0,0,0,0,0,0
"108","rplD",0,1,0,0,0,0,0,0,0
