"","V1","FBL_number","No_FBL","FBL"
"1","cfa",0,0,1
"2","yeaQ",0,0,1
"3","ompC",0,0,1
"4","arnB",0,0,1
"5","arnC",0,0,1
"6","slp",0,0,1
"7","hdeB",0,0,1
"8","hdeD",0,0,1
"9","osmY",0,0,1
"10","cbpA",0,0,1
"11","hdeA",0,0,1
"12","yahO",0,0,1
"13","yccJ",0,0,1
"14","asr",0,0,1
"15","ydiZ",0,0,1
"16","yebV",0,0,1
"17","yhiM",0,0,1
"18","wrbA",0,0,1
"19","ghxQ",0,0,1
"20","wzzE",0,0,1
"21","glsA",0,0,1
"22","ycaC",0,0,1
"23","gadB",0,0,1
"24","gadA",0,0,1
"25","gadE",69,0,1
"26","gadX",110,0,1
"27","yiaG",0,0,1
"28","dps",0,0,1
"29","ybaT",0,0,1
"30","gadW",18,0,1
