"","V1","Loop_number","No_loop","Loop"
"1","cfa",5,0,1
"2","yeaQ",0,0,1
"3","ompC",12,0,1
"4","arnB",0,0,1
"5","arnC",0,0,1
"6","slp",21,0,1
"7","hdeB",18,0,1
"8","hdeD",20,0,1
"9","osmY",20,0,1
"10","cbpA",4,0,1
"11","hdeA",18,0,1
"12","yahO",0,0,1
"13","yccJ",1,0,1
"14","asr",3,0,1
"15","ydiZ",0,0,1
"16","yebV",0,0,1
"17","yhiM",5,0,1
"18","wrbA",1,0,1
"19","ghxQ",0,0,1
"20","wzzE",0,0,1
"21","glsA",3,0,1
"22","ycaC",1,0,1
"23","gadB",33,0,1
"24","gadA",29,0,1
"25","gadE",32,0,1
"26","gadX",23,0,1
"27","yiaG",0,0,1
"28","dps",14,0,1
"29","ybaT",2,0,1
"30","gadW",11,0,1
