"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1","aceK",1,0,0,0.166666666666667,0,0,0,0.333333333333333,0,0.5,0
"2","acnA",1,0,0,0.470588235294118,0.117647058823529,0,0.0588235294117647,0.235294117647059,0,0.117647058823529,0
"3","add",1,0,0,1,0,0,0,0,0,0,0
"4","ahpF",1,0,0,0.75,0,0,0,0,0,0.25,0
"5","alaT",1,0,0,0.428571428571429,0.285714285714286,0,0,0,0,0.285714285714286,0
"6","alaU",1,0,0,0.428571428571429,0.285714285714286,0,0,0,0,0.285714285714286,0
"7","aroA",1,0,0,0,0,0,0,0,0,1,0
"8","aroH",1,0,0,0,0,0,0,0,0,1,0
"9","aroP",1,0,0,0.5,0,0,0,0,0,0.5,0
"10","bcsE",0,1,0,0,0,0,0,0,0,0,0
"11","cyaA",1,0,0,0,0,0,0,0,0,1,0
"12","cyoB",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.166666666666667,0.333333333333333,0
"13","dadA",0,1,0,0,0,0,0,0,0,0,0
"14","dadX",1,0,0,0,0,0,0,0,0,1,0
"15","acrR",1,0,0,1,0,0,0,0,0,0,0
"16","alx",0,1,0,0,0,0,0,0,0,0,0
"17","atpH",1,0,0,0,0,0,0,0,0,1,0
"18","bax",0,1,0,0,0,0,0,0,0,0,0
"19","bioB",0,1,0,0,0,0,0,0,0,0,0
"20","borD",1,0,0,0,0.5,0,0,0,0,0.5,0
"21","btuB",1,0,0,0,0,0,0,0,0,1,0
"22","cirA",1,0,0,0.25,0.125,0.25,0,0,0,0.375,0
"23","cpxA",1,0,0,0.5,0.166666666666667,0,0,0,0,0.333333333333333,0
"24","cpxR",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"25","dcuR",1,0,0,0.5,0,0.25,0,0,0,0.25,0
"26","artM",1,0,0,0.5,0,0,0,0,0,0.5,0
"27","asnA",1,0,0,0.285714285714286,0.428571428571429,0,0,0,0,0.285714285714286,0
"28","aspA",1,0,0,0.625,0.125,0.125,0,0,0,0.125,0
"29","atpA",1,0,0,0,0,0,0,0,0,1,0
"30","atpB",1,0,0,1,0,0,0,0,0,0,0
"31","atpC",0,1,0,0,0,0,0,0,0,0,0
"32","atpD",0,1,0,0,0,0,0,0,0,0,0
"33","atpE",0,1,0,0,0,0,0,0,0,0,0
"34","atpF",0,1,0,0,0,0,0,0,0,0,0
"35","atpG",0,1,0,0,0,0,0,0,0,0,0
"36","atpI",1,0,0,1,0,0,0,0,0,0,0
"37","aer",0,1,0,0,0,0,0,0,0,0,0
"38","cca",0,1,0,0,0,0,0,0,0,0,0
"39","cdd",1,0,0,0,0,0,0,0,0,1,0
"40","cheA",0,1,0,0,0,0,0,0,0,0,0
"41","cheB",0,1,0,0,0,0,0,0,0,0,0
"42","cheR",0,1,0,0,0,0,0,0,0,0,0
"43","cheW",0,1,0,0,0,0,0,0,0,0,0
"44","cheY",0,1,0,0,0,0,0,0,0,0,0
"45","cheZ",0,1,0,0,0,0,0,0,0,0,0
"46","clpB",1,0,0,1,0,0,0,0,0,0,0
"47","clpX",1,0,0,1,0,0,0,0,0,0,0
"48","deoA",1,0,0,0.5,0,0,0,0,0,0.5,0
"49","deoB",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"50","deoC",1,0,0,0.5,0,0,0,0,0,0.5,0
"51","deoD",1,0,0,0.5,0,0,0,0,0,0.5,0
"52","dapB",0,1,0,0,0,0,0,0,0,0,0
"53","dcyD",0,1,0,0,0,0,0,0,0,0,0
"54","dhaM",1,0,0,1,0,0,0,0,0,0,0
"55","dhaK",1,0,0.25,0.25,0,0,0.25,0,0.25,0,0
"56","edd",1,0,0,0.5,0,0,0,0,0,0.5,0
"57","eno",1,0,0,1,0,0,0,0,0,0,0
"58","fdoG",0,1,0,0,0,0,0,0,0,0,0
"59","fimA",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"60","fimC",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"61","fimI",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"62","flgH",1,0,0,1,0,0,0,0,0,0,0
"63","flhA",1,0,0,1,0,0,0,0,0,0,0
"64","flhE",1,0,0,1,0,0,0,0,0,0,0
"65","fliP",1,0,0,1,0,0,0,0,0,0,0
"66","fliQ",1,0,0,1,0,0,0,0,0,0,0
"67","fliR",1,0,0,1,0,0,0,0,0,0,0
"68","fumA",1,0,0,0.333333333333333,0,0,0.166666666666667,0,0,0.5,0
"69","gapC",0,1,0,0,0,0,0,0,0,0,0
"70","dcuS",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333,0
"71","dppC",1,0,0,0.222222222222222,0,0.111111111111111,0,0.222222222222222,0,0.444444444444444,0
"72","dusA",0,1,0,0,0,0,0,0,0,0,0
"73","eco",0,1,0,0,0,0,0,0,0,0,0
"74","fdhD",0,1,0,0,0,0,0,0,0,0,0
"75","fhuD",1,0,0,0,0,0,0,0,0,1,0
"76","folP",0,1,0,0,0,0,0,0,0,0,0
"77","frdA",1,0,0,0.5,0.125,0.125,0,0,0,0.25,0
"78","frdC",1,0,0,0.571428571428571,0.142857142857143,0.142857142857143,0,0,0,0.142857142857143,0
"79","ftnB",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"80","fucI",1,0,0,0.6,0,0.2,0,0,0,0.2,0
"81","gcvH",1,0,0,0.75,0,0,0,0,0,0.25,0
"82","carA",1,0,0,0.5,0,0,0,0,0,0.5,0
"83","coaA",0,1,0,0,0,0,0,0,0,0,0
"84","codB",1,0,0,0,0,0,0,0,0,1,0
"85","cspD",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"86","cvpA",1,0,0,0,0,0,0,0,0,1,0
"87","cydA",1,0,0,0.5,0,0,0,0,0,0.5,0
"88","cydB",1,0,0,0.5,0,0,0,0,0,0.5,0
