"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","cfa",0,1,0,0,0,0,0,0,0
"2","yeaQ",0,1,0,0,0,0,0,0,0
"3","ompC",0,1,0,0,0,0,0,0,0
"4","slp",0,1,0,0,0,0,0,0,0
"5","hdeB",0,1,0,0,0,0,0,0,0
"6","hdeD",0,1,0,0,0,0,0,0,0
"7","osmY",0,1,0,0,0,0,0,0,0
"8","cbpA",0,1,0,0,0,0,0,0,0
"9","hdeA",0,1,0,0,0,0,0,0,0
"10","yahO",0,1,0,0,0,0,0,0,0
"11","yccJ",0,1,0,0,0,0,0,0,0
"12","asr",0,1,0,0,0,0,0,0,0
"13","ydiZ",0,1,0,0,0,0,0,0,0
"14","yebV",0,1,0,0,0,0,0,0,0
"15","yhiM",0,1,0,0,0,0,0,0,0
"16","wrbA",0,1,0,0,0,0,0,0,0
"17","ycaC",0,1,0,0,0,0,0,0,0
"18","gadB",0,1,0,0,0,0,0,0,0
"19","gadA",0,1,0,0,0,0,0,0,0
"20","yiaG",0,1,0,0,0,0,0,0,0
"21","dps",0,1,0,0,0,0,0,0,0
"22","ybaT",0,1,0,0,0,0,0,0,0
"23","aceK",0,1,0,0,0,0,0,0,0
"24","acnA",0,1,0,0,0,0,0,0,0
"25","add",0,1,0,0,0,0,0,0,0
"26","ahpF",0,1,0,0,0,0,0,0,0
"27","alaT",0,1,0,0,0,0,0,0,0
"28","alaU",0,1,0,0,0,0,0,0,0
"29","aroA",0,1,0,0,0,0,0,0,0
"30","aroH",0,1,0,0,0,0,0,0,0
"31","aroP",0,1,0,0,0,0,0,0,0
"32","bcsE",0,1,0,0,0,0,0,0,0
"33","cyaA",0,1,0,0,0,0,0,0,0
"34","cyoB",0,1,0,0,0,0,0,0,0
"35","dadA",0,1,0,0,0,0,0,0,0
"36","dadX",0,1,0,0,0,0,0,0,0
"37","acrR",1,0,1,0,0,0,0,1,0
"38","atpH",0,1,0,0,0,0,0,0,0
"39","bax",0,1,0,0,0,0,0,0,0
"40","bioB",0,1,0,0,0,0,0,0,0
"41","borD",0,1,0,0,0,0,0,0,0
"42","btuB",0,1,0,0,0,0,0,0,0
"43","cirA",0,1,0,0,0,0,0,0,0
"44","cpxA",0,1,0,0,0,0,0,0,0
"45","cpxR",1,0,0.486486486486486,0.513513513513513,0,0.0675675675675676,0.148648648648649,0.783783783783783,0
"46","dcuR",0,1,0,0,0,0,0,0,0
"47","artM",0,1,0,0,0,0,0,0,0
"48","asnA",0,1,0,0,0,0,0,0,0
"49","aspA",0,1,0,0,0,0,0,0,0
"50","atpA",0,1,0,0,0,0,0,0,0
"51","atpB",0,1,0,0,0,0,0,0,0
"52","atpC",0,1,0,0,0,0,0,0,0
"53","atpD",0,1,0,0,0,0,0,0,0
"54","atpE",0,1,0,0,0,0,0,0,0
"55","atpF",0,1,0,0,0,0,0,0,0
"56","atpG",0,1,0,0,0,0,0,0,0
"57","atpI",0,1,0,0,0,0,0,0,0
"58","aer",0,1,0,0,0,0,0,0,0
"59","cca",0,1,0,0,0,0,0,0,0
"60","cdd",0,1,0,0,0,0,0,0,0
"61","cheA",0,1,0,0,0,0,0,0,0
"62","cheB",0,1,0,0,0,0,0,0,0
"63","cheR",0,1,0,0,0,0,0,0,0
