"","V1","Loop_number","No_loop","Loop"
"1","cfa",8,0,1
"2","yeaQ",0,0,1
"4","slp",57,0,1
"5","hdeB",51,0,1
"6","hdeD",41,0,1
"7","osmY",44,0,1
"8","cbpA",8,0,1
"9","hdeA",51,0,1
"10","yahO",0,0,1
"11","yccJ",4,0,1
"12","asr",7,0,1
"13","ydiZ",0,0,1
"14","yebV",0,0,1
"15","yhiM",23,0,1
"16","wrbA",5,0,1
"17","ycaC",1,0,1
"18","gadB",87,0,1
"19","gadA",56,0,1
"20","yiaG",2,0,1
"21","dps",34,0,1
"22","ybaT",3,0,1
"23","aceK",8,0,1
"24","acnA",26,0,1
"25","add",0,0,1
"26","ahpF",6,0,1
"27","alaT",10,0,1
"28","alaU",7,0,1
"29","aroA",0,0,1
"30","aroH",0,0,1
"31","aroP",12,0,1
"34","cyoB",41,0,1
"35","dadA",0,0,1
"36","dadX",0,0,1
"38","atpH",0,0,1
"39","bax",0,0,1
"40","bioB",0,0,1
"41","borD",1,0,1
"42","btuB",0,0,1
"43","cirA",9,0,1
"44","cpxA",6,0,1
"47","artM",3,0,1
"48","asnA",4,0,1
"49","aspA",7,0,1
"50","atpA",0,0,1
"51","atpB",0,0,1
"52","atpC",0,0,1
"54","atpE",0,0,1
"55","atpF",0,0,1
"56","atpG",0,0,1
"57","atpI",0,0,1
"60","cdd",0,0,1
"61","cheA",1,0,1
"62","cheB",3,0,1
"63","cheR",3,0,1
"64","cheW",1,0,1
"66","cheZ",3,0,1
"67","clpB",1,0,1
"68","clpX",8,0,1
"70","deoB",4,0,1
"71","deoC",2,0,1
"72","deoD",2,0,1
"74","dcyD",0,0,1
"75","edd",2,0,1
"76","eno",4,0,1
"77","fdoG",2,0,1
"78","fimA",12,0,1
"79","fimC",12,0,1
"80","fimI",12,0,1
"81","flgH",22,0,1
"82","flhA",22,0,1
"83","flhE",22,0,1
"84","fliP",32,0,1
"85","fliQ",32,0,1
"87","fumA",11,0,1
"88","gapC",0,0,1
"89","dcuS",1,0,1
"90","dppC",10,0,1
"92","eco",0,0,1
"93","fdhD",0,0,1
"94","fhuD",0,0,1
"95","folP",0,0,1
"96","frdA",16,0,1
"97","frdC",11,0,1
"99","fucI",5,0,1
"100","gcvH",7,0,1
"101","carA",23,0,1
"102","coaA",0,0,1
"103","codB",1,0,1
"104","cspD",4,0,1
"105","cvpA",1,0,1
"106","cydA",2,0,1
"108","cydC",11,0,1
"109","cydD",7,0,1
"110","dnaJ",0,0,1
"111","dnaK",0,0,1
"113","fdoH",0,0,1
"114","flgB",22,0,1
"115","flgC",22,0,1
"116","flgD",22,0,1
"117","flgE",22,0,1
"118","flgF",22,0,1
"119","flgG",22,0,1
"120","flgI",22,0,1
"121","flgJ",22,0,1
"122","flgK",0,0,1
"123","flgL",0,0,1
"124","gatA",1,0,1
"125","gatB",1,0,1
"126","gatC",1,0,1
"127","gatD",1,0,1
"128","gatZ",1,0,1
"129","glcC",5,0,1
"130","gltA",10,0,1
"131","gltB",65,0,1
"132","gltD",65,0,1
"133","gpmA",5,0,1
"134","grxA",0,0,1
"135","gshA",0,0,1
"136","gshB",0,0,1
"138","hsdR",0,0,1
"140","hslJ",0,0,1
"141","iap",0,0,1
"142","idi",0,0,1
"143","ispF",0,0,1
"144","kgtP",1,0,1
"146","lldD",0,0,1
"147","lpxD",7,0,1
"148","lysC",0,0,1
"149","map",8,0,1
"150","marB",40,0,1
"151","marR",25,0,1
"154","menF",0,0,1
"155","metN",0,0,1
"156","mltC",0,0,1
