"","V1","Loop_number","No_loop","Loop"
"1","cfa",5,0,1
"2","yeaQ",0,0,1
"4","slp",21,0,1
"5","hdeB",18,0,1
"6","hdeD",20,0,1
"7","osmY",20,0,1
"8","cbpA",4,0,1
"9","hdeA",18,0,1
"10","yahO",0,0,1
"11","yccJ",1,0,1
"12","asr",3,0,1
"13","ydiZ",0,0,1
"14","yebV",0,0,1
"15","yhiM",5,0,1
"16","wrbA",1,0,1
"17","ycaC",1,0,1
"18","gadB",33,0,1
"19","gadA",29,0,1
"20","yiaG",0,0,1
"21","dps",14,0,1
"22","ybaT",2,0,1
"23","aceK",6,0,1
"24","acnA",17,0,1
"25","add",1,0,1
"26","ahpF",4,0,1
"27","alaT",7,0,1
"28","alaU",6,0,1
"29","aroA",1,0,1
"30","aroH",1,0,1
"31","aroP",4,0,1
"34","cyoB",18,0,1
"35","dadA",0,0,1
"36","dadX",1,0,1
"38","atpH",1,0,1
"39","bax",0,0,1
"40","bioB",0,0,1
"41","borD",2,0,1
"42","btuB",1,0,1
"43","cirA",8,0,1
"44","cpxA",6,0,1
"47","artM",2,0,1
"48","asnA",7,0,1
"49","aspA",8,0,1
"50","atpA",1,0,1
"51","atpB",1,0,1
"52","atpC",0,0,1
"54","atpE",0,0,1
"55","atpF",0,0,1
"56","atpG",0,0,1
"57","atpI",1,0,1
"60","cdd",1,0,1
"61","cheA",0,0,1
"62","cheB",0,0,1
"63","cheR",0,0,1
"64","cheW",0,0,1
"66","cheZ",0,0,1
"67","clpB",2,0,1
"68","clpX",5,0,1
"70","deoB",3,0,1
"71","deoC",2,0,1
"72","deoD",2,0,1
"74","dcyD",0,0,1
"75","edd",2,0,1
"76","eno",2,0,1
"77","fdoG",0,0,1
"78","fimA",8,0,1
"79","fimC",8,0,1
"80","fimI",8,0,1
"81","flgH",2,0,1
"82","flhA",2,0,1
"83","flhE",2,0,1
"84","fliP",5,0,1
"85","fliQ",5,0,1
"87","fumA",6,0,1
"88","gapC",0,0,1
"89","dcuS",3,0,1
"90","dppC",7,0,1
"92","eco",0,0,1
"93","fdhD",0,0,1
"94","fhuD",1,0,1
"95","folP",0,0,1
"96","frdA",8,0,1
"97","frdC",7,0,1
"99","fucI",6,0,1
"100","gcvH",4,0,1
"101","carA",8,0,1
"102","coaA",0,0,1
"103","codB",1,0,1
"104","cspD",3,0,1
"105","cvpA",2,0,1
"106","cydA",2,0,1
"108","cydC",8,0,1
"109","cydD",7,0,1
"110","dnaJ",0,0,1
"111","dnaK",0,0,1
"113","fdoH",0,0,1
"114","flgB",2,0,1
"115","flgC",2,0,1
"116","flgD",2,0,1
"117","flgE",2,0,1
"118","flgF",2,0,1
"119","flgG",2,0,1
"120","flgI",2,0,1
"121","flgJ",2,0,1
"122","flgK",0,0,1
"123","flgL",0,0,1
"124","gatA",2,0,1
"125","gatB",2,0,1
"126","gatC",2,0,1
"127","gatD",2,0,1
"128","gatZ",2,0,1
"129","glcC",5,0,1
"130","gltA",8,0,1
