"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","metH",0,1,0,0,0,0,0,0,0
"2","wcaF",0,1,0,0,0,0,0,0,0
"3","waaH",0,1,0,0,0,0,0,0,0
"4","ytfF",0,1,0,0,0,0,0,0,0
"5","btsT",0,1,0,0,0,0,0,0,0
"6","hyfD",0,1,0,0,0,0,0,0,0
"7","rutD",0,1,0,0,0,0,0,0,0
"8","aas",0,1,0,0,0,0,0,0,0
"9","trmJ",0,1,0,0,0,0,0,0,0
"10","tmk",0,1,0,0,0,0,0,0,0
"11","pspF",0,1,0,0,0,0,0,0,0
"12","yfaX",0,1,0,0,0,0,0,0,0
"13","oxyR",1,0,0,1,0,0.25,0,0.75,0
"14","btsT",0,1,0,0,0,0,0,0,0
"15","glnQ",0,1,0,0,0,0,0,0,0
"16","ddpF",0,1,0,0,0,0,0,0,0
"17","ydeN",0,1,0,0,0,0,0,0,0
"18","yeaV",0,1,0,0,0,0,0,0,0
"19","fruB",0,1,0,0,0,0,0,0,0
"20","focB",0,1,0,0,0,0,0,0,0
"21","lgoT",0,1,0,0,0,0,0,0,0
"22","ivy",0,1,0,0,0,0,0,0,0
"23","yaiY",0,1,0,0,0,0,0,0,0
"24","ldtB",0,1,0,0,0,0,0,0,0
"25","ycfJ",0,1,0,0,0,0,0,0,0
"26","ydcF",0,1,0,0,0,0,0,0,0
"27","mgrB",0,1,0,0,0,0,0,0,0
"28","letB",0,1,0,0,0,0,0,0,0
"29","yodD",0,1,0,0,0,0,0,0,0
"30","rcsD",0,1,0,0,0,0,0,0,0
"31","hda",0,1,0,0,0,0,0,0,0
"32","pgpC",0,1,0,0,0,0,0,0,0
"33","kbp",0,1,0,0,0,0,0,0,0
"34","ygaP",0,1,0,0,0,0,0,0,0
"35","lplT",0,1,0,0,0,0,0,0,0
"36","yhdN",0,1,0,0,0,0,0,0,0
"37","yhiJ",0,1,0,0,0,0,0,0,0
"38","yicN",0,1,0,0,0,0,0,0,0
"39","psiE",0,1,0,0,0,0,0,0,0
"40","yjcB",0,1,0,0,0,0,0,0,0
"41","pdeC",0,1,0,0,0,0,0,0,0
"42","qorB",0,1,0,0,0,0,0,0,0
"43","bglJ",1,0,0,1,0.5,0,0.5,0,0
"44","cheR",0,1,0,0,0,0,0,0,0
"45","cheW",0,1,0,0,0,0,0,0,0
"46","dppC",0,1,0,0,0,0,0,0,0
"47","hslJ",0,1,0,0,0,0,0,0,0
"48","proP",0,1,0,0,0,0,0,0,0
"49","rcsA",1,0,1,0,0,0,0.5,0.5,0
"50","htpX",0,1,0,0,0,0,0,0,0
"51","miaA",0,1,0,0,0,0,0,0,0
"52","proV",0,1,0,0,0,0,0,0,0
"53","dinJ",1,0,1,0,1,0,0,0,0
"54","ybfA",0,1,0,0,0,0,0,0,0
"55","yccA",0,1,0,0,0,0,0,0,0
"56","ygiW",0,1,0,0,0,0,0,0,0
"57","yjiA",0,1,0,0,0,0,0,0,0
"58","yjiX",0,1,0,0,0,0,0,0,0
"59","recA",0,1,0,0,0,0,0,0,0
"60","slt",0,1,0,0,0,0,0,0,0
"61","ybjX",0,1,0,0,0,0,0,0,0
"62","ynfB",0,1,0,0,0,0,0,0,0
"63","fadR",0,1,0,0,0,0,0,0,0
"64","mdtJ",0,1,0,0,0,0,0,0,0
"65","ndh",0,1,0,0,0,0,0,0,0
"66","oppD",0,1,0,0,0,0,0,0,0
"67","yjeJ",0,1,0,0,0,0,0,0,0
"68","yjgM",0,1,0,0,0,0,0,0,0
"69","yieP",0,1,0,0,0,0,0,0,0
"70","yciE",0,1,0,0,0,0,0,0,0
"71","yciF",0,1,0,0,0,0,0,0,0
"72","yciG",0,1,0,0,0,0,0,0,0
"73","mlrA",1,0,0,1,0,0.5,0.5,0,0
"74","fdhF",0,1,0,0,0,0,0,0,0
"75","nrfD",0,1,0,0,0,0,0,0,0
"76","ytfE",0,1,0,0,0,0,0,0,0
"77","glnL",0,1,0,0,0,0,0,0,0
"78","metJ",0,1,0,0,0,0,0,0,0
"79","yjjI",0,1,0,0,0,0,0,0,0
"80","fepD",0,1,0,0,0,0,0,0,0
"81","ybiV",0,1,0,0,0,0,0,0,0
"82","galP",0,1,0,0,0,0,0,0,0
"83","ispA",0,1,0,0,0,0,0,0,0
"84","ypeC",0,1,0,0,0,0,0,0,0
"85","rplY",0,1,0,0,0,0,0,0,0
"86","soxS",1,0,0.0909090909090909,0.909090909090909,0.0454545454545455,0.136363636363636,0.181818181818182,0.636363636363636,0
"87","ynfM",0,1,0,0,0,0,0,0,0
"88","ydbK",0,1,0,0,0,0,0,0,0
"89","osmE",0,1,0,0,0,0,0,0,0
"90","rof",0,1,0,0,0,0,0,0,0
"91","holB",0,1,0,0,0,0,0,0,0
"92","ldhA",0,1,0,0,0,0,0,0,0
"93","rbfA",0,1,0,0,0,0,0,0,0
"94","proW",0,1,0,0,0,0,0,0,0
"95","rdgC",0,1,0,0,0,0,0,0,0
"96","nrdA",0,1,0,0,0,0,0,0,0
"97","evgA",1,0,0,1,0,0,0.428571428571429,0.571428571428571,0
"98","dcrB",0,1,0,0,0,0,0,0,0
"99","asnB",0,1,0,0,0,0,0,0,0
"100","ytfH",0,1,0,0,0,0,0,0,0
"101","treF",0,1,0,0,0,0,0,0,0
"102","yeaY",0,1,0,0,0,0,0,0,0
"103","cbl",0,1,0,0,0,0,0,0,0
"104","yceK",0,1,0,0,0,0,0,0,0
"105","uspG",0,1,0,0,0,0,0,0,0
