"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1","crcB",0,1,0,0,0,0,0,0,0
"2","feoA",0,1,0,0,0,0,0,0,0
"3","fimB",0,1,0,0,0,0,0,0,0
"4","lrp",1,0,0.449438202247191,0.55056179775281,0.0224719101123595,0.0337078651685393,0.202247191011236,0.741573033707866,0
"5","nlpD",0,1,0,0,0,0,0,0,0
"6","relB",1,0,1,0,1,0,0,0,0
"7","relE",1,0,1,0,1,0,0,0,0
"8","ruvA",0,1,0,0,0,0,0,0,0
"9","sdiA",1,0,0,1,0,0,0,1,0
"10","yajI",0,1,0,0,0,0,0,0,0
"11","ybbC",0,1,0,0,0,0,0,0,0
"12","ybcW",0,1,0,0,0,0,0,0,0
"13","matP",0,1,0,0,0,0,0,0,0
"14","ycgJ",0,1,0,0,0,0,0,0,0
"15","ycgL",0,1,0,0,0,0,0,0,0
"16","ycgZ",0,1,0,0,0,0,0,0,0
"17","ychE",0,1,0,0,0,0,0,0,0
"18","ydcD",0,1,0,0,0,0,0,0,0
"19","cnu",0,1,0,0,0,0,0,0,0
"20","drpB",0,1,0,0,0,0,0,0,0
"21","yefM",1,0,1,0,1,0,0,0,0
"22","nudI",0,1,0,0,0,0,0,0,0
"23","ygaC",0,1,0,0,0,0,0,0,0
"24","mug",0,1,0,0,0,0,0,0,0
"25","higA",1,0,1,0,1,0,0,0,0
"26","higB",1,0,1,0,1,0,0,0,0
"27","zapG",0,1,0,0,0,0,0,0,0
"28","yhhX",0,1,0,0,0,0,0,0,0
"29","yiiF",0,1,0,0,0,0,0,0,0
"30","rcnR",0,1,0,0,0,0,0,0,0
"31","lspA",0,1,0,0,0,0,0,0,0
"32","nuoE",0,1,0,0,0,0,0,0,0
"33","nuoF",0,1,0,0,0,0,0,0,0
"34","pgk",0,1,0,0,0,0,0,0,0
"35","rfbX",0,1,0,0,0,0,0,0,0
"36","thyA",0,1,0,0,0,0,0,0,0
"37","tktA",0,1,0,0,0,0,0,0,0
"38","ybiW",0,1,0,0,0,0,0,0,0
"39","yedF",0,1,0,0,0,0,0,0,0
"40","accD",1,0,1,0,1,0,0,0,0
"41","agaR",0,1,0,0,0,0,0,0,0
"42","allR",0,1,0,0,0,0,0,0,0
"43","chpS",0,1,0,0,0,0,0,0,0
"44","cobU",0,1,0,0,0,0,0,0,0
"45","corA",0,1,0,0,0,0,0,0,0
"46","creA",0,1,0,0,0,0,0,0,0
"47","cybB",0,1,0,0,0,0,0,0,0
"48","dicA",0,1,0,0,0,0,0,0,0
"49","dsrB",0,1,0,0,0,0,0,0,0
"50","dtd",0,1,0,0,0,0,0,0,0
"51","flxA",0,1,0,0,0,0,0,0,0
"52","ftsE",0,1,0,0,0,0,0,0,0
"53","ftsY",0,1,0,0,0,0,0,0,0
"54","hipB",1,0,1,0,1,0,0,0,0
"55","intF",0,1,0,0,0,0,0,0,0
"56","mobA",0,1,0,0,0,0,0,0,0
"57","mobB",0,1,0,0,0,0,0,0,0
"58","ogrK",0,1,0,0,0,0,0,0,0
"59","panD",0,1,0,0,0,0,0,0,0
"60","pdxJ",0,1,0,0,0,0,0,0,0
"61","ssb",0,1,0,0,0,0,0,0,0
"62","sulA",0,1,0,0,0,0,0,0,0
"63","tfaS",0,1,0,0,0,0,0,0,0
"64","umuD",0,1,0,0,0,0,0,0,0
"65","yacC",0,1,0,0,0,0,0,0,0
"66","pxpB",0,1,0,0,0,0,0,0,0
"67","hinT",0,1,0,0,0,0,0,0,0
"68","yciN",0,1,0,0,0,0,0,0,0
"69","lapA",0,1,0,0,0,0,0,0,0
"70","pptA",0,1,0,0,0,0,0,0,0
"71","yebG",0,1,0,0,0,0,0,0,0
"72","yedJ",0,1,0,0,0,0,0,0,0
"73","yeiS",0,1,0,0,0,0,0,0,0
"74","rpnB",0,1,0,0,0,0,0,0,0
"75","yfdK",0,1,0,0,0,0,0,0,0
"76","csdE",0,1,0,0,0,0,0,0,0
"77","yhaJ",0,1,0,0,0,0,0,0,0
"78","cyuA",0,1,0,0,0,0,0,0,0
"79","cyuP",0,1,0,0,0,0,0,0,0
"80","yhbP",0,1,0,0,0,0,0,0,0
"81","rpnA",0,1,0,0,0,0,0,0,0
"82","panZ",0,1,0,0,0,0,0,0,0
"83","yhhM",0,1,0,0,0,0,0,0,0
"84","yibL",0,1,0,0,0,0,0,0,0
"85","yidB",0,1,0,0,0,0,0,0,0
"86","yifN",0,1,0,0,0,0,0,0,0
"87","yihD",0,1,0,0,0,0,0,0,0
"88","yjaG",0,1,0,0,0,0,0,0,0
"89","yjbD",0,1,0,0,0,0,0,0,0
"90","yjdJ",0,1,0,0,0,0,0,0,0
"91","yjjX",0,1,0,0,0,0,0,0,0
"92","ymfK",0,1,0,0,0,0,0,0,0
"93","ymgA",0,1,0,0,0,0,0,0,0
"94","ynjH",0,1,0,0,0,0,0,0,0
"95","yoaF",0,1,0,0,0,0,0,0,0
"96","yoaH",0,1,0,0,0,0,0,0,0
"97","nudF",0,1,0,0,0,0,0,0,0
"98","yrdA",0,1,0,0,0,0,0,0,0
"99","zipA",0,1,0,0,0,0,0,0,0
"100","alaX",0,1,0,0,0,0,0,0,0
"101","ansA",0,1,0,0,0,0,0,0,0
"102","argQ",0,1,0,0,0,0,0,0,0
"103","argZ",0,1,0,0,0,0,0,0,0
"104","artI",0,1,0,0,0,0,0,0,0
"105","artP",0,1,0,0,0,0,0,0,0
"106","fbaA",0,1,0,0,0,0,0,0,0
"107","glnS",0,1,0,0,0,0,0,0,0
"108","glnW",0,1,0,0,0,0,0,0,0
"109","gltT",0,1,0,0,0,0,0,0,0
"110","gltU",0,1,0,0,0,0,0,0,0
"111","gltV",0,1,0,0,0,0,0,0,0
"112","gltW",0,1,0,0,0,0,0,0,0
"113","ileT",0,1,0,0,0,0,0,0,0
"114","ileU",0,1,0,0,0,0,0,0,0
"115","leuW",0,1,0,0,0,0,0,0,0
"116","lysQ",0,1,0,0,0,0,0,0,0
"117","lysT",0,1,0,0,0,0,0,0,0
"118","lysW",0,1,0,0,0,0,0,0,0
"119","lysY",0,1,0,0,0,0,0,0,0
"120","lysZ",0,1,0,0,0,0,0,0,0
"121","metT",0,1,0,0,0,0,0,0,0
"122","metU",0,1,0,0,0,0,0,0,0
"123","nuoA",0,1,0,0,0,0,0,0,0
"124","nuoB",0,1,0,0,0,0,0,0,0
"125","oppA",0,1,0,0,0,0,0,0,0
"126","pepQ",0,1,0,0,0,0,0,0,0
"127","potC",0,1,0,0,0,0,0,0,0
"128","pssA",0,1,0,0,0,0,0,0,0
"129","rfaD",0,1,0,0,0,0,0,0,0
"130","serT",0,1,0,0,0,0,0,0,0
"131","thrV",0,1,0,0,0,0,0,0,0
"132","tyrT",0,1,0,0,0,0,0,0,0
"133","tyrV",0,1,0,0,0,0,0,0,0
"134","yfdH",0,1,0,0,0,0,0,0,0
"135","ves",0,1,0,0,0,0,0,0,0
"136","yfaZ",0,1,0,0,0,0,0,0,0
"137","ampD",0,1,0,0,0,0,0,0,0
"138","cueR",0,1,0,0,0,0,0,0,0
"139","intR",0,1,0,0,0,0,0,0,0
"140","priC",0,1,0,0,0,0,0,0,0
"141","seqA",0,1,0,0,0,0,0,0,0
"142","yajG",0,1,0,0,0,0,0,0,0
"143","ytfP",0,1,0,0,0,0,0,0,0
"144","yeaQ",0,1,0,0,0,0,0,0,0
"145","osmY",0,1,0,0,0,0,0,0,0
"146","hdeA",0,1,0,0,0,0,0,0,0
"147","yahO",0,1,0,0,0,0,0,0,0
"148","alaT",0,1,0,0,0,0,0,0,0
"149","alaU",0,1,0,0,0,0,0,0,0
"150","aroA",0,1,0,0,0,0,0,0,0
"151","cyoB",0,1,0,0,0,0,0,0,0
"152","dadA",0,1,0,0,0,0,0,0,0
"153","atpH",0,1,0,0,0,0,0,0,0
"154","atpB",0,1,0,0,0,0,0,0,0
"155","atpE",0,1,0,0,0,0,0,0,0
"156","atpF",0,1,0,0,0,0,0,0,0
"157","atpG",0,1,0,0,0,0,0,0,0
"158","cheA",0,1,0,0,0,0,0,0,0
"159","cheB",0,1,0,0,0,0,0,0,0
"160","cheW",0,1,0,0,0,0,0,0,0
"161","cheZ",0,1,0,0,0,0,0,0,0
"162","eno",0,1,0,0,0,0,0,0,0
"163","flgH",0,1,0,0,0,0,0,0,0
"164","fliP",0,1,0,0,0,0,0,0,0
"165","fliQ",0,1,0,0,0,0,0,0,0
"166","eco",0,1,0,0,0,0,0,0,0
"167","ftnB",0,1,0,0,0,0,0,0,0
"168","cspD",0,1,0,0,0,0,0,0,0
"169","dnaK",0,1,0,0,0,0,0,0,0
"170","flgD",0,1,0,0,0,0,0,0,0
"171","flgE",0,1,0,0,0,0,0,0,0
"172","flgF",0,1,0,0,0,0,0,0,0
