"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1","crcB",0,1,0,0,0,0,0,0,0,0,0,0,0
"2","feoA",1,0,0.125,0.5,0.125,0,0,0,0.25,0,0,0,0
"3","fimB",1,0,0.235294117647059,0.529411764705882,0.0588235294117647,0.176470588235294,0,0,0,0,0,0,0
"4","lrp",1,0,0,0.4,0.52,0,0.04,0,0,0,0.04,0,0
"5","nlpD",0,1,0,0,0,0,0,0,0,0,0,0,0
"6","relB",0,1,0,0,0,0,0,0,0,0,0,0,0
"7","relE",0,1,0,0,0,0,0,0,0,0,0,0,0
"8","ruvA",0,1,0,0,0,0,0,0,0,0,0,0,0
"9","sdiA",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0
"10","yajI",0,1,0,0,0,0,0,0,0,0,0,0,0
"11","ybbC",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","ybcW",0,1,0,0,0,0,0,0,0,0,0,0,0
"13","matP",0,1,0,0,0,0,0,0,0,0,0,0,0
"14","ycgJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","ycgL",0,1,0,0,0,0,0,0,0,0,0,0,0
"16","ycgZ",1,0,0.2,0.4,0,0,0,0,0.4,0,0,0,0
"17","ychE",0,1,0,0,0,0,0,0,0,0,0,0,0
"18","ydcD",0,1,0,0,0,0,0,0,0,0,0,0,0
"19","cnu",0,1,0,0,0,0,0,0,0,0,0,0,0
"20","drpB",0,1,0,0,0,0,0,0,0,0,0,0,0
"21","yefM",0,1,0,0,0,0,0,0,0,0,0,0,0
"22","nudI",0,1,0,0,0,0,0,0,0,0,0,0,0
"23","ygaC",0,1,0,0,0,0,0,0,0,0,0,0,0
"24","mug",0,1,0,0,0,0,0,0,0,0,0,0,0
"25","higA",0,1,0,0,0,0,0,0,0,0,0,0,0
"26","higB",0,1,0,0,0,0,0,0,0,0,0,0,0
"27","zapG",0,1,0,0,0,0,0,0,0,0,0,0,0
"28","yhhX",0,1,0,0,0,0,0,0,0,0,0,0,0
"29","yiiF",0,1,0,0,0,0,0,0,0,0,0,0,0
"30","rcnR",0,1,0,0,0,0,0,0,0,0,0,0,0
"31","lspA",1,0,1,0,0,0,0,0,0,0,0,0,0
"32","nuoE",1,0,0.0344827586206897,0.344827586206897,0.241379310344828,0.0344827586206897,0.137931034482759,0.0689655172413793,0,0.0689655172413793,0,0.0689655172413793,0
"33","nuoF",1,0,0.0344827586206897,0.344827586206897,0.241379310344828,0.0344827586206897,0.137931034482759,0.0689655172413793,0,0.0689655172413793,0,0.0689655172413793,0
"34","pgk",1,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0
"35","rfbX",0,1,0,0,0,0,0,0,0,0,0,0,0
"36","thyA",0,1,0,0,0,0,0,0,0,0,0,0,0
"37","tktA",0,1,0,0,0,0,0,0,0,0,0,0,0
"38","ybiW",0,1,0,0,0,0,0,0,0,0,0,0,0
"39","yedF",0,1,0,0,0,0,0,0,0,0,0,0,0
"40","accD",1,0,0,0.5,0,0.5,0,0,0,0,0,0,0
"41","agaR",0,1,0,0,0,0,0,0,0,0,0,0,0
"42","allR",0,1,0,0,0,0,0,0,0,0,0,0,0
"43","chpS",0,1,0,0,0,0,0,0,0,0,0,0,0
"44","cobU",0,1,0,0,0,0,0,0,0,0,0,0,0
"45","corA",0,1,0,0,0,0,0,0,0,0,0,0,0
"46","creA",1,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0
"47","cybB",0,1,0,0,0,0,0,0,0,0,0,0,0
"48","dicA",0,1,0,0,0,0,0,0,0,0,0,0,0
"49","dsrB",0,1,0,0,0,0,0,0,0,0,0,0,0
"50","dtd",0,1,0,0,0,0,0,0,0,0,0,0,0
"51","flxA",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"52","ftsE",0,1,0,0,0,0,0,0,0,0,0,0,0
"53","ftsY",0,1,0,0,0,0,0,0,0,0,0,0,0
"54","hipB",1,0,0.142857142857143,0.142857142857143,0,0.428571428571429,0,0,0,0,0.285714285714286,0,0
"55","intF",0,1,0,0,0,0,0,0,0,0,0,0,0
"56","mobA",0,1,0,0,0,0,0,0,0,0,0,0,0
"57","mobB",0,1,0,0,0,0,0,0,0,0,0,0,0
"58","ogrK",0,1,0,0,0,0,0,0,0,0,0,0,0
"59","panD",0,1,0,0,0,0,0,0,0,0,0,0,0
"60","pdxJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"61","ssb",1,0,0,0,1,0,0,0,0,0,0,0,0
"62","sulA",1,0,0,1,0,0,0,0,0,0,0,0,0
"63","tfaS",0,1,0,0,0,0,0,0,0,0,0,0,0
"64","umuD",0,1,0,0,0,0,0,0,0,0,0,0,0
"65","yacC",0,1,0,0,0,0,0,0,0,0,0,0,0
"66","pxpB",0,1,0,0,0,0,0,0,0,0,0,0,0
"67","hinT",0,1,0,0,0,0,0,0,0,0,0,0,0
"68","yciN",0,1,0,0,0,0,0,0,0,0,0,0,0
"69","lapA",1,0,1,0,0,0,0,0,0,0,0,0,0
"70","pptA",0,1,0,0,0,0,0,0,0,0,0,0,0
"71","yebG",0,1,0,0,0,0,0,0,0,0,0,0,0
"72","yedJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"73","yeiS",0,1,0,0,0,0,0,0,0,0,0,0,0
"74","rpnB",0,1,0,0,0,0,0,0,0,0,0,0,0
"75","yfdK",0,1,0,0,0,0,0,0,0,0,0,0,0
"76","csdE",0,1,0,0,0,0,0,0,0,0,0,0,0
"77","yhaJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"78","cyuA",0,1,0,0,0,0,0,0,0,0,0,0,0
"79","cyuP",0,1,0,0,0,0,0,0,0,0,0,0,0
"80","yhbP",0,1,0,0,0,0,0,0,0,0,0,0,0
"81","rpnA",0,1,0,0,0,0,0,0,0,0,0,0,0
"82","panZ",0,1,0,0,0,0,0,0,0,0,0,0,0
