"","V1","FBL_number","No_FBL","FBL"
"1","hisC",0,0,1
"2","livK",0,0,1
"3","tesA",0,0,1
"4","trpD",0,0,1
"5","iaaA",0,0,1
"6","garD",0,0,1
"7","garL",0,0,1
"8","sgbH",0,0,1
"9","uxuB",0,0,1
"10","rihA",0,0,1
"11","rihC",0,0,1
"12","ccmC",0,0,1
"13","nohD",0,0,1
"14","sbcB",0,0,1
"15","insH10",0,0,1
"16","insH11",0,0,1
"17","insH3",0,0,1
"18","insH4",0,0,1
"19","insH5",0,0,1
"20","insH6",0,0,1
"21","insH7",0,0,1
"22","insH8",0,0,1
"23","insH9",0,0,1
"24","psuG",0,0,1
"25","fabR",0,0,1
"26","cdaR",0,0,1
"27","yhcE",0,0,1
"28","iraD",0,0,1
"29","ymfL",0,0,1
"30","borD",0,0,1
"31","btuB",0,0,1
"32","cirA",0,0,1
"33","asnA",0,0,1
"34","dcyD",0,0,1
"35","fliQ",0,0,1
"36","hsdR",0,0,1
"37","lysC",0,0,1
"38","nmpC",0,0,1
"39","pppA",0,0,1
"40","rzpD",0,0,1
"41","hisJ",0,0,1
"42","ompT",0,0,1
"43","sucD",0,0,1
"44","hcxB",0,0,1
"45","tcyL",0,0,1
"46","ylaC",0,0,1
"47","yijD",0,0,1
"48","srlA",0,0,1
"49","srlB",0,0,1
"50","srlD",0,0,1
"51","srlE",0,0,1
"52","entE",0,0,1
"53","fecA",0,0,1
"54","fepA",0,0,1
"55","galK",0,0,1
"56","hybA",0,0,1
"57","malM",0,0,1
"58","folE",0,0,1
"59","lysP",0,0,1
"60","yddB",0,0,1
"61","araA",0,0,1
"62","mglA",0,0,1
"63","mglB",0,0,1
"64","mglC",0,0,1
"65","nirB",0,0,1
"66","fumB",0,0,1
"67","grcA",0,0,1
"68","entB",0,0,1
"69","fepB",0,0,1
"70","ompW",0,0,1
"71","efeO",0,0,1
"72","fes",0,0,1
"73","entC",0,0,1
"74","fadE",0,0,1
"75","fepC",0,0,1
"76","galT",0,0,1
"77","yddA",0,0,1
"78","hisQ",0,0,1
"79","aroF",0,0,1
"80","gcvP",0,0,1
"81","acs",0,0,1
"82","napF",0,0,1
"83","fepG",0,0,1
"84","yqhD",0,0,1
"85","aroG",0,0,1
"86","idnO",0,0,1
"87","idnD",0,0,1
"88","garR",0,0,1
"89","lamB",0,0,1
"90","fecR",0,0,1
"91","cysM",0,0,1
"92","fecI",0,0,1
"93","cysD",0,0,1
"94","cysN",0,0,1
"95","cysU",0,0,1
"96","cysJ",0,0,1
"97","ccmG",0,0,1
"98","yadS",0,0,1
"99","livG",0,0,1
"100","alaE",0,0,1
"101","dgcT",0,0,1
"102","cysI",0,0,1
"103","allB",0,0,1
"104","carB",0,0,1
"105","cysP",0,0,1
"106","tsuA",0,0,1
"107","argD",0,0,1
"108","uidA",0,0,1
"109","nanA",0,0,1
"110","nagE",0,0,1
"111","ubiA",0,0,1
"112","lrhA",4,0,1
"113","garP",0,0,1
"114","tsuB",0,0,1
"115","cysC",0,0,1
"116","cysH",0,0,1
"117","cysA",0,0,1
"118","cysW",0,0,1
"119","tcyN",0,0,1
"120","psuK",0,0,1
