"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1","hisC",0,1,0,0,0,0,0,0,0,0,0
"2","livK",0,1,0,0,0,0,0,0,0,0,0
"3","tesA",0,1,0,0,0,0,0,0,0,0,0
"4","trpD",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"5","iaaA",0,1,0,0,0,0,0,0,0,0,0
"6","garD",0,1,0,0,0,0,0,0,0,0,0
"7","garL",1,0,0.75,0,0,0,0,0,0,0.25,0
"8","sgbH",1,0,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0,0
"9","uxuB",1,0,0,0.333333333333333,0,0,0,0.222222222222222,0.333333333333333,0.111111111111111,0
"10","rihA",0,1,0,0,0,0,0,0,0,0,0
"11","rihC",0,1,0,0,0,0,0,0,0,0,0
"12","ccmC",1,0,0.5,0,0,0.166666666666667,0,0,0,0.333333333333333,0
"13","nohD",0,1,0,0,0,0,0,0,0,0,0
"14","sbcB",0,1,0,0,0,0,0,0,0,0,0
"15","insH10",0,1,0,0,0,0,0,0,0,0,0
"16","insH11",0,1,0,0,0,0,0,0,0,0,0
"17","insH3",0,1,0,0,0,0,0,0,0,0,0
"18","insH4",0,1,0,0,0,0,0,0,0,0,0
"19","insH5",0,1,0,0,0,0,0,0,0,0,0
"20","insH6",0,1,0,0,0,0,0,0,0,0,0
"21","insH7",0,1,0,0,0,0,0,0,0,0,0
"22","insH8",0,1,0,0,0,0,0,0,0,0,0
"23","insH9",0,1,0,0,0,0,0,0,0,0,0
"24","psuG",0,1,0,0,0,0,0,0,0,0,0
"25","fabR",0,1,0,0,0,0,0,0,0,0,0
"26","cdaR",0,1,0,0,0,0,0,0,0,0,0
"27","yhcE",0,1,0,0,0,0,0,0,0,0,0
"28","iraD",1,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.428571428571429,0
"29","ymfL",0,1,0,0,0,0,0,0,0,0,0
"30",NA,0,1,0,0,0,0,0,0,0,0,0
"31",NA,0,1,0,0,0,0,0,0,0,0,0
"32",NA,0,1,0,0,0,0,0,0,0,0,0
"33",NA,0,1,0,0,0,0,0,0,0,0,0
"34",NA,0,1,0,0,0,0,0,0,0,0,0
"35",NA,0,1,0,0,0,0,0,0,0,0,0
"36",NA,0,1,0,0,0,0,0,0,0,0,0
"37",NA,0,1,0,0,0,0,0,0,0,0,0
"38",NA,0,1,0,0,0,0,0,0,0,0,0
"39",NA,0,1,0,0,0,0,0,0,0,0,0
"40",NA,0,1,0,0,0,0,0,0,0,0,0
"41",NA,0,1,0,0,0,0,0,0,0,0,0
"42",NA,0,1,0,0,0,0,0,0,0,0,0
"43",NA,0,1,0,0,0,0,0,0,0,0,0
"44",NA,0,1,0,0,0,0,0,0,0,0,0
"45",NA,0,1,0,0,0,0,0,0,0,0,0
"46",NA,0,1,0,0,0,0,0,0,0,0,0
"47",NA,0,1,0,0,0,0,0,0,0,0,0
"48",NA,0,1,0,0,0,0,0,0,0,0,0
"49",NA,0,1,0,0,0,0,0,0,0,0,0
"50",NA,0,1,0,0,0,0,0,0,0,0,0
"51",NA,0,1,0,0,0,0,0,0,0,0,0
"52",NA,0,1,0,0,0,0,0,0,0,0,0
"53",NA,0,1,0,0,0,0,0,0,0,0,0
"54",NA,0,1,0,0,0,0,0,0,0,0,0
"55",NA,0,1,0,0,0,0,0,0,0,0,0
"56",NA,0,1,0,0,0,0,0,0,0,0,0
"57",NA,0,1,0,0,0,0,0,0,0,0,0
"58",NA,0,1,0,0,0,0,0,0,0,0,0
"59",NA,0,1,0,0,0,0,0,0,0,0,0
"60",NA,0,1,0,0,0,0,0,0,0,0,0
"61",NA,0,1,0,0,0,0,0,0,0,0,0
"62",NA,0,1,0,0,0,0,0,0,0,0,0
"63",NA,0,1,0,0,0,0,0,0,0,0,0
"64",NA,0,1,0,0,0,0,0,0,0,0,0
"65",NA,0,1,0,0,0,0,0,0,0,0,0
"66","osmY",1,0,0,0.3,0.1,0.1,0,0.2,0.15,0.15,0
"67","asr",1,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0
"68","ycaC",1,0,0,0,0,0,0,1,0,0,0
